Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2011, CWS, AL, 9, 7, 7, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, .286, .286, .286, .571, 7, 2, 2, 0, 0, .333, 0, 0, 1, 29, 4.143, .143, .000, .---, .000, .000, 0
2012, 2 Teams, 50, 146, 131, 18, 28, 4, 1, 0, 9, 11, 31, 3, 0, 1, .214, .278, .260, .537, 34, 48, 2, 1, .277, 5, 0, 19, 517, 3.541, .212, .000, .355, .046, .046, 1
2012, CWS, AL, 36, 97, 87, 14, 18, 4, 1, 0, 3, 9, 23, 2, 0, 0, .207, .281, .276, .557, 97, 24, 34, 1, 0, .281, 5, 0, 15, 354, 3.649, .237, .000, .391, .069, .069, 1
2012, MIN, AL, 14, 49, 44, 4, 10, 0, 0, 0, 6, 2, 8, 1, 0, 1, .227, .271, .227, .498, 49, 10, 14, 1, 1, .270, 0, 0, 4, 163, 3.327, .163, .000, .250, .000, .000, 0
2013, MIN, AL, 66, 179, 165, 23, 39, 5, 2, 3, 10, 11, 34, 0, 2, 0, .236, .282, .345, .628, 179, 57, 71, 2, 1, .279, 10, 0, 22, 709, 3.961, .190, .017, .324, .109, .109, 1
2014, MIN, AL, 133, 465, 433, 52, 119, 35, 2, 6, 37, 24, 93, 1, 1, 2, .275, .315, .406, .721, 465, 176, 189, 4, 2, .336, 43, 6, 63, 1743, 3.748, .200, .013, .258, .132, .132, 0
2015, MIN, AL, 127, 446, 409, 48, 107, 31, 4, 12, 58, 28, 86, 2, 3, 2, .262, .309, .445, .754, 446, 182, 163, 2, 5, .301, 47, 7, 62, 1762, 3.951, .193, .027, .326, .183, .183, 1
2016, MIN, AL, 105, 377, 352, 32, 83, 14, 2, 6, 37, 21, 72, 1, 3, 1, .236, .280, .338, .618, 377, 119, 146, 2, 1, .280, 22, 7, 47, 1407, 3.732, .191, .016, .292, .102, .102, 0
2017, MIN, AL, 129, 499, 457, 62, 116, 16, 5, 21, 73, 33, 98, 5, 1, 5, .254, .309, .449, .758, 499, 205, 200, 1, 3, .279, 42, 5, 79, 2006, 4.020, .196, .042, .337, .195, .195, 0
2018, 2 Teams, 151, 631, 566, 75, 154, 48, 3, 23, 84, 52, 126, 2, 4, 5, .272, .334, .489, .824, 277, 245, 0, 8, .308, 74, 12, 90, 2464, 3.905, .200, .036, .413, .217, .217, 1
2018, MIN, AL, 97, 408, 368, 45, 101, 37, 3, 15, 63, 34, 91, 1, 3, 3, .274, .338, .514, .852, 408, 189, 155, 0, 3, .325, 55, 7, 51, 1590, 3.897, .223, .037, .374, .239, .239, 0
2018, ARI, NL, 54, 223, 198, 30, 53, 11, 0, 8, 21, 18, 35, 1, 1, 2, .268, .327, .444, .772, 223, 88, 90, 0, 5, .281, 19, 5, 39, 874, 3.919, .157, .036, .514, .177, .177, 1
2019, ARI, NL, 158, 699, 636, 94, 171, 29, 10, 35, 118, 50, 130, 5, 1, 3, .269, .320, .511, .832, 699, 325, 265, 0, 10, .283, 74, 8, 130, 2691, 3.850, .186, .050, .385, .242, .242, 0
2020, ARI, NL, 42, 173, 156, 18, 32, 5, 2, 4, 17, 14, 31, 1, 0, 2, .205, .277, .340, .617, 173, 53, 76, 0, 1, .230, 11, 4, 25, 628, 3.630, .179, .023, .452, .135, .135, 0
10 Seasons, 970, 3622, 3312, 422, 851, 187, 31, 110, 443, 244, 702, 20, 15, 21, .257, .309, .432, .741, 3622, 1430, 1405, 13, 32, .293, 328, 49, 538, 13956, 3.853, .194, .030, .348, .175, .175, 4
