2010, STL, NL, 105, 323, 287, 47, 86, 19, 2, 4, 27, 24, 50, 2, 4, 3, .300, .359, .422, .780, 323, 121, 97, 8, 1, .350, 25, 5, 51, 1231, 3.811, .155, .012, .480, .122, .122, 0, 
2011, STL, NL, 159, 503, 455, 56, 135, 24, 2, 10, 37, 28, 81, 6, 7, 7, .297, .344, .424, .768, 503, 193, 152, 9, 4, .340, 36, 11, 74, 1826, 3.630, .161, .020, .346, .127, .127, 0, 
2012, STL, NL, 117, 502, 443, 70, 135, 22, 4, 4, 40, 34, 71, 19, 7, 15, .305, .373, .400, .773, 502, 177, 137, 9, 1, .355, 30, 9, 74, 1935, 3.855, .141, .008, .479, .095, .095, 0, 
2013, STL, NL, 157, 628, 548, 75, 151, 27, 2, 7, 67, 52, 103, 10, 5, 14, .276, .351, .370, .721, 628, 203, 237, 9, 5, .325, 36, 13, 89, 2358, 3.755, .164, .011, .505, .095, .095, 0, 
2014, STL, NL, 140, 468, 413, 52, 125, 16, 3, 3, 46, 28, 78, 6, 3, 20, .303, .372, .378, .750, 468, 156, 181, 3, 4, .363, 22, 17, 78, 1650, 3.526, .167, .006, .359, .075, .075, 1, 
2015, STL, NL, 79, 245, 210, 25, 44, 5, 1, 1, 10, 19, 36, 0, 2, 11, .210, .306, .257, .563, 245, 54, 102, 3, 2, .246, 7, 7, 33, 889, 3.629, .147, .004, .528, .048, .048, 0, 
2016, SD, NL, 90, 373, 347, 49, 101, 26, 1, 2, 26, 19, 78, 2, 0, 6, .291, .339, .389, .728, 373, 135, 75, 1, 0, .371, 29, 5, 30, 1422, 3.812, .209, .005, .244, .098, .098, 0, 
2017, CHC, NL, 141, 433, 379, 65, 112, 18, 3, 2, 34, 37, 80, 6, 2, 12, .296, .374, .375, .749, 433, 142, 126, 3, 2, .368, 23, 11, 51, 1705, 3.938, .185, .005, .463, .079, .079, 0, 
2018, 2 Teams, 143, 586, 527, 74, 141, 19, 7, 3, 40, 33, 95, 4, 3, 18, .268, .330, .347, .678, 183, 166, 5, 3, .319, 29, 11, 56, 2256, 3.850, .162, .005, .347, .080, .080, 0, 
2018, KC, AL, 59, 266, 238, 28, 73, 9, 2, 1, 18, 19, 39, 3, 2, 3, .307, .363, .374, .737, 266, 89, 78, 4, 2, .360, 12, 4, 29, 1022, 3.842, .147, .004, .487, .067, .067, 0, 
2018, ARI, NL, 84, 320, 289, 46, 68, 10, 5, 2, 22, 14, 56, 1, 1, 15, .235, .304, .325, .629, 320, 94, 88, 1, 1, .284, 17, 7, 27, 1234, 3.856, .175, .006, .250, .090, .090, 0, 
2019, CWS, AL, 47, 182, 165, 12, 44, 8, 0, 0, 9, 8, 30, 0, 0, 3, .267, .311, .315, .626, 182, 52, 48, 5, 1, .324, 8, 1, 25, 712, 3.912, .165, .000, .267, .048, .048, 0, 
2020, ARI, NL, 13, 40, 35, 4, 4, 1, 0, 1, 3, 2, 9, 0, 0, 1, .114, .175, .229, .404, 40, 8, 22, 0, 2, .111, 2, 0, 7, 147, 3.675, .225, .025, .222, .114, .114, 0, 
11 Seasons, 1191, 4283, 3809, 529, 1078, 185, 25, 37, 339, 284, 711, 55, 33, 110, .283, .348, .374, .722, 4283, 1424, 1343, 55, 25, .337, 247, 90, 568, 16131, 3.766, .166, .009, .399, .091, .091, 1, 
