2012, LAA, AL, 21, 25, 23, 2, 4, 1, 0, 0, 1, 2, 6, 1, 0, 0, .174, .240, .217, .457, 
2013, LAA, AL, 58, 222, 195, 29, 55, 7, 2, 8, 32, 21, 41, 2, 2, 1, .282, .347, .462, .808, 
2014, LAA, AL, 127, 537, 493, 90, 134, 31, 3, 17, 58, 38, 104, 5, 3, 2, .272, .325, .450, .776, 
2015, LAA, AL, 159, 686, 630, 78, 161, 23, 2, 26, 83, 45, 164, 4, 1, 5, .256, .308, .422, .731, 
2016, LAA, AL, 157, 672, 594, 91, 161, 35, 5, 18, 75, 67, 118, 2, 3, 6, .271, .348, .438, .786, 
2017, LAA, AL, 155, 654, 569, 77, 139, 23, 2, 19, 71, 71, 134, 5, 1, 8, .244, .333, .392, .725, 
2018, LAA, AL, 137, 552, 491, 71, 102, 18, 2, 19, 57, 53, 133, 6, 2, 1, .208, .283, .369, .652, 
2019, LAA, AL, 152, 632, 552, 92, 128, 29, 1, 33, 74, 70, 162, 4, 1, 7, .232, .325, .467, .792, 
2020, ARI, NL, 26, 108, 95, 15, 22, 5, 0, 7, 18, 9, 28, 0, 1, 4, .232, .324, .505, .829, 
9 Seasons, 992, 4088, 3642, 545, 906, 172, 17, 147, 469, 376, 890, 29, 14, 34, .249, .322, .426, .749, 
2012, LAA, AL, 25, 5, 17, 0, 0, .235, 1, 0, 2, 96, 3.840, .240, .000, .333, .043, .043, 0, 
2013, LAA, AL, 222, 90, 80, 0, 5, .311, 17, 6, 37, 867, 3.905, .185, .036, .512, .179, .179, 0, 
2014, LAA, AL, 537, 222, 171, 2, 2, .313, 51, 5, 67, 2000, 3.724, .194, .032, .365, .178, .178, 0, 
2015, LAA, AL, 686, 266, 218, 2, 4, .304, 51, 6, 72, 2557, 3.727, .239, .038, .274, .167, .167, 1, 
2016, LAA, AL, 672, 260, 215, 0, 5, .309, 58, 10, 100, 2509, 3.734, .176, .027, .568, .167, .167, 0, 
2017, LAA, AL, 654, 223, 210, 0, 6, .284, 44, 10, 74, 2521, 3.855, .205, .029, .530, .148, .148, 1, 
2018, LAA, AL, 552, 181, 164, 0, 6, .241, 39, 9, 67, 2148, 3.891, .241, .034, .398, .161, .161, 1, 
2019, LAA, AL, 632, 258, 245, 0, 2, .265, 63, 14, 70, 2389, 3.780, .256, .052, .432, .236, .236, 0, 
2020, ARI, NL, 108, 48, 38, 0, 0, .250, 12, 4, 15, 437, 4.046, .259, .065, .321, .274, .274, 1, 
4088, 1553, 1358, 4, 30, .288, 336, 64, 504, 15524, 3.797, .218, .036, .422, .178, .178, 4, 
