Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2012, PIT, NL, 47, 182, 167, 18, 43, 3, 6, 5, 17, 8, 50, 12, 5, 3, .257, .300, .437, .737, 182, 73, 48, 2, 2, .333, 14, 5, 13, 712, 3.912, .275, .027, .160, .180, .180, 0
2013, PIT, NL, 135, 566, 510, 83, 143, 26, 10, 12, 35, 25, 138, 41, 15, 24, .280, .343, .441, .784, 566, 225, 128, 6, 1, .363, 48, 6, 50, 2168, 3.830, .244, .021, .181, .161, .161, 0
2014, PIT, NL, 135, 545, 495, 73, 144, 29, 6, 13, 56, 33, 131, 30, 11, 17, .291, .356, .453, .808, 545, 224, 208, 0, 0, .373, 48, 5, 71, 2072, 3.802, .240, .024, .252, .162, .162, 2
2015, PIT, NL, 153, 633, 579, 84, 166, 30, 2, 19, 81, 27, 123, 30, 10, 19, .287, .337, .444, .780, 633, 257, 245, 3, 5, .333, 51, 14, 87, 2281, 3.603, .194, .030, .220, .157, .157, 3
2016, PIT, NL, 129, 529, 489, 71, 152, 34, 5, 9, 46, 23, 104, 47, 12, 16, .311, .362, .456, .818, 529, 223, 195, 1, 0, .380, 48, 8, 66, 1995, 3.771, .197, .017, .221, .145, .145, 0
2017, PIT, NL, 77, 339, 309, 48, 85, 7, 2, 7, 31, 20, 63, 21, 4, 8, .275, .333, .379, .712, 339, 117, 97, 0, 2, .324, 16, 5, 35, 1318, 3.888, .186, .021, .317, .104, .104, 1
2018, PIT, NL, 145, 606, 559, 81, 155, 32, 5, 20, 72, 35, 109, 33, 14, 8, .277, .327, .460, .787, 606, 257, 181, 1, 3, .312, 57, 11, 84, 2267, 3.741, .180, .033, .321, .182, .182, 1
2019, PIT, NL, 132, 586, 539, 97, 159, 31, 6, 23, 82, 25, 94, 25, 6, 16, .295, .342, .503, .845, 586, 271, 217, 2, 4, .319, 60, 15, 110, 2127, 3.630, .160, .039, .266, .208, .208, 1
2020, 2 Teams, 44, 184, 166, 28, 48, 11, 1, 4, 22, 12, 29, 6, 2, 5, .289, .353, .440, .793, 73, 63, 0, 1, .328, 687
2020, ARI, NL, 33, 138, 122, 23, 38, 8, 1, 2, 14, 10, 19, 5, 2, 5, .311, .384, .443, .827, 138, 54, 49, 0, 1, .353, 11, 3, 23, 519, 3.761, .138, .014, .526, .131, .131, 0
2020, MIA, NL, 11, 46, 44, 5, 10, 3, 0, 2, 8, 2, 10, 1, 0, 0, .227, .261, .432, .693, 46, 19, 14, 0, 0, .250, 5, 1, 5, 168, 3.652, .217, .043, .200, .205, .205, 0
9 Seasons, 996, 4167, 3811, 583, 1095, 203, 43, 112, 442, 207, 840, 245, 79, 116, .287, .342, .451, .793, 4167, 1720, 1380, 15, 18, .342, 358, 73, 544, 15618, 3.748, .202, .027, .246, .164, .164, 8
