2012, TOR, AL, 41, 137, 126, 10, 32, 8, 0, 2, 15, 4, 32, 0, 0, 1, .254, .280, .365, .645, 24, 70, 61, 14, 20, 5, 1, 4, 15, 6, 15, 0, 0, 2, .328, .400, .639, 1.039, 
2013, MIA, NL, 148, 578, 543, 30, 123, 14, 8, 3, 42, 30, 96, 11, 10, 0, .227, .267, .298, .565, 18, 40, 39, 6, 10, 2, 0, 0, 0, 1, 10, 0, 0, 0, .256, .275, .308, .583, 
2014, MIA, NL, 146, 574, 536, 53, 148, 20, 10, 1, 34, 26, 86, 7, 5, 1, .276, .308, .356, .664, 3051, 310, 773, 115, 36, 37, 271, 160, 548, 35, 19, 9, .253, .290, .351, .641, 
2015, MIA, NL, 130, 499, 470, 54, 132, 17, 6, 5, 48, 23, 78, 7, 2, 2, .281, .315, .374, .689, 137, 46, 44, 5, 1, .323, 10, 2, 18, 493, 3.599, .234, .015, .125, .111, .111, 0, 
2016, MIA, NL, 155, 547, 508, 52, 120, 17, 6, 3, 38, 33, 73, 1, 0, 1, .236, .283, .311, .594, 578, 162, 223, 4, 1, .270, 25, 19, 82, 2124, 3.675, .166, .005, .313, .072, .072, 0, 
2017, 2 Teams, 97, 348, 330, 37, 86, 14, 5, 8, 30, 13, 67, 4, 1, 1, .261, .289, .406, .695, 574, 191, 220, 4, 6, .323, 31, 21, 93, 1917, 3.340, .150, .002, .302, .080, .080, 0, 
2017, MIA, NL, 20, 67, 65, 8, 18, 2, 1, 1, 6, 1, 9, 0, 0, 0, .277, .288, .385, .672, 499, 176, 204, 0, 4, .325, 28, 18, 81, 1676, 3.359, .156, .010, .295, .094, .094, 1, 
2017, TB, AL, 77, 281, 265, 29, 68, 12, 4, 7, 24, 12, 58, 4, 1, 1, .257, .289, .411, .701, 547, 158, 239, 2, 3, .269, 26, 10, 89, 1982, 3.623, .133, .005, .452, .075, .075, 0, 
2018, 3 Teams, 94, 321, 296, 34, 73, 11, 0, 6, 31, 16, 58, 2, 0, 0, .247, .279, .345, .624, 134, 125, 2, 2, .304, 27, 7, 47, 1170, 3.362, .193, .023, .194, .145, .145, 0, 
2018, TB, AL, 61, 237, 217, 29, 56, 7, 0, 3, 26, 12, 37, 1, 0, 0, .258, .289, .332, .621, 67, 25, 18, 1, 0, .309, 4, 1, 9, 215, 3.209, .134, .015, .111, .108, .108, 0, 
2018, PIT, NL, 15, 47, 43, 2, 10, 4, 0, 1, 3, 3, 11, 0, 0, 0, .233, .277, .395, .672, 281, 109, 107, 1, 2, .302, 23, 6, 38, 955, 3.399, .206, .025, .207, .155, .155, 0, 
2018, NYY, AL, 18, 37, 36, 3, 7, 0, 0, 2, 2, 1, 10, 1, 0, 0, .194, .216, .361, .577, 102, 128, 2, 7, .280, 17, 7, 58, 1106, 3.445, .181, .019, .276, .098, .098, 0, 
2019, 2 Teams, 84, 221, 203, 34, 49, 12, 1, 9, 33, 14, 48, 3, 1, 3, .241, .299, .443, .742, 237, 72, 96, 2, 6, .290, 10, 4, 49, 817, 3.447, .156, .013, .324, .074, .074, 0, 
2019, NYM, NL, 60, 151, 142, 20, 29, 7, 0, 5, 18, 8, 33, 3, 1, 1, .204, .252, .359, .611, 47, 17, 21, 0, 1, .281, 5, 3, 6, 162, 3.447, .234, .021, .273, .163, .163, 0, 
2019, ATL, NL, 24, 70, 61, 14, 20, 5, 1, 4, 15, 6, 15, 0, 0, 2, .328, .400, .639, 1.039, 37, 13, 11, 0, 0, .208, 2, 0, 3, 127, 3.432, .270, .054, .100, .167, .167, 0, 
