Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2012, STL, NL, 27, 91, 86, 8, 21, 6, 0, 2, 13, 5, 24, 0, 0, 0, .244, .286, .384, .669, 33, 44, 0, 0, .317, 8, 3, 19, 322, 3.538, .264, .022, .208, .140, .140, 0
2013, STL, NL, 108, 319, 296, 46, 84, 14, 0, 17, 51, 23, 80, 0, 1, 0, .284, .335, .503, .839, 149, 137, 0, 0, .337, 31, 9, 52, 1343, 4.210, .251, .053, .288, .220, .220, 0
2014, STL, NL, 142, 563, 527, 55, 152, 34, 5, 15, 68, 26, 114, 3, 2, 3, .288, .321, .457, .779, 241, 248, 0, 7, .338, 54, 9, 94, 2050, 3.641, .202, .027, .228, .169, .169, 1
2015, STL, NL, 60, 186, 175, 14, 42, 9, 0, 5, 24, 10, 41, 1, 0, 0, .240, .280, .377, .657, 66, 107, 0, 1, .285, 14, 1, 32, 693, 3.726, .220, .027, .244, .137, .137, 1
2016, STL, NL, 118, 327, 297, 37, 74, 18, 0, 16, 54, 25, 81, 0, 1, 2, .249, .309, .471, .780, 140, 139, 0, 3, .286, 34, 5, 47, 1337, 4.089, .248, .049, .309, .222, .222, 1
2017, 2 Teams, 131, 367, 339, 46, 93, 22, 1, 20, 65, 23, 88, 0, 0, 1, .274, .319, .522, .841, 148, 0, 4, .311, 43, 5, 47, 1436, 3.913, .240, .054, .261, .248, .248, 1
2017, STL, NL, 31, 53, 48, 4, 14, 2, 0, 1, 7, 4, 17, 0, 0, 0, .292, .340, .396, .735, 19, 23, 0, 1, .419, 3, 0, 5, 217, 4.094, .321, .019, .235, .104, .104, 0
2017, ATL, NL, 100, 314, 291, 42, 79, 20, 1, 19, 58, 19, 71, 0, 0, 1, .271, .315, .543, .858, 158, 125, 0, 3, .294, 40, 5, 42, 1219, 3.882, .226, .061, .268, .271, .271, 1
2018, 2 Teams, 121, 337, 306, 42, 73, 10, 0, 21, 57, 27, 73, 0, 0, 4, .239, .309, .477, .786, 163, 0, 0, .245, 31, 6, 49, 1258, 3.733, .217, .062, .370, .239, .239, 0
2018, WSH, NL, 94, 277, 249, 37, 64, 9, 0, 18, 48, 24, 55, 0, 0, 4, .257, .332, .510, .842, 127, 127, 0, 0, .261, 27, 6, 41, 1062, 3.834, .199, .065, .436, .253, .253, 0
2018, STL, NL, 27, 60, 57, 5, 9, 1, 0, 3, 9, 3, 18, 0, 0, 0, .158, .200, .333, .533, 19, 36, 0, 0, .167, 4, 0, 8, 196, 3.267, .300, .050, .167, .175, .175, 0
2019, WSH, NL, 111, 333, 310, 42, 70, 14, 0, 20, 56, 20, 115, 0, 0, 2, .226, .276, .465, .741, 144, 157, 0, 1, .284, 34, 7, 40, 1308, 3.928, .345, .060, .174, .239, .239, 1
2020, ATL, NL, 16, 51, 49, 4, 9, 2, 0, 2, 9, 2, 18, 0, 0, 0, .184, .216, .347, .563, 17, 25, 0, 0, .241, 4, 3, 11, 209, 4.098, .353, .039, .111, .163, .163, 0
9 Seasons, 834, 2574, 2385, 294, 618, 129, 6, 118, 397, 161, 634, 4, 4, 12, .259, .307, .467, .774, 2574, 1113, 1168, 0, 16, .303, 253, 48, 391, 9956, 3.868, .246, .046, .254, .208, .208, 5
