2013, NYM, NL, 31, 112, 99, 4, 20, 3, 0, 1, 5, 12, 21, 0, 0, 0, .202, .286, .263, .548, 
2014, NYM, NL, 108, 421, 385, 48, 93, 22, 3, 13, 41, 32, 64, 1, 0, 2, .242, .302, .416, .718, 
2015, NYM, NL, 67, 268, 239, 31, 64, 14, 1, 12, 41, 23, 49, 0, 0, 4, .268, .340, .485, .825, 
2016, NYM, NL, 75, 276, 251, 27, 62, 7, 0, 4, 15, 19, 50, 0, 0, 3, .247, .307, .323, .629, 
2017, NYM, NL, 112, 376, 348, 39, 85, 19, 1, 16, 57, 23, 59, 0, 0, 2, .244, .293, .443, .735, 
2018, NYM, NL, 4, 16, 15, 1, 3, 0, 0, 1, 3, 1, 5, 0, 0, 0, .200, .250, .400, .650, 
2019, 3 Teams, 103, 391, 351, 52, 88, 16, 0, 16, 69, 32, 85, 0, 1, 2, .251, .312, .433, .745, 
2019, LAD, NL, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 
2019, NYM, NL, 10, 25, 23, 2, 2, 0, 0, 0, 2, 2, 5, 0, 0, 0, .087, .160, .087, .247, 
2019, TB, AL, 92, 365, 327, 50, 86, 16, 0, 16, 67, 30, 80, 0, 1, 2, .263, .323, .459, .782, 
2020, ATL, NL, 16, 66, 62, 8, 21, 5, 0, 4, 17, 3, 18, 1, 0, 0, .339, .364, .613, .976, 
8 Seasons, 516, 1926, 1750, 210, 436, 86, 5, 67, 248, 145, 351, 2, 1, 13, .249, .309, .419, .728, 
2013, NYM, NL, 112, 26, 44, 0, 1, .244, 4, 3, 10, 453, 4.045, .188, .009, .571, .061, .061, 1, 
2014, NYM, NL, 421, 160, 186, 1, 1, .259, 38, 15, 61, 1550, 3.682, .152, .031, .500, .174, .174, 0, 
2015, NYM, NL, 268, 116, 114, 0, 2, .289, 27, 7, 43, 988, 3.687, .183, .045, .469, .218, .218, 0, 
2016, NYM, NL, 276, 81, 112, 2, 1, .293, 11, 7, 45, 1058, 3.833, .181, .014, .380, .076, .076, 0, 
2017, NYM, NL, 376, 154, 157, 0, 3, .250, 36, 12, 49, 1364, 3.628, .157, .043, .390, .198, .198, 0, 
2018, NYM, NL, 16, 6, 8, 0, 0, .222, 1, 0, 2, 57, 3.563, .313, .063, .200, .200, .200, 0, 
2019, 3 Teams, 391, 152, 150, 0, 6, .281, 1506, 
2019, LAD, NL, 1, 0, 0, 0, 0, .000, 0, 0, 0, 2, 2.000, .000, .000, .---, .000, .000, 0, 
2019, NYM, NL, 25, 2, 18, 0, 0, .111, 0, 1, 7, 101, 4.040, .200, .000, .400, .000, .000, 0, 
2019, TB, AL, 365, 150, 132, 0, 6, .295, 32, 3, 42, 1403, 3.844, .219, .044, .375, .196, .196, 1, 
2020, ATL, NL, 66, 38, 29, 0, 1, .415, 9, 1, 9, 238, 3.606, .273, .061, .167, .274, .274, 0, 
1926, 733, 800, 3, 15, .274, 158, 49, 268, 7214, 3.746, .182, .035, .413, .170, .170, 2, 
