Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2009, CWS, AL, 10, 20, 16, 3, 3, 1, 0, 0, 0, 3, 8, 0, 0, 1, .188, .350, .250, .600, 4, 8, 0, 0, .375, 1, 1, 4, 84, 4.200, .400, .000, .375, .063, .063, 0
2010, CWS, AL, 8, 15, 11, 2, 1, 0, 0, 0, 0, 4, 5, 0, 0, 0, .091, .333, .091, .424, 1, 6, 0, 0, .167, 0, 0, 2, 62, 4.133, .333, .000, .800, .000, .000, 0
2011, CWS, AL, 38, 129, 110, 13, 23, 5, 1, 5, 16, 14, 38, 0, 1, 3, .209, .310, .409, .719, 45, 63, 0, 2, .261, 11, 2, 17, 523, 4.054, .295, .039, .368, .200, .200, 0
2012, CWS, AL, 52, 153, 136, 19, 29, 6, 0, 7, 13, 12, 56, 2, 1, 4, .213, .296, .412, .708, 56, 52, 1, 0, .301, 13, 2, 13, 651, 4.255, .366, .046, .214, .199, .199, 0
2013, CWS, AL, 84, 275, 256, 24, 50, 11, 0, 10, 24, 14, 94, 0, 1, 4, .195, .247, .355, .603, 91, 142, 0, 1, .261, 21, 9, 31, 1018, 3.702, .342, .036, .149, .160, .160, 0
2014, CWS, AL, 127, 442, 407, 42, 98, 16, 1, 15, 50, 25, 159, 0, 1, 8, .241, .297, .396, .693, 161, 172, 1, 1, .355, 32, 10, 41, 1728, 3.910, .360, .034, .157, .155, .155, 1
2015, CWS, AL, 112, 361, 331, 21, 79, 12, 0, 9, 39, 21, 104, 0, 1, 6, .239, .295, .356, .652, 118, 152, 2, 1, .320, 21, 8, 40, 1411, 3.909, .288, .025, .202, .118, .118, 0
2016, ATL, NL, 83, 325, 281, 27, 76, 18, 0, 8, 41, 29, 91, 0, 0, 11, .270, .357, .420, .777, 118, 112, 0, 4, .366, 26, 3, 32, 1316, 4.049, .280, .025, .319, .149, .149, 0
2017, ATL, NL, 99, 370, 317, 41, 89, 16, 0, 12, 49, 31, 82, 0, 1, 20, .281, .378, .445, .823, 141, 124, 0, 2, .342, 28, 6, 42, 1436, 3.881, .222, .032, .378, .164, .164, 0
2018, ATL, NL, 82, 296, 251, 34, 57, 9, 0, 8, 30, 35, 76, 0, 0, 9, .227, .341, .359, .700, 90, 128, 0, 1, .292, 17, 6, 36, 1214, 4.101, .257, .027, .461, .131, .131, 0
2019, ATL, NL, 85, 310, 271, 36, 62, 11, 3, 11, 34, 31, 105, 0, 0, 6, .229, .319, .413, .733, 112, 135, 0, 2, .325, 25, 8, 41, 1237, 3.990, .339, .035, .295, .185, .185, 0
2020, ATL, NL, 15, 54, 46, 5, 12, 5, 0, 1, 5, 6, 21, 0, 0, 2, .261, .370, .435, .805, 20, 17, 0, 0, .458, 6, 0, 3, 224, 4.148, .389, .019, .286, .174, .174, 0
12 Seasons, 795, 2750, 2433, 267, 579, 110, 5, 86, 301, 225, 839, 2, 6, 74, .238, .320, .393, .713, 2750, 957, 1111, 4, 14, .324, 201, 55, 302, 10904, 3.965, .305, .031, .268, .155, .155, 1
