2011, BOS, AL, 10, 6, 6, 3, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, .333, .333, .333, .667, 6, 2, 2, 0, 0, .500, 0, 0, 1, 17, 2.833, .333, .000, .---, .000, .000, 0, 
2012, BOS, AL, 25, 77, 68, 5, 8, 2, 0, 1, 2, 4, 16, 1, 0, 3, .118, .200, .191, .391, 77, 13, 39, 2, 0, .137, 3, 2, 13, 272, 3.532, .208, .013, .250, .074, .074, 0, 
2013, 2 Teams, 109, 382, 350, 39, 106, 16, 2, 3, 29, 15, 60, 5, 2, 11, .303, .349, .386, .735, 135, 153, 4, 2, .356, 21, 7, 49, 1422, 3.723, .157, .008, .250, .083, .083, 0, 
2013, BOS, AL, 63, 234, 215, 27, 71, 10, 2, 1, 19, 11, 30, 3, 1, 6, .330, .376, .409, .785, 234, 88, 88, 0, 2, .376, 13, 4, 30, 888, 3.795, .128, .004, .367, .079, .079, 0, 
2013, DET, AL, 46, 148, 135, 12, 35, 6, 0, 2, 10, 4, 30, 2, 1, 5, .259, .306, .348, .654, 148, 47, 65, 4, 0, .320, 8, 3, 19, 534, 3.608, .203, .014, .133, .089, .089, 0, 
2015, DET, AL, 120, 454, 416, 44, 125, 17, 3, 2, 23, 25, 44, 11, 8, 6, .300, .347, .370, .717, 454, 154, 160, 4, 3, .330, 22, 10, 64, 1690, 3.722, .097, .004, .568, .070, .070, 1, 
2016, DET, AL, 137, 513, 467, 57, 119, 26, 0, 4, 32, 28, 50, 7, 4, 8, .255, .306, .336, .643, 513, 157, 179, 7, 3, .276, 30, 12, 80, 1987, 3.873, .097, .008, .560, .081, .081, 1, 
2017, DET, AL, 130, 489, 463, 56, 118, 33, 1, 6, 54, 21, 65, 7, 4, 1, .255, .288, .369, .657, 489, 171, 190, 3, 1, .285, 40, 6, 66, 1819, 3.720, .133, .012, .323, .114, .114, 0, 
2018, DET, AL, 125, 464, 432, 43, 116, 31, 3, 5, 48, 19, 47, 15, 6, 8, .269, .310, .389, .699, 464, 168, 183, 3, 2, .291, 39, 11, 87, 1693, 3.649, .101, .011, .404, .120, .120, 1, 
2019, CIN, NL, 146, 530, 504, 62, 145, 21, 3, 11, 59, 20, 70, 6, 6, 3, .288, .318, .407, .724, 530, 205, 191, 1, 2, .315, 35, 17, 92, 1936, 3.653, .132, .021, .286, .119, .119, 1, 
2020, BAL, AL, 24, 96, 91, 8, 36, 13, 0, 0, 14, 2, 12, 0, 0, 2, .396, .417, .538, .955, 96, 49, 30, 0, 1, .450, 13, 1, 14, 358, 3.729, .125, .000, .167, .143, .143, 0, 
9 Seasons, 826, 3011, 2797, 317, 775, 159, 12, 32, 261, 134, 366, 52, 30, 42, .277, .318, .377, .695, 3011, 1054, 1127, 24, 14, .308, 203, 66, 466, 11194, 3.718, .122, .011, .366, .100, .100, 4, 
