name, url
Rafael Devers, https://www.mlb.com/player/646240
J.D. Martinez, https://www.mlb.com/player/502110
Jose Peraza, https://www.mlb.com/player/606299
Christian Vazquez, https://www.mlb.com/player/543877
Xander Bogaerts, https://www.mlb.com/player/593428
Jackie Bradley Jr., https://www.mlb.com/player/598265
Kevin Pillar, https://www.mlb.com/player/607680
Alex Verdugo, https://www.mlb.com/player/657077
Andrew Benintendi, https://www.mlb.com/player/643217
Mitch Moreland, https://www.mlb.com/player/519048
Michael Chavis, https://www.mlb.com/player/656308
Tzu-Wei Lin, https://www.mlb.com/player/624407
Kevin Plawecki, https://www.mlb.com/player/608700
Jonathan Arauz, https://www.mlb.com/player/660620
Jonathan Lucroy, https://www.mlb.com/player/518960
