Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2011, HOU, NL, 53, 226, 208, 29, 57, 13, 0, 6, 35, 13, 48, 0, 1, 2, .274, .319, .423, .742, 226, 88, 80, 0, 3, .325, 19, 4, 28, 853, 3.774, .212, .027, .271, .149, .149, 0
2012, HOU, NL, 113, 439, 395, 34, 95, 14, 3, 11, 55, 40, 96, 0, 2, 1, .241, .311, .375, .685, 439, 148, 187, 0, 2, .290, 28, 18, 62, 1643, 3.743, .219, .025, .417, .134, .134, 0
2013, HOU, AL, 86, 310, 296, 24, 74, 17, 0, 7, 36, 10, 82, 2, 0, 0, .250, .272, .378, .650, 310, 112, 145, 0, 3, .319, 24, 8, 51, 1173, 3.784, .265, .023, .122, .128, .128, 0
2014, DET, AL, 123, 480, 441, 57, 139, 30, 3, 23, 76, 30, 126, 6, 3, 3, .315, .358, .553, .912, 480, 244, 206, 0, 6, .389, 56, 8, 80, 1873, 3.902, .263, .048, .238, .238, .238, 1
2015, DET, AL, 158, 657, 596, 93, 168, 33, 2, 38, 102, 53, 178, 3, 2, 5, .282, .344, .535, .879, 657, 319, 260, 0, 3, .339, 73, 11, 100, 2605, 3.965, .271, .058, .298, .253, .253, 0
2016, DET, AL, 120, 517, 460, 69, 141, 35, 2, 22, 68, 49, 128, 1, 2, 3, .307, .373, .535, .908, 517, 246, 195, 0, 5, .378, 59, 13, 66, 2022, 3.911, .248, .043, .383, .228, .228, 0
2017, 2 Teams, 119, 489, 432, 85, 131, 26, 3, 45, 104, 53, 128, 4, 0, 0, .303, .376, .690, 1.066, 298, 203, 0, 4, .327, 74, 23, 69, 1911, 3.908, .262, .092, .414, .387, .387, 1
2017, DET, AL, 57, 232, 200, 38, 61, 13, 2, 16, 39, 29, 54, 2, 0, 0, .305, .388, .630, 1.018, 232, 126, 86, 0, 3, .338, 31, 10, 33, 874, 3.767, .233, .069, .537, .325, .325, 0
2017, ARI, NL, 62, 257, 232, 47, 70, 13, 1, 29, 65, 24, 74, 2, 0, 0, .302, .366, .741, 1.107, 257, 172, 117, 0, 1, .315, 43, 13, 36, 1037, 4.035, .288, .113, .324, .440, .440, 1
2018, BOS, AL, 150, 649, 569, 111, 188, 37, 2, 43, 130, 69, 146, 6, 1, 4, .330, .402, .629, 1.031, 649, 358, 216, 0, 7, .375, 82, 19, 99, 2519, 3.881, .225, .066, .473, .299, .299, 0
2019, BOS, AL, 146, 657, 575, 98, 175, 33, 2, 36, 105, 72, 138, 2, 0, 4, .304, .383, .557, .939, 657, 320, 226, 0, 5, .342, 71, 19, 89, 2463, 3.749, .210, .055, .522, .252, .252, 0
2020, BOS, AL, 40, 172, 152, 15, 32, 13, 0, 4, 18, 17, 42, 0, 0, 2, .211, .297, .375, .672, 172, 57, 71, 0, 1, .262, 17, 3, 23, 675, 3.924, .244, .023, .405, .164, .164, 0
10 Seasons, 1108, 4596, 4124, 615, 1200, 251, 17, 235, 729, 406, 1112, 24, 11, 24, .291, .355, .531, .886, 4596, 2190, 1789, 0, 39, .343, 503, 126, 667, 17737, 3.859, .242, .051, .365, .240, .240, 2
