2010, MIL, NL, 75, 297, 277, 24, 70, 9, 0, 4, 26, 18, 44, 4, 2, 1, .253, .300, .329, .628, 297, 91, 140, 0, 1, .287, 13, 9, 45, 1180, 3.973, .148, .013, .409, .076, .076, 0, 
2011, MIL, NL, 136, 468, 430, 45, 114, 16, 1, 12, 59, 29, 99, 2, 1, 2, .265, .313, .391, .703, 468, 168, 170, 4, 3, .317, 29, 7, 65, 1816, 3.880, .212, .026, .293, .126, .126, 1, 
2012, MIL, NL, 96, 346, 316, 46, 101, 17, 4, 12, 58, 22, 44, 4, 1, 4, .320, .368, .513, .881, 346, 162, 133, 1, 3, .338, 33, 12, 58, 1321, 3.818, .127, .035, .500, .193, .193, 0, 
2013, MIL, NL, 147, 580, 521, 59, 146, 25, 6, 18, 82, 46, 69, 9, 1, 5, .280, .340, .455, .795, 580, 237, 208, 0, 8, .290, 49, 16, 88, 2331, 4.019, .119, .031, .667, .175, .175, 2, 
2014, MIL, NL, 153, 655, 585, 73, 176, 53, 2, 13, 69, 66, 71, 4, 4, 2, .301, .373, .465, .837, 655, 272, 206, 0, 2, .324, 68, 13, 91, 2551, 3.895, .108, .020, .930, .164, .164, 1, 
2015, MIL, NL, 103, 415, 371, 51, 98, 20, 3, 7, 43, 36, 64, 1, 0, 1, .264, .326, .391, .717, 415, 145, 138, 1, 6, .297, 30, 18, 59, 1671, 4.027, .154, .017, .563, .127, .127, 0, 
2016, 2 Teams, 142, 544, 490, 67, 143, 24, 3, 24, 81, 47, 100, 5, 0, 3, .292, .355, .500, .855, 245, 238, 0, 4, .322, 51, 16, 93, 2209, 4.061, .184, .044, .470, .208, .208, 1, 
2016, MIL, NL, 95, 376, 338, 48, 101, 17, 3, 13, 50, 33, 70, 5, 0, 1, .299, .359, .482, .841, 376, 163, 171, 0, 4, .340, 33, 12, 65, 1544, 4.106, .186, .035, .471, .183, .183, 0, 
2016, TEX, AL, 47, 168, 152, 19, 42, 7, 0, 11, 31, 14, 30, 0, 0, 2, .276, .345, .539, .885, 168, 82, 67, 0, 0, .279, 18, 4, 28, 665, 3.958, .179, .065, .467, .263, .263, 1, 
2017, 2 Teams, 123, 481, 423, 45, 112, 21, 3, 6, 40, 46, 51, 1, 0, 8, .265, .345, .371, .716, 157, 161, 0, 4, .286, 30, 16, 68, 1868, 3.884, .106, .012, .902, .106, .106, 0, 
2017, TEX, AL, 77, 306, 281, 27, 68, 15, 0, 4, 27, 19, 32, 1, 0, 4, .242, .297, .338, .635, 306, 95, 105, 0, 2, .259, 19, 10, 38, 1172, 3.830, .105, .013, .594, .096, .096, 0, 
2017, COL, NL, 46, 175, 142, 18, 44, 6, 3, 2, 13, 27, 19, 0, 0, 4, .310, .429, .437, .865, 175, 62, 56, 0, 2, .341, 11, 6, 30, 696, 3.977, .109, .011, 1.421, .127, .127, 0, 
2018, OAK, AL, 126, 454, 415, 41, 100, 21, 1, 4, 51, 29, 65, 0, 0, 3, .241, .291, .325, .617, 454, 135, 177, 1, 6, .273, 26, 12, 65, 1760, 3.877, .143, .009, .446, .084, .084, 2, 
2019, 2 Teams, 101, 328, 293, 30, 68, 10, 1, 8, 36, 27, 51, 0, 0, 5, .232, .305, .355, .660, 104, 138, 0, 3, .253, 1351, 
2019, LAA, AL, 74, 268, 240, 28, 58, 8, 1, 7, 30, 21, 39, 0, 0, 4, .242, .310, .371, .680, 268, 89, 116, 0, 3, .259, 16, 15, 50, 1126, 4.201, .146, .026, .538, .129, .129, 0, 
2019, CHC, NL, 27, 60, 53, 2, 10, 2, 0, 1, 6, 6, 12, 0, 0, 1, .189, .283, .283, .566, 60, 15, 22, 0, 0, .225, 3, 2, 9, 225, 3.750, .200, .017, .500, .094, .094, 0, 
2020, BOS, AL, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0, 
11 Seasons, 1203, 4568, 4121, 481, 1128, 216, 24, 108, 545, 366, 658, 30, 9, 34, .274, .335, .416, .751, 4568, 1716, 1709, 7, 40, .300, 348, 136, 691, 18058, 3.953, .144, .024, .556, .143, .143, 7, 
