2013, TOR, AL, 36, 110, 102, 11, 21, 4, 0, 3, 13, 4, 29, 0, 1, 2, .206, .250, .333, .583, 
2014, TOR, AL, 53, 122, 116, 19, 31, 9, 0, 2, 7, 4, 28, 1, 2, 1, .267, .295, .397, .692, 
2015, TOR, AL, 159, 628, 586, 76, 163, 31, 2, 12, 56, 28, 85, 25, 4, 5, .278, .314, .399, .713, 
2016, TOR, AL, 146, 584, 548, 59, 146, 35, 2, 7, 53, 24, 90, 14, 6, 6, .266, .303, .376, .679, 
2017, TOR, AL, 154, 632, 587, 72, 150, 37, 1, 16, 42, 33, 95, 15, 6, 6, .256, .300, .404, .704, 
2018, TOR, AL, 142, 542, 512, 65, 129, 40, 2, 15, 59, 18, 98, 14, 3, 6, .252, .282, .426, .708, 
2019, 2 Teams, 161, 645, 611, 83, 158, 37, 3, 21, 88, 18, 89, 14, 5, 9, .259, .287, .432, .719, 
2019, SF, NL, 156, 628, 595, 82, 157, 37, 3, 21, 87, 18, 86, 14, 5, 9, .264, .293, .442, .735, 
2019, TOR, AL, 5, 17, 16, 1, 1, 0, 0, 0, 1, 0, 3, 0, 0, 0, .063, .059, .063, .121, 
2020, 2 Teams, 32, 134, 125, 22, 34, 7, 3, 4, 15, 8, 23, 2, 1, 1, .272, .321, .472, .793, 
2020, BOS, AL, 30, 126, 117, 20, 32, 7, 2, 4, 13, 8, 23, 1, 1, 1, .274, .325, .470, .796, 
2020, COL, NL, 2, 8, 8, 2, 2, 0, 1, 0, 2, 0, 0, 1, 0, 0, .250, .250, .500, .750, 
8 Seasons, 883, 3397, 3187, 407, 832, 200, 13, 80, 333, 137, 537, 85, 28, 36, .261, .297, .407, .704, 
2013, TOR, AL, 110, 34, 43, 2, 0, .257, 7, 0, 13, 437, 3.973, .264, .027, .138, .127, .127, 0, 
2014, TOR, AL, 122, 46, 54, 0, 1, .333, 11, 3, 17, 421, 3.451, .230, .016, .143, .129, .129, 1, 
2015, TOR, AL, 628, 234, 265, 4, 5, .306, 45, 9, 116, 2262, 3.602, .135, .019, .329, .121, .121, 0, 
2016, TOR, AL, 584, 206, 196, 3, 3, .306, 44, 12, 80, 2124, 3.637, .154, .012, .267, .109, .109, 0, 
2017, TOR, AL, 632, 237, 242, 3, 3, .280, 54, 13, 102, 2220, 3.513, .150, .025, .347, .148, .148, 1, 
2018, TOR, AL, 542, 218, 218, 0, 6, .281, 57, 8, 76, 1953, 3.603, .181, .028, .184, .174, .174, 1, 
2019, 2 Teams, 645, 264, 249, 0, 7, .270, 2127, 
2019, SF, NL, 628, 263, 241, 0, 6, .275, 61, 15, 105, 2072, 3.299, .137, .033, .209, .178, .178, 0, 
2019, TOR, AL, 17, 1, 8, 0, 1, .071, 0, 0, 2, 55, 3.235, .176, .000, .---, .000, .000, 0, 
2020, 2 Teams, 134, 59, 66, 0, 0, .306, 500, 
2020, BOS, AL, 126, 55, 61, 0, 0, .311, 13, 4, 21, 473, 3.754, .183, .032, .348, .197, .197, 0, 
2020, COL, NL, 8, 4, 5, 0, 0, .250, 1, 0, 1, 27, 3.375, .000, .000, .---, .250, .250, 0, 
3397, 1298, 1333, 12, 25, .290, 293, 64, 533, 12044, 3.545, .158, .024, .255, .146, .146, 3, 
