Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2013, CIN, NL, 13, 22, 19, 9, 7, 2, 0, 0, 1, 2, 4, 13, 1, 0, .368, .429, .474, .902, 9, 7, 1, 0, .467, 2, 0, 1, 78, 3.545, .182, .000, .500, .105, .105, 0
2014, CIN, NL, 152, 611, 563, 72, 141, 25, 8, 6, 48, 34, 117, 56, 23, 1, .250, .292, .355, .648, 200, 157, 9, 4, .304, 39, 1, 49, 2319, 3.795, .191, .010, .291, .105, .105, 1
2015, CIN, NL, 114, 454, 412, 56, 93, 8, 3, 4, 28, 28, 75, 57, 8, 1, .226, .274, .289, .563, 119, 164, 9, 4, .264, 15, 5, 57, 1677, 3.694, .165, .009, .373, .063, .063, 0
2016, CIN, NL, 119, 460, 411, 69, 107, 19, 3, 3, 17, 36, 93, 58, 8, 1, .260, .321, .343, .664, 141, 126, 11, 1, .329, 25, 5, 44, 1773, 3.854, .202, .007, .387, .083, .083, 1
2017, CIN, NL, 139, 633, 582, 85, 144, 17, 11, 4, 38, 44, 133, 59, 13, 0, .247, .299, .335, .634, 195, 195, 5, 2, .313, 32, 5, 53, 2518, 3.978, .210, .006, .331, .088, .088, 2
2018, CIN, NL, 153, 556, 504, 74, 119, 16, 9, 4, 29, 46, 132, 34, 10, 1, .236, .299, .327, .626, 165, 175, 1, 4, .309, 29, 1, 49, 2135, 3.840, .237, .007, .348, .091, .091, 1
2019, 2 Teams, 119, 353, 316, 41, 69, 14, 2, 0, 15, 32, 87, 22, 6, 0, .218, .289, .275, .564, 123, 3, 2, .299, 1404
2019, KC, AL, 93, 305, 275, 32, 58, 12, 2, 0, 12, 25, 74, 18, 5, 0, .211, .275, .269, .544, 74, 106, 3, 2, .286, 14, 1, 40, 1196, 3.921, .243, .000, .338, .058, .058, 0
2019, ATL, NL, 26, 48, 41, 9, 11, 2, 0, 0, 3, 7, 13, 4, 1, 0, .268, .375, .317, .692, 13, 17, 0, 0, .393, 2, 0, 3, 208, 4.333, .271, .000, .538, .049, .049, 0
2020, 2 Teams, 19, 25, 22, 4, 1, 0, 0, 0, 1, 1, 3, 3, 2, 0, .045, .083, .045, .129, 14, 1, 1, .050, 79
2020, CHC, NL, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, .000, .000, .000, .000, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2020, NYM, NL, 17, 25, 22, 4, 1, 0, 0, 0, 1, 1, 3, 3, 1, 0, .045, .083, .045, .129, 1, 14, 1, 1, .050, 0, 0, 7, 79, 3.160, .120, .000, .333, .000, .000, 0
8 Seasons, 828, 3114, 2829, 410, 681, 101, 36, 21, 177, 223, 644, 302, 71, 4, .241, .295, .324, .620, 3114, 917, 961, 40, 18, .302, 158, 18, 303, 11983, 3.848, .207, .007, .346, .083, .083, 5
