Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2007, DET, AL, 24, 53, 49, 8, 7, 3, 0, 1, 2, 3, 21, 5, 0, 1, .143, .208, .265, .473, 53, 13, 22, 0, 0, .222, 4, 0, 7, 197, 3.717, .396, .019, .143, .122, .122, 0
2008, FLA, NL, 8, 36, 32, 9, 16, 2, 0, 0, 2, 3, 8, 4, 0, 0, .500, .543, .563, 1.105, 36, 18, 6, 1, 0, .667, 2, 0, 1, 146, 4.056, .222, .000, .375, .063, .063, 0
2009, FLA, NL, 54, 199, 176, 30, 44, 12, 2, 4, 13, 17, 51, 1, 3, 1, .250, .318, .409, .727, 199, 72, 87, 4, 1, .328, 18, 2, 28, 748, 3.759, .256, .020, .333, .159, .159, 0
2010, FLA, NL, 82, 322, 291, 46, 68, 7, 3, 8, 28, 24, 92, 9, 2, 5, .234, .302, .361, .663, 322, 105, 92, 1, 1, .313, 18, 4, 30, 1290, 4.006, .286, .025, .261, .127, .127, 0
2011, SD, NL, 137, 568, 516, 82, 136, 24, 8, 9, 40, 44, 125, 40, 8, 2, .264, .323, .393, .716, 568, 203, 186, 4, 2, .331, 41, 6, 80, 2028, 3.570, .220, .016, .352, .130, .130, 0
2012, SD, NL, 147, 561, 507, 67, 123, 20, 5, 8, 45, 44, 110, 26, 7, 4, .243, .306, .349, .656, 561, 177, 218, 3, 3, .293, 33, 12, 82, 2039, 3.635, .196, .014, .400, .107, .107, 0
2013, SD, NL, 14, 57, 51, 7, 8, 1, 0, 1, 5, 4, 9, 4, 1, 1, .157, .232, .235, .467, 57, 12, 28, 1, 0, .171, 2, 3, 8, 213, 3.737, .158, .018, .444, .078, .078, 0
2014, SD, NL, 95, 272, 251, 24, 59, 13, 4, 1, 15, 19, 56, 4, 3, 1, .235, .290, .331, .621, 272, 83, 107, 0, 1, .297, 18, 8, 40, 1020, 3.750, .206, .004, .339, .096, .096, 1
2015, ATL, NL, 141, 555, 505, 65, 135, 18, 2, 10, 59, 45, 102, 23, 6, 1, .267, .327, .370, .697, 555, 187, 187, 1, 3, .316, 30, 16, 83, 2174, 3.917, .184, .018, .441, .103, .103, 2
2016, DET, AL, 94, 391, 349, 65, 110, 14, 5, 4, 43, 36, 69, 15, 6, 3, .315, .383, .418, .801, 391, 146, 112, 2, 1, .383, 23, 8, 63, 1510, 3.862, .176, .010, .522, .103, .103, 1
2017, 2 Teams, 114, 450, 395, 63, 90, 20, 2, 10, 35, 51, 94, 33, 8, 2, .228, .318, .365, .683, 144, 148, 1, 1, .274, 32, 12, 57, 1838, 4.084, .209, .022, .543, .137, .137, 0
2017, LAA, AL, 93, 387, 336, 57, 79, 19, 1, 6, 22, 48, 78, 29, 5, 2, .235, .333, .351, .685, 387, 118, 118, 0, 1, .289, 26, 11, 47, 1602, 4.140, .202, .016, .615, .116, .116, 0
2017, HOU, AL, 21, 63, 59, 6, 11, 1, 1, 4, 13, 3, 16, 4, 3, 0, .186, .226, .441, .666, 63, 26, 30, 1, 0, .179, 6, 1, 10, 236, 3.746, .254, .063, .188, .254, .254, 0
2018, 2 Teams, 129, 384, 342, 32, 85, 14, 2, 4, 28, 38, 75, 10, 5, 2, .249, .326, .336, .662, 115, 146, 0, 2, .306, 20, 7, 59, 1515, 3.945, .195, .010, .507, .088, .088, 1
2018, MIA, NL, 99, 287, 251, 20, 63, 12, 1, 3, 20, 32, 55, 8, 5, 2, .251, .338, .343, .681, 287, 86, 113, 0, 2, .308, 16, 3, 43, 1160, 4.042, .192, .010, .582, .092, .092, 0
2018, SEA, AL, 30, 97, 91, 12, 22, 2, 1, 1, 8, 6, 20, 2, 0, 0, .242, .289, .319, .607, 97, 29, 33, 0, 0, .300, 4, 4, 16, 355, 3.660, .206, .010, .300, .077, .077, 1
2019, NYY, AL, 82, 269, 239, 48, 68, 17, 0, 11, 32, 30, 72, 9, 6, 0, .285, .364, .494, .858, 269, 118, 94, 0, 0, .365, 28, 5, 34, 1121, 4.167, .268, .041, .417, .209, .209, 0
2020, 2 Teams, 23, 72, 68, 8, 17, 6, 1, 1, 3, 4, 21, 1, 0, 0, .250, .292, .412, .703, 28, 33, 0, 0, .348, 285
2020, CHC, NL, 9, 27, 27, 3, 7, 2, 1, 0, 1, 0, 8, 1, 0, 0, .259, .259, .407, .667, 27, 11, 15, 0, 0, .368, 3, 0, 1, 100, 3.704, .296, .000, .---, .148, .148, 0
2020, DET, AL, 14, 45, 41, 5, 10, 4, 0, 1, 2, 4, 13, 0, 0, 0, .244, .311, .415, .726, 45, 17, 18, 0, 0, .333, 5, 3, 9, 185, 4.111, .289, .022, .308, .171, .171, 0
14 Seasons, 1144, 4189, 3771, 554, 966, 171, 34, 72, 350, 362, 905, 184, 55, 23, .256, .324, .377, .701, 4189, 1421, 1466, 18, 15, .318, 277, 86, 582, 16124, 3.849, .216, .017, .400, .121, .121, 5
