Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2005, CIN, NL, 69, 234, 211, 25, 49, 16, 0, 9, 31, 20, 60, 3, 0, 3, .232, .308, .436, .744, 92, 104, 0, 0, .282, 25, 8, 30, 937, 4.004, .256, .038, .333, .204, .204, 0
2006, CIN, NL, 117, 467, 406, 60, 112, 33, 1, 15, 72, 41, 78, 6, 3, 13, .276, .359, .473, .831, 192, 183, 0, 3, .307, 49, 9, 70, 1797, 3.848, .167, .032, .526, .197, .197, 1
2007, CIN, NL, 139, 560, 502, 66, 145, 25, 1, 16, 76, 39, 86, 8, 1, 14, .289, .356, .438, .794, 220, 204, 0, 1, .322, 42, 5, 74, 2079, 3.713, .154, .029, .453, .149, .149, 1
2008, CIN, NL, 146, 582, 506, 75, 127, 29, 1, 26, 68, 61, 102, 1, 0, 10, .251, .340, .466, .807, 236, 231, 0, 5, .264, 56, 13, 78, 2258, 3.880, .175, .045, .598, .215, .215, 1
2009, 2 Teams, 85, 338, 293, 35, 66, 11, 2, 13, 39, 37, 67, 2, 1, 5, .225, .320, .410, .729, 119, 0, 3, .245, 26, 5, 38, 1362, 4.030, .198, .038, .552, .184, .184, 0
2009, CIN, NL, 43, 165, 139, 10, 29, 6, 1, 5, 16, 24, 38, 1, 1, 2, .209, .333, .374, .707, 52, 51, 0, 0, .250, 12, 3, 16, 708, 4.291, .230, .030, .632, .165, .165, 0
2009, TOR, AL, 42, 173, 154, 25, 37, 5, 1, 8, 23, 13, 29, 1, 0, 3, .240, .306, .442, .748, 68, 68, 0, 3, .242, 14, 2, 22, 654, 3.780, .168, .046, .448, .201, .201, 0
2010, TOR, AL, 96, 367, 332, 47, 81, 16, 0, 21, 51, 29, 60, 1, 0, 2, .244, .305, .482, .787, 160, 150, 0, 4, .235, 37, 9, 50, 1408, 3.837, .163, .057, .483, .238, .238, 0
2011, TOR, AL, 134, 530, 481, 70, 131, 36, 0, 17, 55, 43, 77, 8, 2, 3, .272, .334, .453, .787, 218, 235, 0, 3, .292, 53, 17, 81, 1980, 3.736, .145, .032, .558, .181, .181, 2
2012, TOR, AL, 151, 644, 542, 93, 152, 24, 0, 42, 110, 84, 94, 13, 3, 11, .280, .384, .557, .941, 302, 193, 0, 7, .266, 66, 6, 88, 2697, 4.188, .146, .065, .894, .277, .277, 0
2013, TOR, AL, 142, 621, 530, 90, 144, 29, 1, 36, 104, 82, 62, 7, 1, 4, .272, .370, .534, .904, 283, 213, 0, 5, .247, 66, 20, 95, 2461, 3.963, .100, .058, 1.323, .262, .262, 0
2014, TOR, AL, 128, 542, 477, 75, 128, 27, 2, 34, 98, 62, 82, 2, 0, 2, .268, .354, .547, .901, 261, 240, 0, 1, .260, 63, 18, 103, 2241, 4.135, .151, .063, .756, .279, .279, 1
2015, TOR, AL, 146, 624, 528, 94, 146, 31, 0, 39, 111, 77, 98, 3, 2, 9, .277, .372, .557, .929, 294, 224, 0, 10, .267, 70, 14, 89, 2517, 4.034, .157, .063, .786, .280, .280, 1
2016, TOR, AL, 160, 702, 601, 99, 158, 34, 0, 42, 127, 87, 138, 2, 0, 5, .263, .357, .529, .886, 318, 292, 0, 8, .270, 76, 22, 116, 2900, 4.131, .197, .060, .630, .266, .266, 2
2017, CLE, AL, 157, 669, 554, 96, 143, 20, 1, 38, 107, 104, 133, 2, 0, 5, .258, .377, .504, .881, 279, 266, 0, 5, .271, 59, 18, 85, 2870, 4.290, .199, .057, .782, .245, .245, 1
2018, CLE, AL, 137, 579, 500, 74, 123, 16, 1, 32, 107, 63, 132, 3, 0, 8, .246, .336, .474, .810, 237, 248, 0, 7, .265, 49, 14, 74, 2293, 3.960, .228, .055, .477, .228, .228, 0
2019, 2 Teams, 109, 486, 418, 81, 102, 18, 0, 34, 86, 58, 103, 0, 1, 7, .244, .344, .531, .875, 156, 0, 3, .239, 2151
2019, SEA, AL, 65, 289, 241, 48, 58, 7, 0, 21, 49, 41, 55, 0, 1, 4, .241, .356, .531, .888, 128, 85, 0, 3, .220, 28, 3, 35, 1246, 4.311, .190, .073, .745, .290, .290, 0
2019, NYY, AL, 44, 197, 177, 33, 44, 11, 0, 13, 37, 17, 48, 0, 0, 3, .249, .325, .531, .856, 94, 71, 0, 0, .267, 24, 1, 27, 905, 4.594, .244, .066, .354, .282, .282, 0
2020, CWS, AL, 31, 128, 110, 16, 19, 4, 0, 8, 15, 13, 39, 0, 0, 3, .173, .276, .427, .703, 47, 53, 0, 1, .172, 12, 3, 17, 569, 4.445, .305, .063, .333, .255, .255, 0
16 Seasons, 1947, 8073, 6991, 1096, 1826, 369, 10, 422, 1257, 900, 1411, 61, 14, 104, .261, .351, .498, .849, 8073, 3481, 3111, 0, 66, .269, 801, 185, 1150, 32520, 4.028, .175, .052, .638, .237, .237, 10
