Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2007, CIN, NL, 24, 89, 84, 11, 27, 7, 0, 4, 17, 5, 15, 1, 0, 0, .321, .360, .548, .907, 46, 37, 0, 0, .354, 11, 0, 17, 341, 3.831, .169, .045, .333, .226, .226, 0
2008, CIN, NL, 151, 589, 526, 69, 156, 32, 3, 24, 84, 59, 102, 7, 5, 2, .297, .368, .506, .874, 266, 193, 0, 2, .328, 59, 7, 79, 2187, 3.713, .173, .041, .578, .209, .209, 0
2009, CIN, NL, 131, 544, 469, 82, 151, 38, 1, 25, 84, 70, 106, 4, 1, 4, .322, .414, .567, .981, 266, 170, 0, 1, .372, 64, 8, 59, 2230, 4.099, .195, .046, .660, .245, .245, 1
2010, CIN, NL, 150, 648, 547, 106, 177, 36, 2, 37, 113, 91, 125, 16, 5, 7, .324, .424, .600, 1.024, 328, 185, 0, 3, .361, 75, 11, 95, 2547, 3.931, .193, .057, .728, .276, .276, 2
2011, CIN, NL, 161, 719, 599, 101, 185, 40, 3, 29, 103, 110, 129, 8, 6, 4, .309, .416, .531, .947, 318, 202, 0, 6, .349, 72, 20, 106, 2888, 4.017, .179, .040, .853, .222, .222, 2
2012, CIN, NL, 111, 475, 374, 59, 126, 44, 0, 14, 56, 94, 85, 5, 3, 5, .337, .474, .567, 1.041, 212, 127, 0, 2, .404, 58, 8, 65, 2042, 4.299, .179, .029, 1.106, .230, .230, 1
2013, CIN, NL, 162, 726, 581, 101, 177, 30, 3, 24, 73, 135, 138, 6, 3, 4, .305, .435, .491, .926, 285, 229, 0, 6, .360, 57, 15, 93, 3033, 4.178, .190, .033, .978, .186, .186, 2
2014, CIN, NL, 62, 272, 220, 32, 56, 16, 0, 6, 23, 47, 49, 1, 1, 3, .255, .390, .409, .799, 90, 78, 0, 2, .299, 22, 5, 33, 1179, 4.335, .180, .022, .959, .155, .155, 1
2015, CIN, NL, 158, 695, 545, 95, 171, 33, 2, 29, 80, 143, 135, 11, 3, 5, .314, .459, .541, 1.000, 295, 166, 0, 2, .371, 64, 11, 82, 3020, 4.345, .194, .042, 1.059, .228, .228, 1
2016, CIN, NL, 158, 677, 556, 101, 181, 34, 2, 29, 97, 108, 120, 8, 1, 5, .326, .434, .550, .985, 306, 191, 0, 8, .366, 65, 16, 89, 2896, 4.278, .177, .043, .900, .225, .225, 1
2017, CIN, NL, 162, 707, 559, 106, 179, 34, 1, 36, 100, 134, 83, 5, 1, 8, .320, .454, .578, 1.032, 323, 183, 0, 6, .321, 71, 16, 114, 2732, 3.864, .117, .051, 1.614, .258, .258, 0
2018, CIN, NL, 145, 623, 503, 67, 143, 28, 2, 12, 67, 108, 101, 2, 0, 9, .284, .417, .419, .837, 211, 195, 0, 3, .333, 42, 15, 83, 2504, 4.019, .162, .019, 1.069, .135, .135, 0
2019, CIN, NL, 142, 608, 525, 79, 137, 32, 1, 15, 47, 76, 123, 5, 0, 4, .261, .357, .411, .768, 216, 180, 0, 3, .313, 48, 14, 75, 2458, 4.043, .202, .025, .618, .150, .150, 0
2020, CIN, NL, 39, 160, 136, 22, 30, 5, 0, 7, 14, 24, 25, 0, 0, 0, .221, .338, .412, .749, 56, 50, 0, 0, .221, 12, 5, 25, 642, 4.013, .156, .044, .960, .191, .191, 2
14 Seasons, 1755, 7529, 6222, 1030, 1895, 409, 20, 290, 956, 1203, 1336, 79, 29, 60, .305, .419, .517, .936, 7529, 3214, 2186, 0, 44, .346, 719, 151, 1014, 30682, 4.075, .177, .039, .900, .212, .212, 13
