Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2011, KC, AL, 89, 365, 338, 26, 89, 18, 1, 5, 30, 22, 51, 2, 0, 1, .263, .309, .367, .675, 365, 124, 154, 2, 2, .296, 24, 5, 51, 1374, 3.764, .140, .014, .431, .104, .104, 0
2012, KC, AL, 149, 614, 563, 69, 136, 34, 1, 20, 73, 39, 124, 5, 2, 7, .242, .296, .412, .708, 614, 232, 232, 0, 5, .274, 55, 4, 81, 2416, 3.935, .202, .033, .315, .171, .171, 1
2013, KC, AL, 136, 514, 472, 42, 110, 26, 0, 12, 42, 32, 83, 2, 4, 5, .233, .287, .364, .651, 514, 172, 227, 1, 4, .257, 38, 13, 83, 1962, 3.817, .161, .023, .386, .131, .131, 1
2014, KC, AL, 140, 500, 457, 45, 97, 21, 1, 15, 54, 35, 74, 1, 0, 3, .212, .271, .361, .632, 500, 165, 213, 1, 4, .220, 37, 12, 86, 2069, 4.138, .148, .030, .473, .149, .149, 0
2015, KC, AL, 147, 614, 549, 73, 156, 34, 1, 22, 82, 43, 76, 1, 2, 13, .284, .348, .470, .817, 614, 258, 218, 4, 5, .294, 57, 14, 102, 2435, 3.966, .124, .036, .566, .186, .186, 0
2016, KC, AL, 27, 113, 104, 12, 25, 6, 0, 7, 13, 9, 13, 0, 1, 0, .240, .301, .500, .801, 113, 52, 40, 0, 0, .214, 13, 5, 12, 467, 4.133, .115, .062, .692, .260, .260, 0
2017, KC, AL, 148, 598, 555, 75, 151, 24, 0, 38, 85, 34, 94, 0, 0, 3, .272, .314, .521, .835, 598, 289, 191, 0, 6, .263, 62, 18, 87, 2240, 3.746, .157, .064, .362, .249, .249, 1
2018, 2 Teams, 152, 635, 573, 66, 144, 33, 1, 28, 95, 49, 103, 4, 1, 7, .251, .315, .459, .774, 263, 240, 0, 6, .259, 62, 13, 109, 2380, 3.748, .162, .044, .476, .208, .208, 0
2018, KC, AL, 98, 417, 378, 46, 94, 21, 1, 20, 62, 30, 63, 3, 0, 5, .249, .309, .468, .778, 417, 177, 162, 0, 4, .247, 42, 10, 66, 1559, 3.739, .151, .048, .476, .220, .220, 0
2018, MIL, NL, 54, 218, 195, 20, 50, 12, 0, 8, 33, 19, 40, 1, 1, 2, .256, .326, .441, .767, 218, 86, 78, 0, 2, .282, 20, 3, 43, 821, 3.766, .183, .037, .475, .185, .185, 0
2019, MIL, NL, 143, 584, 523, 80, 133, 30, 1, 35, 87, 53, 98, 3, 0, 6, .254, .329, .516, .845, 584, 270, 248, 0, 2, .250, 66, 12, 97, 2233, 3.824, .168, .060, .541, .262, .262, 0
2020, CIN, NL, 30, 106, 90, 7, 21, 4, 0, 4, 14, 12, 28, 0, 0, 3, .233, .340, .411, .751, 106, 37, 28, 0, 1, .288, 8, 4, 11, 430, 4.057, .264, .038, .429, .178, .178, 0
10 Seasons, 1161, 4643, 4224, 495, 1062, 230, 6, 186, 575, 328, 744, 18, 10, 48, .251, .310, .441, .751, 4643, 1862, 1791, 8, 35, .263, 422, 100, 719, 18006, 3.878, .160, .040, .441, .189, .189, 3
