2015, SD, NL, 56, 152, 137, 13, 23, 2, 0, 3, 11, 8, 38, 0, 0, 1, .168, .215, .248, .463, 
2016, SD, NL, 8, 26, 24, 2, 3, 1, 0, 0, 1, 0, 7, 0, 1, 1, .125, .154, .167, .321, 
2017, SD, NL, 120, 417, 387, 36, 83, 17, 0, 18, 55, 23, 122, 4, 1, 3, .214, .262, .398, .660, 
2018, SD, NL, 91, 326, 303, 29, 70, 14, 2, 14, 37, 21, 90, 3, 0, 1, .231, .282, .429, .711, 
2019, SD, NL, 102, 347, 312, 28, 55, 9, 0, 11, 36, 27, 109, 1, 0, 5, .176, .252, .311, .563, 
2020, 2 Teams, 30, 72, 58, 7, 9, 1, 0, 3, 6, 6, 19, 1, 1, 2, .155, .254, .328, .581, 
2020, CLE, AL, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, .000, .000, .000, .000, 
2020, SD, NL, 29, 71, 57, 7, 9, 1, 0, 3, 6, 6, 18, 1, 1, 2, .158, .258, .333, .591, 
6 Seasons, 407, 1340, 1221, 115, 243, 44, 2, 49, 146, 85, 385, 9, 3, 13, .199, .257, .359, .615, 
2015, SD, NL, 152, 34, 59, 3, 3, .202, 5, 1, 22, 536, 3.526, .250, .020, .211, .080, .080, 0, 
2016, SD, NL, 26, 4, 8, 0, 1, .167, 1, 0, 1, 96, 3.692, .269, .000, .---, .042, .042, 0, 
2017, SD, NL, 417, 154, 173, 1, 3, .260, 35, 10, 55, 1536, 3.683, .293, .043, .189, .183, .183, 0, 
2018, SD, NL, 326, 130, 150, 0, 1, .280, 30, 9, 46, 1298, 3.982, .276, .043, .233, .198, .198, 0, 
2019, SD, NL, 347, 97, 136, 2, 1, .228, 20, 3, 31, 1373, 3.957, .314, .032, .248, .135, .135, 1, 
2020, 2 Teams, 72, 19, 28, 5, 1, .162, 292, 
2020, CLE, AL, 1, 0, 0, 0, 0, .---, 0, 0, 0, 3, 3.000, 1.000, .000, .---, .000, .000, 0, 
2020, SD, NL, 71, 19, 28, 5, 1, .162, 4, 3, 14, 289, 4.070, .254, .042, .333, .175, .175, 0, 
1340, 438, 554, 11, 10, .243, 95, 26, 169, 5131, 3.829, .287, .037, .221, .160, .160, 1, 
