Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2010, CLE, AL, 46, 192, 150, 23, 39, 13, 0, 6, 22, 37, 29, 3, 0, 1, .260, .401, .467, .868, 192, 70, 56, 0, 4, .277, 19, 3, 25, 803, 4.182, .151, .031, 1.276, .207, .207, 0
2011, CLE, AL, 155, 658, 552, 84, 132, 35, 2, 27, 79, 97, 133, 5, 3, 2, .239, .351, .457, .808, 658, 252, 253, 0, 7, .263, 64, 15, 96, 2839, 4.315, .202, .041, .729, .217, .217, 2
2012, CLE, AL, 143, 609, 507, 72, 128, 27, 2, 18, 76, 91, 101, 3, 5, 3, .252, .365, .420, .785, 609, 213, 245, 0, 8, .278, 47, 21, 89, 2602, 4.273, .166, .030, .901, .168, .168, 1
2013, CLE, AL, 154, 642, 541, 75, 145, 39, 1, 20, 74, 93, 110, 3, 1, 4, .268, .377, .455, .832, 642, 246, 222, 0, 4, .301, 60, 7, 87, 2759, 4.298, .171, .031, .845, .187, .187, 1
2014, CLE, AL, 152, 660, 541, 68, 125, 25, 0, 27, 85, 113, 124, 5, 2, 3, .231, .365, .427, .792, 660, 231, 254, 0, 3, .249, 52, 13, 86, 2841, 4.305, .188, .041, .911, .196, .196, 0
2015, CLE, AL, 154, 666, 550, 72, 127, 29, 2, 19, 85, 108, 122, 11, 3, 3, .231, .357, .395, .752, 666, 217, 292, 0, 5, .261, 50, 20, 99, 2863, 4.299, .183, .029, .885, .164, .164, 0
2016, CLE, AL, 158, 688, 582, 89, 151, 31, 3, 34, 87, 99, 99, 5, 2, 2, .259, .366, .498, .865, 688, 290, 233, 0, 5, .258, 68, 18, 81, 2781, 4.042, .144, .049, 1.000, .239, .239, 1
2017, CLE, AL, 154, 667, 571, 90, 148, 37, 3, 23, 79, 88, 94, 5, 1, 6, .259, .363, .455, .818, 667, 260, 251, 0, 2, .274, 63, 11, 102, 2648, 3.970, .141, .034, .936, .196, .196, 0
2018, PHI, NL, 161, 679, 560, 82, 128, 28, 2, 24, 86, 110, 93, 2, 1, 1, .229, .352, .414, .766, 679, 232, 235, 0, 8, .231, 54, 12, 95, 2801, 4.125, .137, .035, 1.183, .186, .186, 0
2019, CLE, AL, 158, 686, 573, 110, 161, 30, 1, 34, 93, 108, 108, 4, 0, 3, .281, .397, .515, .911, 686, 295, 224, 0, 2, .293, 65, 13, 82, 2793, 4.071, .157, .050, 1.000, .234, .234, 2
2020, CLE, AL, 45, 193, 153, 24, 30, 3, 0, 5, 21, 38, 33, 0, 0, 1, .196, .358, .314, .671, 193, 48, 84, 0, 1, .216, 8, 4, 24, 851, 4.409, .171, .026, 1.152, .118, .118, 0
11 Seasons, 1479, 6337, 5278, 789, 1314, 297, 16, 237, 787, 981, 1046, 46, 18, 29, .249, .367, .446, .813, 6337, 2354, 2347, 0, 49, .266, 550, 137, 865, 26569, 4.193, .165, .037, .938, .197, .197, 7
