Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2013, ARI, NL, 20, 61, 55, 5, 16, 5, 0, 0, 5, 6, 10, 2, 0, 0, .291, .361, .382, .742, 61, 21, 19, 0, 0, .356, 5, 0, 3, 224, 3.672, .164, .000, .600, .091, .091, 0
2014, ARI, NL, 91, 332, 310, 34, 81, 15, 6, 6, 26, 16, 67, 8, 1, 2, .261, .300, .406, .706, 332, 126, 117, 2, 2, .314, 27, 4, 49, 1220, 3.675, .202, .018, .239, .145, .145, 0
2015, ARI, NL, 147, 552, 515, 59, 117, 27, 5, 4, 43, 26, 144, 16, 4, 1, .227, .264, .322, .587, 552, 166, 234, 7, 3, .305, 36, 9, 79, 1975, 3.578, .261, .007, .181, .095, .095, 1
2016, ARI, NL, 119, 466, 437, 52, 121, 24, 11, 5, 49, 20, 87, 21, 2, 5, .277, .315, .416, .731, 466, 182, 168, 2, 2, .334, 40, 8, 70, 1624, 3.485, .187, .011, .230, .140, .140, 0
2017, ARI, NL, 97, 386, 362, 41, 97, 25, 1, 12, 51, 17, 87, 12, 2, 1, .268, .299, .442, .741, 386, 160, 147, 2, 4, .318, 38, 3, 50, 1369, 3.547, .225, .031, .195, .174, .174, 1
2018, ARI, NL, 106, 309, 281, 34, 58, 15, 0, 4, 22, 24, 75, 11, 4, 2, .206, .272, .302, .574, 309, 85, 121, 0, 2, .265, 19, 4, 29, 1119, 3.621, .243, .013, .320, .096, .096, 0
2019, 2 Teams, 66, 196, 180, 13, 25, 6, 1, 3, 14, 14, 78, 5, 2, 2, .139, .209, .233, .442, 42, 79, 0, 0, .222, 775
2019, BOS, AL, 26, 51, 45, 4, 7, 2, 0, 1, 5, 6, 23, 1, 1, 0, .156, .255, .267, .522, 51, 12, 16, 0, 0, .286, 3, 1, 4, 204, 4.000, .451, .020, .261, .111, .111, 0
2019, KC, AL, 40, 145, 135, 9, 18, 4, 1, 2, 9, 8, 55, 4, 1, 2, .133, .193, .222, .415, 145, 30, 63, 0, 0, .205, 7, 1, 13, 571, 3.938, .379, .014, .145, .089, .089, 0
2020, COL, NL, 17, 44, 41, 9, 11, 1, 0, 2, 5, 3, 11, 1, 0, 0, .268, .318, .439, .757, 44, 18, 14, 0, 0, .321, 3, 0, 4, 155, 3.523, .250, .045, .273, .171, .171, 0
8 Seasons, 663, 2346, 2181, 247, 526, 118, 24, 36, 215, 126, 559, 76, 15, 13, .241, .285, .367, .652, 2346, 800, 899, 13, 13, .306, 178, 30, 301, 8461, 3.607, .238, .015, .225, .126, .126, 2
