2008, NYM, NL, 49, 151, 131, 24, 41, 9, 3, 2, 17, 18, 28, 0, 2, 1, .313, .397, .473, .871, 
2009, NYM, NL, 155, 556, 508, 60, 135, 38, 4, 12, 63, 38, 69, 4, 2, 0, .266, .313, .427, .741, 
2011, NYM, NL, 109, 423, 391, 49, 125, 28, 2, 6, 49, 24, 42, 5, 5, 3, .320, .362, .448, .809, 
2012, NYM, NL, 156, 612, 571, 62, 166, 40, 3, 6, 65, 36, 82, 10, 2, 1, .291, .332, .403, .735, 
2013, NYM, NL, 161, 697, 658, 92, 188, 38, 4, 13, 78, 32, 95, 23, 3, 2, .286, .319, .415, .733, 
2014, NYM, NL, 143, 642, 596, 79, 172, 37, 2, 9, 57, 39, 86, 13, 5, 2, .289, .332, .403, .734, 
2015, NYM, NL, 130, 538, 499, 56, 140, 38, 2, 14, 73, 31, 38, 2, 2, 2, .281, .322, .449, .770, 
2016, WSH, NL, 142, 582, 531, 88, 184, 47, 5, 25, 104, 35, 57, 5, 3, 8, .347, .390, .595, .985, 
2017, WSH, NL, 144, 593, 534, 94, 172, 43, 3, 23, 93, 52, 77, 2, 0, 4, .322, .384, .543, .928, 
2018, 2 Teams, 91, 351, 328, 40, 98, 15, 0, 12, 42, 20, 40, 3, 0, 0, .299, .336, .454, .790, 
2018, WSH, NL, 56, 205, 190, 17, 57, 9, 0, 6, 29, 13, 17, 1, 0, 0, .300, .341, .442, .784, 
2018, CHC, NL, 35, 146, 138, 23, 41, 6, 0, 6, 13, 7, 23, 2, 0, 0, .297, .329, .471, .800, 
2019, COL, NL, 132, 478, 438, 56, 122, 35, 1, 13, 78, 32, 74, 1, 1, 2, .279, .328, .452, .780, 
2020, COL, NL, 23, 88, 83, 7, 23, 2, 0, 3, 13, 4, 15, 0, 0, 0, .277, .310, .410, .720, 
12 Seasons, 1435, 5711, 5268, 707, 1566, 370, 29, 138, 732, 361, 703, 68, 25, 25, .297, .342, .457, .799, 
2008, NYM, NL, 151, 62, 47, 0, 1, .382, 14, 4, 21, 651, 4.311, .185, .013, .643, .160, .160, 0, 
2009, NYM, NL, 556, 217, 207, 4, 6, .284, 54, 13, 99, 2140, 3.849, .124, .022, .551, .161, .161, 1, 
2011, NYM, NL, 423, 175, 166, 3, 2, .345, 36, 14, 71, 1570, 3.712, .099, .014, .571, .128, .128, 0, 
2012, NYM, NL, 612, 230, 229, 0, 4, .329, 49, 12, 97, 2262, 3.696, .134, .010, .439, .112, .112, 1, 
2013, NYM, NL, 697, 273, 229, 0, 5, .315, 55, 13, 96, 2531, 3.631, .136, .019, .337, .129, .129, 0, 
2014, NYM, NL, 642, 240, 206, 0, 5, .322, 48, 15, 103, 2346, 3.654, .134, .014, .453, .114, .114, 0, 
2015, NYM, NL, 538, 224, 195, 0, 6, .278, 54, 15, 99, 1891, 3.515, .071, .026, .816, .168, .168, 0, 
2016, WSH, NL, 582, 316, 190, 0, 8, .348, 77, 4, 103, 2079, 3.572, .098, .043, .614, .249, .249, 0, 
2017, WSH, NL, 593, 290, 182, 0, 3, .341, 69, 16, 110, 2174, 3.666, .130, .039, .675, .221, .221, 2, 
2018, 2 Teams, 351, 149, 113, 0, 3, .308, 27, 5, 46, 1275, 3.632, .114, .034, .500, .155, .155, 0, 
2018, WSH, NL, 205, 84, 79, 0, 2, .302, 15, 4, 32, 725, 3.537, .083, .029, .765, .142, .142, 0, 
2018, CHC, NL, 146, 65, 34, 0, 1, .318, 12, 1, 14, 550, 3.767, .158, .041, .304, .174, .174, 0, 
2019, COL, NL, 478, 198, 188, 0, 4, .307, 49, 10, 70, 1821, 3.810, .155, .027, .432, .174, .174, 1, 
2020, COL, NL, 88, 34, 30, 0, 0, .308, 5, 0, 12, 328, 3.727, .170, .034, .267, .133, .133, 0, 
5711, 2408, 1982, 7, 47, .319, 537, 121, 927, 21068, 3.689, .123, .024, .514, .160, .160, 5, 
