Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2010, MIN, AL, 49, 155, 142, 12, 28, 6, 1, 2, 13, 4, 25, 0, 0, 4, .197, .237, .296, .533, 155, 42, 68, 3, 2, .222, 9, 5, 23, 582, 3.755, .161, .013, .160, .099, .099, 0
2011, MIN, AL, 93, 254, 234, 19, 39, 9, 1, 2, 23, 11, 42, 0, 0, 2, .167, .210, .239, .449, 254, 56, 108, 6, 1, .194, 12, 7, 47, 938, 3.693, .165, .008, .262, .073, .073, 1
2012, MIN, AL, 42, 122, 111, 7, 22, 6, 0, 1, 5, 9, 26, 0, 0, 2, .198, .270, .279, .550, 122, 31, 40, 0, 0, .250, 7, 3, 17, 439, 3.598, .213, .008, .346, .081, .081, 0
2013, 2 Teams, 6, 10, 10, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, .100, .100, .100, .200, 1, 4, 0, 0, .200, 0, 0, 0, 36, 3.600, .500, .000, .---, .000, .000, 0
2013, MIN, AL, 2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, .000, .000, .000, .000, 3, 0, 1, 0, 0, .000, 0, 0, 0, 9, 3.000, .333, .000, .---, .000, .000, 0
2013, LAD, NL, 4, 7, 7, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, .143, .143, .143, .286, 7, 1, 3, 0, 0, .333, 0, 0, 0, 27, 3.857, .571, .000, .---, .000, .000, 0
2014, LAD, NL, 61, 192, 170, 16, 32, 6, 1, 3, 14, 17, 41, 0, 0, 2, .188, .267, .288, .555, 192, 49, 85, 1, 2, .227, 10, 1, 17, 749, 3.901, .214, .016, .415, .100, .100, 0
2015, 2 Teams, 55, 120, 107, 9, 21, 3, 0, 1, 5, 6, 26, 0, 1, 2, .196, .252, .252, .505, 27, 35, 5, 0, .250, 4, 0, 14, 402, 3.350, .217, .008, .231, .056, .056, 0
2015, LAA, AL, 10, 21, 21, 3, 4, 0, 0, 0, 0, 0, 2, 0, 1, 0, .190, .190, .190, .381, 21, 4, 3, 0, 0, .211, 0, 0, 2, 72, 3.429, .095, .000, .---, .000, .000, 0
2015, KC, AL, 45, 99, 86, 6, 17, 3, 0, 1, 5, 6, 24, 0, 0, 2, .198, .266, .267, .533, 99, 23, 32, 5, 0, .262, 4, 0, 12, 330, 3.333, .242, .010, .250, .070, .070, 0
2016, KC, AL, 55, 133, 123, 18, 35, 10, 1, 4, 16, 8, 36, 0, 0, 0, .285, .328, .480, .808, 133, 59, 51, 2, 0, .373, 15, 2, 17, 545, 4.098, .271, .030, .222, .195, .195, 0
2017, KC, AL, 75, 177, 163, 18, 37, 4, 1, 3, 14, 12, 41, 0, 0, 1, .227, .284, .319, .603, 177, 52, 70, 1, 0, .286, 8, 0, 22, 720, 4.068, .232, .017, .293, .092, .092, 0
2018, 2 Teams, 61, 182, 163, 13, 31, 9, 0, 3, 21, 15, 39, 0, 0, 2, .190, .264, .301, .564, 49, 78, 0, 2, .228, 12, 4, 17, 724, 3.978, .214, .016, .385, .110, .110, 0
2018, KC, AL, 51, 166, 149, 11, 28, 9, 0, 2, 18, 13, 37, 0, 0, 2, .188, .259, .289, .548, 166, 43, 70, 0, 2, .232, 11, 4, 16, 654, 3.940, .223, .012, .351, .101, .101, 0
2018, COL, NL, 10, 16, 14, 2, 3, 0, 0, 1, 3, 2, 2, 0, 0, 0, .214, .313, .429, .741, 16, 6, 8, 0, 0, .182, 1, 0, 1, 70, 4.375, .125, .063, 1.000, .214, .214, 0
2019, COL, NL, 16, 49, 43, 6, 7, 3, 0, 0, 3, 4, 14, 0, 0, 0, .163, .229, .233, .462, 49, 10, 22, 1, 1, .233, 3, 2, 4, 187, 3.816, .286, .000, .286, .070, .070, 0
2020, COL, NL, 22, 36, 32, 4, 6, 2, 0, 0, 4, 2, 9, 0, 0, 0, .188, .229, .250, .479, 36, 8, 19, 1, 1, .250, 2, 3, 8, 151, 4.194, .250, .000, .222, .063, .063, 0
11 Seasons, 535, 1430, 1298, 122, 259, 58, 5, 19, 118, 88, 304, 0, 1, 15, .200, .257, .296, .553, 1430, 384, 580, 20, 9, .244, 82, 27, 186, 5473, 3.827, .213, .013, .289, .096, .096, 1
