Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2012, PIT, NL, 42, 68, 62, 7, 13, 5, 1, 1, 5, 4, 14, 0, 1, 1, .210, .265, .371, .636, 68, 23, 14, 0, 1, .250, 7, 0, 3, 263, 3.868, .206, .015, .286, .161, .161, 0
2013, PIT, NL, 103, 365, 333, 33, 95, 22, 2, 8, 27, 22, 62, 3, 2, 4, .285, .336, .435, .772, 365, 145, 111, 5, 1, .330, 32, 7, 47, 1399, 3.833, .170, .022, .355, .150, .150, 1
2014, PIT, NL, 149, 555, 506, 56, 129, 27, 2, 12, 55, 35, 89, 4, 1, 4, .255, .305, .387, .693, 555, 196, 239, 5, 5, .285, 41, 14, 99, 2053, 3.699, .160, .022, .393, .132, .132, 1
2015, PIT, NL, 116, 430, 394, 34, 96, 21, 0, 3, 34, 27, 73, 3, 2, 2, .244, .293, .320, .613, 430, 126, 180, 4, 3, .290, 24, 7, 75, 1603, 3.728, .170, .007, .370, .076, .076, 1
2016, PIT, NL, 149, 584, 519, 66, 133, 22, 3, 11, 59, 51, 83, 1, 1, 5, .256, .328, .374, .701, 584, 194, 227, 7, 2, .286, 36, 11, 93, 2292, 3.925, .142, .019, .614, .118, .118, 1
2017, PIT, NL, 145, 558, 502, 52, 128, 24, 5, 14, 58, 51, 88, 0, 4, 3, .255, .326, .406, .733, 558, 204, 220, 0, 2, .284, 43, 16, 86, 2187, 3.919, .158, .025, .580, .151, .151, 0
2018, PIT, NL, 117, 436, 394, 43, 99, 29, 2, 6, 39, 32, 87, 2, 0, 6, .251, .315, .381, .696, 436, 150, 180, 1, 3, .306, 37, 12, 66, 1677, 3.846, .200, .014, .368, .129, .129, 0
2019, DET, AL, 74, 271, 256, 24, 69, 16, 0, 9, 22, 13, 57, 0, 0, 2, .270, .310, .438, .748, 271, 112, 93, 0, 0, .316, 25, 4, 27, 1082, 3.993, .210, .033, .228, .168, .168, 2
2020, 2 Teams, 9, 22, 20, 2, 4, 0, 0, 0, 0, 2, 2, 0, 0, 0, .200, .273, .200, .473, 4, 6, 0, 0, .222, 98
2020, DET, AL, 3, 9, 9, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, .222, .222, .222, .444, 9, 2, 3, 0, 0, .250, 0, 1, 1, 39, 4.333, .111, .000, .---, .000, .000, 0
2020, NYY, AL, 6, 13, 11, 1, 2, 0, 0, 0, 0, 2, 1, 0, 0, 0, .182, .308, .182, .490, 13, 2, 3, 0, 0, .200, 0, 0, 2, 59, 4.538, .077, .000, 2.000, .000, .000, 0
9 Seasons, 904, 3289, 2986, 317, 766, 166, 15, 64, 299, 237, 555, 13, 11, 27, .257, .315, .386, .702, 3289, 1154, 1270, 22, 17, .294, 245, 72, 499, 12654, 3.847, .169, .019, .427, .130, .130, 6
