Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2015, COL, NL, 22, 76, 70, 6, 11, 3, 0, 2, 8, 6, 14, 0, 0, 0, .157, .224, .286, .509, 76, 20, 18, 0, 0, .167, 5, 2, 12, 276, 3.632, .184, .026, .429, .129, .129, 0
2016, COL, NL, 24, 75, 68, 7, 16, 6, 0, 1, 6, 6, 22, 0, 0, 0, .235, .293, .368, .661, 75, 25, 29, 0, 1, .326, 7, 1, 9, 274, 3.653, .293, .013, .273, .132, .132, 0
2017, 2 Teams, 41, 126, 112, 10, 21, 8, 0, 2, 9, 12, 36, 0, 0, 1, .188, .272, .313, .585, 35, 59, 1, 0, .257, 10, 3, 24, 516, 4.095, .286, .016, .333, .125, .125, 0
2017, COL, NL, 22, 74, 68, 5, 14, 7, 0, 1, 6, 4, 24, 0, 0, 1, .206, .260, .353, .613, 74, 24, 29, 1, 0, .302, 8, 1, 12, 295, 3.986, .324, .014, .167, .147, .147, 0
2017, OAK, AL, 19, 52, 44, 5, 7, 1, 0, 1, 3, 8, 12, 0, 0, 0, .159, .288, .250, .538, 52, 11, 30, 0, 0, .194, 2, 2, 12, 221, 4.250, .231, .019, .667, .091, .091, 0
2018, CWS, AL, 1, 3, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, .500, .667, .500, 1.167, 3, 1, 0, 0, 0, .500, 0, 0, 0, 16, 5.333, .000, .000, .---, .000, .000, 0
2019, 2 Teams, 35, 101, 86, 14, 21, 5, 0, 3, 14, 10, 22, 0, 0, 4, .244, .350, .407, .757, 35, 32, 0, 0, .295, 402
2019, LAA, AL, 28, 82, 69, 11, 16, 3, 0, 2, 7, 8, 18, 0, 0, 4, .232, .346, .362, .708, 82, 25, 30, 0, 0, .286, 5, 1, 9, 338, 4.122, .220, .024, .444, .130, .130, 1
2019, OAK, AL, 7, 19, 17, 3, 5, 2, 0, 1, 7, 2, 4, 0, 0, 0, .294, .368, .588, .957, 19, 10, 2, 0, 0, .333, 3, 0, 1, 64, 3.368, .211, .053, .500, .294, .294, 0
2020, HOU, AL, 12, 30, 25, 4, 4, 0, 1, 1, 4, 4, 9, 0, 0, 0, .160, .276, .360, .636, 30, 9, 9, 1, 0, .200, 2, 1, 4, 113, 3.767, .300, .033, .444, .200, .200, 0
6 Seasons, 135, 411, 363, 41, 74, 22, 1, 9, 42, 39, 103, 0, 0, 5, .204, .289, .344, .634, 411, 125, 147, 2, 1, .258, 32, 8, 59, 1597, 3.886, .251, .022, .379, .140, .140, 1
