Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2011, MIL, NL, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, .000, .000, .000, .000, 263, 238, 26, 54, 15, 0, 6, 17, 17, 55, 0, 0, 5, .227, .291, .366, .657
2012, MIL, NL, 78, 256, 233, 22, 62, 9, 0, 8, 30, 17, 56, 1, 1, 2, .266, .321, .408, .729, 125, 103, 17, 24, 3, 0, 4, 20, 19, 39, 1, 0, 1, .233, .358, .379, .736
2013, MIL, NL, 67, 202, 183, 13, 31, 7, 1, 4, 22, 13, 53, 0, 0, 3, .169, .236, .284, .520, 234, 483, 94, 3, 67, 240, 181, 605, 3, 5, 51, .219, .293, .356, .649
2014, MIL, NL, 52, 126, 111, 14, 26, 5, 0, 4, 16, 11, 32, 0, 0, 3, .234, .320, .387, .707, 0, 0, 0, 0, .---, 0, 0, 0, 3, 3.000, 1.000, .000, .---, .000, .000, 0
2015, MIL, NL, 79, 256, 229, 19, 48, 7, 0, 4, 22, 23, 65, 0, 1, 1, .210, .282, .293, .575, 95, 101, 4, 0, .320, 17, 5, 38, 968, 3.781, .219, .031, .304, .142, .142, 0
2016, MIL, NL, 76, 253, 208, 21, 42, 7, 0, 8, 21, 35, 56, 1, 0, 6, .202, .332, .351, .683, 52, 72, 3, 0, .214, 12, 2, 20, 796, 3.941, .262, .020, .245, .115, .115, 0
2017, LAA, AL, 138, 471, 429, 43, 95, 19, 1, 14, 38, 15, 119, 0, 2, 18, .221, .276, .368, .645, 43, 52, 1, 0, .293, 9, 4, 14, 487, 3.865, .254, .032, .344, .153, .153, 0
2018, 2 Teams, 119, 404, 373, 39, 84, 18, 1, 9, 44, 16, 98, 0, 1, 11, .225, .276, .351, .627, 67, 82, 1, 2, .272, 11, 6, 34, 994, 3.883, .254, .016, .354, .083, .083, 2
2018, LAA, AL, 78, 290, 265, 24, 59, 14, 0, 5, 32, 13, 73, 0, 1, 10, .223, .284, .332, .616, 73, 103, 3, 1, .234, 15, 6, 30, 999, 3.949, .221, .032, .625, .149, .149, 0
2018, HOU, AL, 41, 114, 108, 15, 25, 4, 1, 4, 12, 3, 25, 0, 0, 1, .231, .257, .398, .655, 158, 198, 8, 1, .273, 34, 12, 55, 1777, 3.773, .253, .030, .126, .147, .147, 0
2019, 3 Teams, 105, 374, 333, 46, 71, 19, 0, 12, 27, 32, 86, 0, 0, 6, .213, .293, .378, .671, 158, 2, 2, .280, 28, 8, 44, 1520, 3.762, .243, .022, .163, .126, .126, 0
2019, CHC, NL, 4, 13, 11, 0, 0, 0, 0, 0, 0, 2, 5, 0, 0, 0, .000, .154, .000, .154, 88, 110, 1, 1, .287, 19, 3, 32, 1113, 3.838, .252, .017, .178, .109, .109, 0
2019, HOU, AL, 27, 98, 84, 20, 17, 4, 0, 6, 10, 13, 26, 0, 0, 1, .202, .316, .464, .781, 43, 48, 1, 1, .263, 9, 5, 12, 407, 3.570, .219, .035, .120, .167, .167, 0
