Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2009, CLE, AL, 28, 121, 112, 10, 35, 4, 0, 0, 11, 8, 19, 4, 4, 0, .313, .358, .348, .707, 121, 39, 29, 1, 0, .376, 4, 3, 15, 489, 4.041, .157, .000, .421, .036, .036, 0
2010, CLE, AL, 72, 325, 297, 38, 73, 9, 3, 3, 22, 22, 38, 10, 2, 0, .246, .296, .327, .623, 325, 97, 88, 4, 2, .271, 15, 6, 42, 1314, 4.043, .117, .009, .579, .081, .081, 0
2011, CLE, AL, 114, 496, 451, 63, 120, 24, 4, 7, 46, 34, 76, 13, 5, 3, .266, .318, .384, .702, 496, 173, 138, 3, 5, .303, 35, 11, 58, 1948, 3.927, .153, .014, .447, .118, .118, 1
2012, CLE, AL, 149, 609, 552, 63, 159, 37, 4, 6, 60, 53, 56, 12, 9, 0, .288, .348, .402, .750, 609, 222, 228, 0, 4, .310, 47, 7, 99, 2163, 3.552, .092, .010, .946, .114, .114, 0
2013, CLE, AL, 151, 611, 556, 66, 158, 26, 3, 10, 73, 40, 67, 17, 4, 4, .284, .332, .396, .728, 611, 220, 222, 3, 8, .304, 39, 11, 105, 2242, 3.669, .110, .016, .597, .112, .112, 0
2014, CLE, AL, 156, 676, 611, 94, 200, 45, 2, 20, 97, 52, 56, 23, 1, 8, .327, .385, .506, .890, 676, 309, 211, 0, 5, .333, 67, 16, 106, 2415, 3.572, .083, .030, .929, .178, .178, 2
2015, CLE, AL, 137, 596, 529, 68, 164, 45, 0, 15, 84, 60, 51, 15, 1, 2, .310, .379, .480, .859, 596, 254, 223, 0, 5, .318, 60, 14, 110, 2149, 3.606, .086, .025, 1.176, .170, .170, 1
2016, CLE, AL, 11, 43, 39, 5, 9, 2, 0, 0, 7, 3, 6, 1, 0, 0, .231, .279, .282, .561, 43, 11, 14, 0, 1, .265, 2, 1, 4, 170, 3.953, .140, .000, .500, .051, .051, 0
2017, CLE, AL, 90, 375, 338, 47, 101, 20, 1, 9, 52, 31, 50, 11, 1, 2, .299, .357, .444, .801, 375, 150, 139, 0, 4, .325, 30, 8, 53, 1391, 3.709, .133, .024, .620, .145, .145, 1
2018, CLE, AL, 143, 631, 570, 89, 176, 36, 2, 17, 76, 48, 60, 12, 3, 5, .309, .364, .468, .832, 631, 267, 204, 1, 6, .319, 55, 15, 91, 2286, 3.623, .095, .027, .800, .160, .160, 2
2019, HOU, AL, 148, 637, 575, 88, 179, 40, 2, 22, 90, 51, 66, 3, 2, 7, .311, .372, .503, .875, 637, 289, 244, 0, 4, .320, 64, 21, 133, 2316, 3.636, .104, .035, .773, .191, .191, 1
2020, HOU, AL, 32, 129, 116, 21, 36, 14, 0, 4, 21, 13, 21, 1, 0, 0, .310, .380, .534, .914, 129, 62, 44, 0, 0, .352, 18, 3, 23, 517, 4.008, .163, .031, .619, .224, .224, 0
12 Seasons, 1231, 5249, 4746, 652, 1410, 302, 21, 113, 639, 415, 566, 122, 32, 31, .297, .354, .441, .795, 5249, 2093, 1784, 12, 44, .315, 436, 116, 839, 19400, 3.696, .108, .022, .733, .144, .144, 8
