Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2007, KC, AL, 151, 601, 543, 60, 134, 36, 4, 15, 60, 41, 137, 14, 4, 13, .247, .314, .411, .725, 223, 256, 1, 2, .303, 55, 12, 91, 2289, 3.809, .228, .025, .299, .164, .164, 0
2008, KC, AL, 134, 571, 493, 72, 128, 35, 1, 16, 59, 66, 120, 9, 2, 6, .260, .351, .432, .783, 213, 195, 1, 5, .309, 52, 8, 88, 2245, 3.932, .210, .028, .550, .172, .172, 0
2009, KC, AL, 49, 189, 164, 28, 38, 6, 0, 6, 22, 21, 43, 5, 0, 2, .232, .324, .378, .703, 62, 93, 1, 1, .276, 12, 5, 28, 739, 3.910, .228, .032, .488, .146, .146, 0
2010, KC, AL, 74, 281, 242, 34, 52, 10, 0, 8, 20, 34, 62, 1, 5, 2, .215, .315, .355, .671, 86, 95, 2, 1, .254, 18, 9, 40, 1133, 4.032, .221, .028, .548, .140, .140, 1
2011, KC, AL, 151, 690, 611, 101, 185, 45, 4, 23, 87, 67, 139, 17, 8, 7, .303, .376, .502, .879, 307, 218, 0, 3, .358, 72, 9, 77, 2765, 4.007, .201, .033, .482, .200, .200, 1
2012, KC, AL, 161, 721, 642, 93, 189, 51, 5, 14, 72, 73, 140, 10, 5, 3, .294, .368, .455, .822, 292, 236, 0, 3, .356, 70, 14, 86, 2894, 4.014, .194, .019, .521, .160, .160, 0
2013, KC, AL, 156, 700, 633, 90, 168, 27, 6, 20, 81, 52, 141, 11, 3, 9, .265, .327, .422, .749, 267, 228, 0, 6, .310, 53, 4, 68, 2805, 4.007, .201, .029, .369, .156, .156, 3
2014, KC, AL, 156, 643, 563, 87, 150, 34, 1, 19, 74, 65, 126, 12, 3, 11, .266, .351, .432, .783, 243, 211, 0, 4, .310, 54, 11, 81, 2655, 4.129, .196, .030, .516, .165, .165, 1
2015, KC, AL, 104, 422, 354, 40, 96, 18, 0, 13, 48, 49, 92, 2, 5, 14, .271, .377, .432, .809, 153, 128, 0, 5, .327, 31, 2, 38, 1683, 3.988, .218, .031, .533, .161, .161, 0
2016, KC, AL, 128, 506, 445, 62, 98, 16, 2, 17, 40, 52, 148, 8, 1, 8, .220, .312, .380, .692, 169, 175, 0, 1, .288, 35, 9, 50, 2126, 4.202, .292, .034, .351, .160, .160, 0
2017, KC, AL, 148, 541, 476, 52, 99, 20, 2, 9, 45, 45, 126, 7, 4, 14, .208, .293, .315, .608, 150, 205, 2, 4, .261, 31, 7, 64, 2200, 4.067, .233, .017, .357, .107, .107, 1
2018, KC, AL, 141, 568, 506, 56, 124, 24, 0, 13, 54, 50, 124, 12, 2, 10, .245, .324, .370, .694, 187, 186, 0, 2, .299, 37, 7, 64, 2191, 3.857, .218, .023, .403, .125, .125, 0
2019, KC, AL, 150, 633, 556, 77, 148, 31, 1, 13, 76, 51, 100, 5, 3, 19, .266, .345, .396, .741, 220, 215, 1, 6, .301, 45, 13, 76, 2350, 3.712, .158, .021, .510, .129, .129, 0
2020, KC, AL, 39, 146, 130, 12, 28, 4, 0, 4, 8, 13, 28, 0, 0, 3, .215, .301, .338, .640, 44, 53, 0, 0, .245, 8, 0, 13, 568, 3.890, .192, .027, .464, .123, .123, 0
14 Seasons, 1742, 7212, 6358, 864, 1637, 357, 26, 190, 746, 679, 1526, 113, 45, 121, .257, .338, .411, .750, 7212, 2616, 2494, 8, 43, .309, 573, 110, 864, 28643, 3.972, .212, .026, .445, .154, .154, 7
