Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2011, KC, AL, 39, 158, 148, 20, 49, 8, 2, 3, 21, 7, 20, 0, 0, 1, .331, .361, .473, .834, 158, 70, 46, 0, 2, .362, 13, 5, 21, 565, 3.576, .127, .019, .350, .142, .142, 0
2012, KC, AL, 76, 305, 289, 38, 87, 16, 0, 11, 39, 12, 27, 0, 0, 1, .301, .328, .471, .798, 305, 136, 114, 0, 3, .299, 27, 14, 54, 988, 3.239, .089, .036, .444, .170, .170, 1
2013, KC, AL, 138, 526, 496, 48, 145, 25, 3, 13, 79, 21, 63, 0, 0, 4, .292, .323, .433, .757, 526, 215, 181, 0, 5, .311, 41, 13, 89, 1771, 3.367, .120, .025, .333, .141, .141, 0
2014, KC, AL, 150, 606, 578, 57, 150, 28, 2, 17, 70, 22, 85, 1, 0, 3, .260, .289, .403, .692, 606, 233, 270, 0, 3, .278, 47, 22, 117, 2029, 3.348, .140, .028, .259, .144, .144, 0
2015, KC, AL, 142, 553, 531, 52, 138, 25, 0, 21, 70, 13, 82, 1, 0, 4, .260, .280, .426, .706, 553, 226, 237, 0, 5, .270, 46, 23, 80, 1840, 3.327, .148, .038, .159, .166, .166, 0
2016, KC, AL, 139, 546, 514, 57, 127, 28, 2, 22, 64, 22, 119, 0, 0, 8, .247, .288, .438, .725, 546, 225, 223, 0, 2, .280, 52, 12, 72, 1875, 3.434, .218, .040, .185, .191, .191, 1
2017, KC, AL, 129, 499, 471, 57, 126, 24, 1, 27, 80, 17, 95, 1, 0, 5, .268, .297, .495, .792, 499, 233, 212, 0, 5, .280, 52, 23, 105, 1737, 3.481, .190, .054, .179, .227, .227, 0
2018, KC, AL, 129, 544, 510, 52, 120, 23, 0, 27, 80, 17, 108, 1, 1, 12, .235, .274, .439, .713, 544, 224, 225, 0, 5, .245, 50, 19, 88, 1926, 3.540, .199, .050, .157, .204, .204, 2
2020, KC, AL, 23, 96, 92, 11, 29, 7, 0, 4, 12, 2, 17, 0, 0, 1, .315, .333, .522, .855, 96, 48, 24, 0, 1, .347, 11, 0, 12, 325, 3.385, .177, .042, .118, .207, .207, 0
9 Seasons, 964, 3829, 3625, 391, 969, 183, 10, 145, 515, 133, 614, 4, 1, 39, .267, .298, .443, .741, 3829, 1607, 1531, 0, 31, .284, 338, 131, 637, 13039, 3.405, .160, .038, .217, .176, .176, 4
