Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2012, ATL, NL, 49, 182, 166, 17, 48, 8, 2, 3, 19, 12, 21, 1, 0, 1, .289, .335, .416, .751, 182, 69, 62, 0, 3, .310, 13, 5, 30, 595, 3.269, .115, .016, .571, .127, .127, 0
2013, ATL, NL, 157, 658, 606, 76, 150, 27, 6, 17, 59, 40, 55, 6, 5, 3, .248, .296, .396, .692, 658, 240, 260, 5, 4, .247, 50, 16, 97, 2307, 3.506, .084, .026, .727, .149, .149, 3
2014, ATL, NL, 146, 576, 540, 44, 132, 18, 4, 7, 46, 32, 60, 4, 5, 0, .244, .286, .331, .617, 576, 179, 229, 2, 2, .263, 29, 25, 102, 1928, 3.347, .104, .012, .533, .087, .087, 0
2015, ATL, NL, 147, 583, 535, 60, 142, 23, 2, 4, 44, 39, 48, 5, 3, 6, .265, .321, .338, .660, 583, 181, 238, 1, 2, .285, 29, 19, 99, 1906, 3.269, .082, .007, .813, .073, .073, 1
2016, LAA, AL, 124, 483, 448, 48, 126, 22, 2, 4, 44, 28, 38, 10, 1, 2, .281, .324, .366, .690, 483, 164, 197, 1, 4, .298, 28, 16, 82, 1584, 3.280, .079, .008, .737, .085, .085, 0
2017, LAA, AL, 158, 647, 589, 77, 164, 38, 2, 14, 69, 47, 67, 19, 6, 3, .278, .331, .421, .752, 647, 248, 225, 0, 8, .291, 54, 20, 118, 2295, 3.547, .104, .022, .701, .143, .143, 1
2018, LAA, AL, 146, 600, 554, 68, 162, 26, 5, 11, 75, 35, 44, 10, 2, 5, .292, .337, .417, .754, 600, 231, 204, 1, 5, .300, 42, 17, 99, 1980, 3.300, .073, .018, .795, .125, .125, 0
2019, LAA, AL, 103, 424, 398, 47, 105, 19, 0, 7, 40, 24, 37, 10, 2, 2, .264, .309, .364, .673, 424, 145, 171, 0, 0, .277, 26, 21, 78, 1389, 3.276, .087, .017, .649, .101, .101, 1
2020, LAA, AL, 21, 90, 85, 11, 26, 5, 0, 0, 7, 4, 11, 2, 0, 1, .306, .344, .365, .709, 90, 31, 36, 0, 0, .351, 5, 2, 15, 317, 3.522, .122, .000, .364, .059, .059, 0
9 Seasons, 1050, 4240, 3918, 448, 1055, 186, 23, 67, 403, 261, 381, 67, 24, 23, .269, .317, .380, .696, 4240, 1488, 1621, 10, 28, .282, 276, 141, 719, 14295, 3.371, .090, .016, .685, .111, .111, 6
