Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2016, WSH, NL, 22, 44, 42, 1, 12, 4, 1, 0, 5, 2, 14, 0, 0, 0, .286, .318, .429, .747, 44, 18, 13, 0, 0, .429, 5, 1, 4, 175, 3.977, .318, .000, .143, .143, .143, 0
2017, WSH, NL, 74, 278, 251, 41, 63, 21, 1, 13, 30, 23, 69, 6, 0, 1, .251, .313, .498, .811, 278, 125, 86, 0, 3, .291, 35, 3, 25, 1143, 4.112, .248, .047, .333, .247, .247, 0
2018, 2 Teams, 75, 180, 159, 20, 38, 6, 0, 6, 25, 16, 57, 4, 2, 3, .239, .318, .390, .708, 62, 58, 1, 1, .330, 12, 0, 18, 785, 4.361, .317, .033, .281, .151, .151, 0
2018, WSH, NL, 48, 79, 65, 9, 13, 1, 0, 3, 12, 10, 26, 3, 1, 2, .200, .321, .354, .674, 79, 23, 32, 1, 1, .270, 4, 0, 11, 348, 4.405, .329, .038, .385, .154, .154, 0
2018, KC, AL, 27, 101, 94, 11, 25, 5, 0, 3, 13, 6, 31, 1, 1, 1, .266, .317, .415, .732, 101, 39, 26, 0, 0, .367, 8, 0, 7, 437, 4.327, .307, .030, .194, .149, .149, 0
2019, LAA, AL, 136, 458, 413, 65, 108, 29, 3, 17, 47, 38, 129, 7, 3, 3, .262, .326, .470, .796, 458, 194, 164, 1, 3, .337, 49, 3, 50, 1979, 4.321, .282, .037, .295, .208, .208, 0
2020, 2 Teams, 40, 137, 121, 12, 28, 9, 1, 4, 18, 14, 44, 5, 0, 1, .231, .314, .421, .735, 51, 64, 0, 1, .324, 564
2020, LAA, AL, 30, 109, 95, 12, 23, 7, 1, 4, 17, 12, 35, 1, 0, 1, .242, .330, .463, .793, 109, 44, 47, 0, 1, .333, 12, 0, 7, 444, 4.073, .321, .037, .343, .221, .221, 0
2020, CIN, NL, 10, 28, 26, 0, 5, 2, 0, 0, 1, 2, 9, 4, 0, 0, .192, .250, .269, .519, 28, 7, 17, 0, 0, .294, 2, 1, 1, 120, 4.286, .321, .000, .222, .077, .077, 0
5 Seasons, 346, 1093, 982, 139, 248, 69, 6, 40, 125, 93, 312, 22, 5, 8, .253, .320, .457, .777, 1093, 449, 382, 2, 8, .326, 115, 7, 104, 4635, 4.241, .285, .037, .298, .205, .205, 0
