2010, HOU, NL, 67, 217, 195, 26, 40, 8, 1, 2, 8, 22, 41, 0, 0, 0, .205, .286, .287, .573, 
2012, HOU, NL, 87, 295, 257, 29, 66, 15, 2, 6, 29, 31, 61, 0, 0, 1, .257, .334, .401, .735, 
2013, HOU, AL, 120, 491, 435, 63, 120, 35, 1, 18, 56, 50, 130, 2, 1, 2, .276, .350, .485, .835, 
2014, HOU, AL, 126, 512, 465, 43, 103, 21, 2, 14, 56, 34, 151, 1, 0, 9, .222, .286, .366, .651, 
2015, HOU, AL, 104, 375, 337, 38, 71, 19, 0, 11, 31, 33, 115, 0, 0, 2, .211, .283, .365, .648, 
2016, HOU, AL, 113, 376, 329, 41, 69, 16, 3, 11, 32, 45, 123, 2, 1, 1, .210, .307, .377, .684, 
2017, MIN, AL, 110, 407, 356, 49, 86, 22, 0, 10, 47, 45, 108, 0, 0, 4, .242, .333, .388, .720, 
2018, MIN, AL, 19, 74, 63, 4, 9, 3, 0, 1, 3, 9, 26, 0, 0, 1, .143, .257, .238, .495, 
2019, MIN, AL, 79, 275, 237, 39, 55, 9, 0, 13, 30, 33, 88, 0, 0, 3, .232, .332, .435, .767, 
2020, 2 Teams, 19, 67, 57, 6, 11, 5, 0, 2, 8, 10, 24, 0, 0, 0, .193, .313, .386, .699, 
2020, LAA, AL, 18, 62, 52, 5, 10, 4, 0, 2, 6, 10, 23, 0, 0, 0, .192, .323, .385, .707, 
2020, SD, NL, 1, 5, 5, 1, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, .200, .200, .400, .600, 
10 Seasons, 844, 3089, 2731, 338, 630, 153, 9, 88, 300, 312, 867, 5, 2, 23, .231, .313, .390, .703, 
2010, HOU, NL, 217, 56, 93, 0, 0, .250, 11, 4, 29, 884, 4.074, .189, .009, .537, .082, .082, 0, 
2012, HOU, NL, 295, 103, 115, 2, 4, .309, 23, 8, 47, 1129, 3.827, .207, .020, .508, .144, .144, 0, 
2013, HOU, AL, 491, 211, 143, 0, 4, .351, 54, 4, 58, 2024, 4.122, .265, .037, .385, .209, .209, 0, 
2014, HOU, AL, 512, 170, 226, 1, 3, .294, 37, 11, 75, 2035, 3.975, .295, .027, .225, .144, .144, 1, 
2015, HOU, AL, 375, 123, 152, 0, 3, .280, 30, 5, 36, 1476, 3.936, .307, .029, .287, .154, .154, 2, 
2016, HOU, AL, 376, 124, 120, 1, 0, .297, 30, 9, 35, 1512, 4.021, .327, .029, .366, .167, .167, 0, 
2017, MIN, AL, 407, 138, 162, 1, 1, .318, 32, 10, 62, 1645, 4.042, .265, .025, .417, .146, .146, 0, 
2018, MIN, AL, 74, 15, 36, 0, 1, .216, 4, 2, 4, 331, 4.473, .351, .014, .346, .095, .095, 0, 
2019, MIN, AL, 275, 103, 113, 1, 1, .307, 22, 0, 27, 1146, 4.167, .320, .047, .375, .203, .203, 0, 
2020, 2 Teams, 67, 22, 22, 0, 0, .290, 293, 
2020, LAA, AL, 62, 20, 19, 0, 0, .296, 6, 1, 4, 279, 4.500, .371, .032, .435, .192, .192, 0, 
2020, SD, NL, 5, 2, 3, 0, 0, .250, 1, 0, 1, 14, 2.800, .200, .000, .---, .200, .200, 0, 
3089, 1065, 1182, 6, 17, .302, 250, 54, 378, 12475, 4.039, .281, .028, .360, .159, .159, 3, 
