Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2007, ARI, NL, 43, 152, 140, 17, 31, 8, 3, 2, 11, 11, 37, 2, 0, 1, .221, .283, .364, .647, 152, 51, 58, 0, 0, .287, 13, 3, 25, 604, 3.974, .243, .013, .297, .143, .143, 0
2008, ARI, NL, 108, 417, 356, 52, 89, 19, 6, 15, 42, 54, 121, 1, 4, 4, .250, .353, .463, .816, 417, 165, 144, 0, 3, .332, 40, 3, 32, 1748, 4.192, .290, .036, .446, .213, .213, 0
2009, ARI, NL, 138, 588, 526, 84, 158, 30, 7, 26, 86, 55, 137, 20, 5, 2, .300, .366, .532, .899, 588, 280, 224, 1, 4, .360, 63, 10, 93, 2397, 4.077, .233, .044, .401, .232, .232, 0
2010, ARI, NL, 133, 571, 495, 73, 135, 27, 3, 17, 69, 64, 152, 18, 8, 4, .273, .356, .442, .799, 571, 219, 204, 1, 7, .354, 47, 20, 89, 2396, 4.196, .266, .030, .421, .170, .170, 0
2011, ARI, NL, 159, 674, 592, 105, 171, 39, 5, 31, 88, 59, 126, 21, 9, 19, .289, .369, .529, .898, 674, 313, 215, 0, 4, .319, 75, 8, 86, 2553, 3.788, .187, .046, .468, .240, .240, 4
2012, ARI, NL, 150, 628, 554, 107, 155, 24, 4, 17, 67, 63, 121, 18, 8, 5, .280, .355, .430, .785, 628, 238, 240, 0, 6, .327, 45, 7, 95, 2376, 3.783, .193, .027, .521, .150, .150, 0
2013, ATL, NL, 149, 643, 558, 94, 147, 27, 2, 27, 70, 75, 161, 8, 1, 5, .263, .354, .464, .818, 643, 259, 206, 1, 4, .321, 56, 12, 83, 2627, 4.086, .250, .042, .466, .201, .201, 2
2014, ATL, NL, 154, 641, 566, 77, 153, 34, 2, 29, 102, 60, 171, 8, 4, 6, .270, .342, .491, .833, 641, 278, 301, 0, 8, .332, 65, 10, 74, 2575, 4.017, .267, .045, .351, .221, .221, 1
2015, SD, NL, 150, 620, 542, 85, 136, 26, 3, 26, 81, 68, 159, 19, 5, 4, .251, .336, .454, .790, 620, 246, 212, 0, 5, .304, 55, 10, 73, 2514, 4.055, .256, .042, .428, .203, .203, 0
2016, DET, AL, 153, 626, 570, 81, 140, 28, 2, 31, 87, 50, 179, 9, 4, 4, .246, .310, .465, .775, 626, 265, 273, 0, 2, .301, 61, 15, 86, 2606, 4.163, .286, .050, .279, .219, .219, 1
2017, 2 Teams, 152, 635, 557, 100, 152, 44, 0, 35, 109, 74, 180, 14, 5, 3, .273, .361, .540, .901, 301, 231, 0, 1, .341, 79, 9, 80, 2695, 4.244, .283, .055, .411, .268, .268, 2
2017, DET, AL, 125, 520, 459, 81, 128, 37, 0, 28, 94, 57, 147, 10, 5, 3, .279, .362, .542, .904, 520, 249, 180, 0, 1, .351, 65, 6, 67, 2181, 4.194, .283, .054, .388, .264, .264, 2
2017, LAA, AL, 27, 115, 98, 19, 24, 7, 0, 7, 15, 17, 33, 4, 0, 0, .245, .357, .531, .887, 115, 52, 51, 0, 0, .293, 14, 3, 13, 514, 4.470, .287, .061, .515, .286, .286, 0
2018, LAA, AL, 145, 613, 533, 80, 137, 18, 1, 30, 85, 64, 176, 8, 2, 10, .257, .344, .463, .808, 613, 247, 282, 0, 6, .321, 49, 12, 89, 2527, 4.122, .287, .049, .364, .206, .206, 1
2019, LAA, AL, 63, 256, 219, 34, 47, 8, 0, 12, 40, 32, 78, 1, 1, 0, .215, .309, .416, .724, 256, 91, 110, 0, 5, .261, 20, 5, 33, 1129, 4.410, .305, .047, .410, .201, .201, 0
2020, LAA, AL, 30, 116, 102, 12, 20, 3, 0, 5, 17, 8, 33, 0, 2, 5, .196, .284, .373, .657, 116, 38, 46, 0, 1, .231, 8, 2, 9, 482, 4.155, .284, .043, .242, .176, .176, 0
14 Seasons, 1726, 7177, 6307, 1001, 1670, 335, 38, 303, 953, 737, 1829, 147, 58, 72, .265, .346, .474, .820, 7177, 2990, 2746, 3, 56, .323, 676, 126, 946, 29216, 4.071, .255, .042, .403, .209, .209, 11
