Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2012, ARI, NL, 31, 93, 81, 8, 20, 4, 1, 2, 8, 9, 11, 1, 2, 0, .247, .315, .395, .710, 32, 30, 1, 2, .257, 7, 2, 8, 365, 3.925, .118, .022, .818, .148, .148, 0
2013, ARI, NL, 137, 482, 443, 64, 119, 28, 5, 8, 38, 33, 82, 12, 3, 2, .269, .322, .409, .730, 181, 161, 3, 1, .314, 41, 5, 53, 1853, 3.844, .170, .017, .402, .140, .140, 0
2014, ARI, NL, 75, 287, 265, 41, 80, 19, 6, 7, 24, 19, 46, 14, 3, 2, .302, .353, .498, .851, 132, 103, 1, 0, .344, 32, 4, 41, 1068, 3.721, .160, .024, .413, .196, .196, 1
2015, ARI, NL, 157, 673, 609, 111, 192, 39, 6, 20, 76, 53, 89, 39, 7, 2, .315, .367, .498, .865, 303, 213, 0, 9, .338, 65, 19, 103, 2361, 3.508, .132, .030, .596, .182, .182, 0
2016, ARI, NL, 12, 46, 41, 9, 10, 0, 0, 2, 4, 5, 8, 4, 0, 0, .244, .326, .390, .716, 16, 16, 0, 0, .258, 2, 1, 10, 158, 3.435, .174, .043, .625, .146, .146, 0
2017, ARI, NL, 112, 466, 425, 73, 113, 33, 6, 14, 49, 35, 71, 20, 6, 6, .266, .330, .471, .801, 200, 164, 0, 0, .291, 53, 8, 68, 1739, 3.732, .152, .030, .493, .205, .205, 0
2018, ARI, NL, 113, 460, 413, 61, 106, 21, 5, 21, 65, 31, 100, 13, 2, 8, .257, .316, .484, .800, 200, 178, 1, 7, .284, 47, 6, 63, 1720, 3.739, .217, .046, .310, .228, .228, 2
2019, LAD, NL, 86, 342, 308, 49, 82, 15, 1, 15, 47, 23, 74, 5, 1, 7, .266, .327, .468, .795, 144, 136, 0, 4, .300, 31, 7, 54, 1250, 3.655, .216, .044, .311, .201, .201, 0
2020, LAD, NL, 42, 159, 149, 22, 43, 9, 0, 9, 22, 9, 35, 2, 2, 0, .289, .327, .530, .857, 79, 60, 0, 1, .321, 18, 5, 29, 553, 3.478, .220, .057, .257, .242, .242, 0
9 Seasons, 765, 3008, 2734, 438, 765, 168, 30, 98, 333, 217, 516, 110, 26, 27, .280, .336, .471, .807, 3008, 1287, 1061, 6, 24, .311, 296, 57, 429, 11067, 3.679, .172, .033, .421, .191, .191, 3
