2014, 2 Teams, 42, 134, 121, 13, 30, 6, 3, 3, 14, 12, 21, 0, 0, 1, .248, .321, .421, .742, 
2014, HOU, AL, 24, 89, 81, 10, 23, 4, 2, 1, 8, 8, 11, 0, 0, 0, .284, .348, .420, .768, 
2014, MIA, NL, 18, 45, 40, 3, 7, 2, 1, 2, 6, 4, 10, 0, 0, 1, .175, .267, .425, .692, 
2015, LAD, NL, 76, 218, 202, 24, 62, 12, 2, 7, 22, 11, 46, 0, 2, 2, .307, .346, .490, .836, 
2016, LAD, NL, 109, 244, 216, 25, 41, 8, 0, 7, 18, 28, 64, 2, 0, 0, .190, .283, .324, .607, 
2017, LAD, NL, 140, 342, 297, 46, 64, 24, 2, 11, 37, 41, 80, 3, 0, 0, .215, .308, .421, .729, 
2018, LAD, NL, 145, 462, 402, 67, 103, 17, 3, 21, 52, 50, 78, 3, 0, 1, .256, .336, .470, .806, 
2019, LAD, NL, 130, 460, 414, 57, 98, 19, 1, 17, 64, 36, 97, 4, 0, 6, .237, .304, .411, .715, 
2020, LAD, NL, 33, 102, 96, 14, 20, 4, 1, 3, 12, 4, 25, 0, 0, 1, .208, .245, .365, .610, 
7 Seasons, 675, 1962, 1748, 246, 418, 90, 12, 69, 219, 182, 411, 12, 2, 11, .239, .312, .423, .735, 
2014, 2 Teams, 134, 51, 47, 0, 0, .278, 12, 1, 21, 540, 4.030, .157, .022, .571, .174, .174, 0, 
2014, HOU, AL, 89, 34, 28, 0, 0, .319, 7, 0, 14, 364, 4.090, .124, .011, .727, .136, .136, 0, 
2014, MIA, NL, 45, 17, 19, 0, 0, .179, 5, 1, 7, 176, 3.911, .222, .044, .400, .250, .250, 0, 
2015, LAD, NL, 218, 99, 56, 1, 2, .364, 21, 3, 26, 826, 3.789, .211, .032, .239, .183, .183, 1, 
2016, LAD, NL, 244, 70, 90, 0, 0, .234, 15, 3, 28, 969, 3.971, .262, .029, .438, .134, .134, 0, 
2017, LAD, NL, 342, 125, 130, 1, 3, .254, 37, 4, 40, 1392, 4.070, .234, .032, .513, .205, .205, 0, 
2018, LAD, NL, 462, 189, 175, 4, 5, .266, 41, 3, 58, 1870, 4.048, .169, .045, .641, .214, .214, 0, 
2019, LAD, NL, 460, 170, 185, 0, 4, .266, 37, 9, 60, 1855, 4.033, .211, .037, .371, .174, .174, 1, 
2020, LAD, NL, 102, 35, 52, 0, 1, .246, 8, 5, 18, 393, 3.853, .245, .029, .160, .156, .156, 0, 
1962, 739, 735, 6, 15, .272, 171, 28, 251, 7845, 3.998, .209, .035, .443, .184, .184, 2, 
