Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2009, BAL, AL, 12, 22, 18, 2, 3, 0, 0, 0, 3, 4, 3, 0, 0, 0, .167, .318, .167, .485, 3, 13, 0, 0, .200, 0, 1, 3, 87, 3.955, .136, .000, 1.333, .000, .000, 0
2010, 2 Teams, 9, 18, 17, 1, 1, 1, 0, 0, 0, 1, 3, 0, 0, 0, .059, .111, .118, .229, 10, 0, 0, .071, 1, 0, 2, 69, 3.833, .167, .000, .333, .059, .059, 0
2010, BAL, AL, 5, 9, 9, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, .000, .000, .000, .000, 0, 4, 0, 0, .000, 0, 0, 1, 35, 3.889, .333, .000, .---, .000, .000, 0
2010, NYM, NL, 4, 9, 8, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, .125, .222, .250, .472, 2, 6, 0, 0, .125, 1, 0, 1, 34, 3.778, .000, .000, .---, .125, .125, 0
2011, NYM, NL, 117, 487, 435, 49, 113, 30, 0, 4, 51, 39, 59, 7, 2, 10, .260, .334, .356, .690, 155, 155, 2, 1, .292, 34, 9, 65, 1849, 3.797, .121, .008, .661, .097, .097, 2
2012, NYM, NL, 94, 185, 171, 20, 46, 13, 1, 2, 19, 9, 24, 1, 1, 4, .269, .319, .392, .711, 67, 72, 0, 1, .301, 16, 9, 27, 745, 4.027, .130, .011, .375, .123, .123, 0
2013, NYM, NL, 86, 214, 200, 12, 56, 13, 1, 2, 16, 11, 34, 0, 1, 1, .280, .319, .385, .704, 77, 82, 1, 1, .327, 16, 6, 33, 885, 4.136, .159, .009, .324, .105, .105, 0
2014, LAD, NL, 109, 322, 288, 46, 98, 21, 1, 7, 43, 28, 58, 6, 1, 4, .340, .404, .493, .897, 142, 103, 0, 2, .404, 29, 6, 58, 1338, 4.155, .180, .022, .483, .153, .153, 0
2015, LAD, NL, 126, 439, 385, 55, 113, 26, 1, 16, 60, 36, 71, 5, 2, 13, .294, .370, .491, .861, 189, 147, 1, 4, .321, 43, 10, 60, 1719, 3.916, .162, .036, .507, .197, .197, 0
2016, LAD, NL, 151, 622, 556, 79, 153, 34, 3, 27, 90, 48, 107, 4, 1, 10, .275, .339, .493, .832, 274, 226, 0, 8, .293, 64, 16, 123, 2466, 3.965, .172, .043, .449, .218, .218, 1
2017, LAD, NL, 130, 543, 457, 72, 147, 32, 0, 21, 71, 59, 56, 7, 1, 19, .322, .415, .530, .945, 242, 180, 1, 7, .326, 53, 12, 107, 2030, 3.738, .103, .039, 1.054, .208, .208, 1
2018, LAD, NL, 103, 426, 365, 62, 114, 31, 1, 14, 52, 47, 54, 2, 1, 12, .312, .406, .518, .924, 189, 138, 0, 2, .334, 46, 10, 73, 1733, 4.068, .127, .033, .870, .205, .205, 1
2019, LAD, NL, 135, 549, 479, 80, 139, 24, 0, 27, 67, 51, 88, 2, 0, 14, .290, .372, .509, .881, 244, 185, 0, 5, .304, 51, 11, 88, 2151, 3.918, .160, .049, .580, .219, .219, 0
2020, LAD, NL, 32, 138, 117, 17, 33, 7, 1, 2, 20, 14, 22, 1, 0, 6, .282, .384, .410, .794, 48, 43, 0, 1, .330, 10, 0, 19, 516, 3.739, .159, .014, .636, .128, .128, 0
12 Seasons, 1104, 3965, 3488, 495, 1016, 232, 9, 122, 492, 347, 579, 35, 10, 93, .291, .368, .468, .836, 3965, 1632, 1354, 5, 32, .317, 363, 90, 658, 15588, 3.931, .146, .031, .599, .177, .177, 5
