Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2008, NYY, AL, 3, 5, 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, .000, .000, .000, .000, 0, 3, 0, 0, .000, 0, 1, 1, 20, 4.000, .600, .000, .---, .000, .000, 0
2009, NYY, AL, 42, 101, 94, 13, 28, 4, 0, 1, 11, 2, 11, 0, 3, 0, .298, .309, .372, .682, 35, 33, 4, 1, .325, 5, 1, 15, 334, 3.307, .109, .010, .182, .074, .074, 1
2010, NYY, AL, 93, 317, 266, 27, 72, 11, 3, 0, 38, 33, 42, 1, 1, 6, .271, .359, .335, .694, 89, 132, 8, 4, .316, 14, 7, 55, 1160, 3.659, .132, .000, .786, .064, .064, 0
2011, NYY, AL, 43, 137, 124, 17, 33, 4, 0, 4, 22, 9, 29, 4, 1, 2, .266, .324, .395, .719, 49, 61, 1, 1, .315, 8, 4, 23, 521, 3.803, .212, .029, .310, .129, .129, 0
2012, NYY, AL, 3, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, .000, .500, .000, .500, 0, 0, 0, 0, .000, 0, 0, 0, 7, 3.500, .000, .000, .---, .000, .000, 0
2013, NYY, AL, 17, 61, 52, 12, 14, 3, 0, 3, 8, 8, 9, 0, 0, 1, .269, .377, .500, .877, 26, 21, 0, 0, .275, 6, 1, 12, 247, 4.049, .148, .049, .889, .231, .231, 0
2014, NYY, AL, 49, 162, 146, 18, 44, 11, 1, 2, 13, 11, 41, 1, 0, 5, .301, .370, .432, .802, 63, 61, 0, 0, .408, 14, 5, 19, 633, 3.907, .253, .012, .268, .130, .130, 0
2015, PIT, NL, 130, 510, 451, 56, 133, 17, 5, 7, 43, 46, 94, 1, 1, 8, .295, .370, .401, .771, 181, 182, 4, 1, .359, 29, 12, 69, 2003, 3.927, .184, .014, .489, .106, .106, 0
2016, PIT, NL, 101, 393, 326, 42, 86, 14, 1, 1, 33, 56, 72, 6, 2, 6, .264, .377, .322, .699, 105, 157, 0, 5, .329, 16, 14, 51, 1597, 4.064, .183, .003, .778, .058, .058, 0
2017, PIT, NL, 81, 304, 265, 31, 66, 13, 2, 5, 31, 32, 65, 0, 2, 6, .249, .342, .370, .712, 98, 117, 0, 1, .311, 20, 7, 40, 1212, 3.987, .214, .016, .492, .121, .121, 0
2018, PIT, NL, 104, 404, 332, 39, 86, 15, 3, 12, 57, 51, 84, 2, 3, 15, .259, .378, .431, .809, 143, 163, 2, 4, .308, 30, 7, 50, 1656, 4.099, .208, .030, .607, .172, .172, 0
2019, 2 Teams, 48, 160, 141, 15, 30, 8, 1, 3, 12, 13, 41, 1, 0, 5, .213, .302, .348, .649, 70, 1, 0, .278, 640
2019, PIT, NL, 34, 123, 109, 11, 21, 3, 0, 1, 5, 9, 31, 1, 0, 4, .193, .279, .248, .526, 27, 55, 1, 0, .260, 4, 4, 14, 489, 3.976, .252, .008, .290, .055, .055, 0
2019, ATL, NL, 14, 37, 32, 4, 9, 5, 1, 2, 7, 4, 10, 0, 0, 1, .281, .378, .688, 1.066, 22, 15, 0, 0, .350, 8, 3, 5, 151, 4.081, .270, .054, .400, .406, .406, 0
2020, MIA, NL, 16, 62, 53, 10, 13, 2, 0, 3, 7, 8, 14, 1, 0, 1, .245, .355, .453, .808, 24, 22, 0, 0, .278, 5, 3, 7, 220, 3.548, .226, .048, .571, .208, .208, 0
13 Seasons, 730, 2618, 2256, 281, 605, 102, 16, 41, 275, 270, 505, 17, 13, 55, .268, .358, .382, .740, 2618, 862, 1022, 20, 17, .327, 159, 69, 361, 10250, 3.915, .193, .016, .535, .114, .114, 1
