Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2014, CLE, AL, 19, 38, 33, 2, 4, 0, 0, 0, 3, 4, 13, 0, 0, 0, .121, .211, .121, .332, 4, 18, 0, 1, .190, 0, 1, 6, 167, 4.395, .342, .000, .308, .000, .000, 0
2015, CLE, AL, 7, 20, 19, 0, 6, 1, 0, 0, 2, 0, 7, 0, 0, 1, .316, .350, .368, .718, 7, 2, 0, 0, .500, 1, 0, 2, 80, 4.000, .350, .000, .---, .053, .053, 0
2016, CLE, AL, 9, 6, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, .000, .000, .000, .000, 0, 2, 0, 0, .000, 0, 0, 0, 31, 5.167, .167, .000, .---, .000, .000, 0
2017, MIL, NL, 133, 311, 279, 40, 74, 15, 2, 16, 52, 25, 94, 0, 0, 4, .265, .331, .505, .837, 141, 119, 0, 3, .337, 33, 8, 36, 1319, 4.241, .302, .051, .266, .240, .240, 0
2018, MIL, NL, 149, 566, 492, 80, 135, 25, 0, 35, 108, 58, 143, 0, 0, 6, .274, .352, .539, .890, 265, 247, 0, 10, .309, 60, 19, 87, 2432, 4.297, .253, .062, .406, .264, .264, 2
2019, 2 Teams, 131, 369, 314, 39, 74, 12, 0, 12, 50, 43, 81, 0, 0, 2, .236, .325, .389, .714, 138, 0, 7, .272, 1518
2019, TB, AL, 37, 107, 92, 13, 24, 3, 0, 4, 16, 12, 22, 0, 0, 0, .261, .336, .424, .760, 39, 40, 0, 3, .290, 7, 1, 12, 457, 4.271, .206, .037, .545, .163, .163, 0
2019, MIL, NL, 94, 262, 222, 26, 50, 9, 0, 8, 34, 31, 59, 0, 0, 2, .225, .320, .374, .694, 83, 98, 0, 4, .264, 17, 11, 41, 1061, 4.050, .225, .031, .525, .149, .149, 0
2020, MIA, NL, 34, 146, 129, 19, 35, 7, 0, 5, 24, 14, 25, 0, 1, 0, .271, .336, .442, .778, 57, 49, 0, 3, .294, 12, 5, 15, 574, 3.932, .171, .034, .560, .171, .171, 0
7 Seasons, 482, 1456, 1272, 180, 328, 60, 2, 68, 239, 144, 364, 0, 1, 13, .258, .334, .469, .802, 1456, 596, 575, 0, 24, .301, 130, 45, 199, 6121, 4.204, .250, .047, .396, .211, .211, 2
