Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2011, BOS, AL, 17, 43, 39, 5, 9, 2, 0, 2, 8, 4, 10, 0, 0, 0, .231, .302, .436, .738, 17, 30, 0, 0, .259, 4, 1, 10, 168, 3.907, .233, .047, .400, .205, .205, 0
2012, BOS, AL, 46, 166, 153, 11, 24, 8, 0, 2, 12, 11, 41, 0, 0, 0, .157, .211, .248, .459, 38, 68, 0, 2, .196, 10, 4, 17, 675, 4.066, .247, .012, .268, .092, .092, 0
2013, BOS, AL, 25, 82, 77, 8, 23, 7, 0, 1, 14, 2, 17, 0, 0, 2, .299, .329, .429, .758, 33, 39, 0, 1, .367, 8, 3, 20, 340, 4.146, .207, .012, .118, .130, .130, 0
2014, BOS, AL, 9, 10, 10, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, .000, .000, .000, .000, 0, 9, 0, 0, .000, 0, 1, 2, 46, 4.600, .300, .000, .---, .000, .000, 0
2015, 2 Teams, 37, 106, 94, 6, 18, 6, 0, 2, 6, 12, 28, 0, 0, 0, .191, .283, .319, .602, 44, 0, 0, .250, 8, 5, 16, 416, 3.925, .264, .019, .429, .128, .128, 0
2015, BAL, AL, 10, 32, 28, 1, 3, 1, 0, 0, 0, 4, 7, 0, 0, 0, .107, .219, .143, .362, 4, 17, 0, 0, .143, 1, 1, 6, 138, 4.313, .219, .000, .571, .036, .036, 0
2015, ATL, NL, 27, 74, 66, 5, 15, 5, 0, 2, 6, 8, 21, 0, 0, 0, .227, .311, .394, .705, 26, 27, 0, 0, .302, 7, 4, 10, 278, 3.757, .284, .027, .381, .167, .167, 0
2017, OAK, AL, 6, 13, 11, 0, 3, 1, 0, 0, 2, 1, 3, 0, 0, 1, .273, .385, .364, .748, 4, 9, 0, 0, .375, 1, 1, 4, 45, 3.462, .231, .000, .333, .091, .091, 0
2018, PIT, NL, 6, 6, 6, 1, 4, 1, 0, 0, 1, 0, 1, 0, 0, 0, .667, .667, .833, 1.500, 5, 2, 0, 0, .800, 1, 0, 2, 17, 2.833, .167, .000, .---, .167, .167, 1
2019, CIN, NL, 5, 19, 18, 4, 5, 2, 0, 2, 7, 1, 5, 0, 0, 0, .278, .316, .722, 1.038, 13, 8, 0, 0, .273, 4, 0, 4, 74, 3.895, .263, .105, .200, .444, .444, 0
2020, MIA, NL, 5, 11, 11, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, .364, .364, .364, .727, 4, 4, 0, 0, .444, 0, 0, 2, 44, 4.000, .182, .000, .---, .000, .000, 0
9 Seasons, 156, 456, 419, 35, 90, 27, 0, 9, 50, 31, 110, 0, 0, 3, .215, .272, .344, .616, 456, 144, 213, 0, 3, .267, 36, 15, 77, 1825, 4.002, .241, .020, .282, .129, .129, 1
