Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2012, DET, AL, 23, 51, 47, 7, 15, 0, 0, 0, 3, 3, 10, 0, 2, 1, .319, .373, .319, .692, 51, 15, 15, 0, 0, .405, 0, 1, 7, 148, 2.902, .196, .000, .300, .000, .000, 0
2013, 2 Teams, 72, 256, 244, 31, 69, 7, 3, 7, 31, 9, 59, 3, 3, 1, .283, .309, .422, .731, 103, 116, 0, 2, .344, 17, 8, 41, 919, 3.590, .230, .027, .153, .139, .139, 0
2013, DET, AL, 30, 88, 83, 12, 20, 3, 1, 2, 10, 4, 21, 0, 1, 0, .241, .273, .373, .646, 88, 31, 44, 0, 1, .295, 6, 3, 14, 328, 3.727, .239, .023, .190, .133, .133, 0
2013, CWS, AL, 42, 168, 161, 19, 49, 4, 2, 5, 21, 5, 38, 3, 2, 1, .304, .327, .447, .775, 168, 72, 72, 0, 1, .370, 11, 5, 27, 591, 3.518, .226, .030, .132, .143, .143, 0
2014, CWS, AL, 46, 190, 172, 19, 42, 8, 0, 7, 29, 14, 44, 4, 1, 2, .244, .305, .413, .718, 190, 71, 89, 0, 2, .285, 15, 5, 29, 702, 3.695, .232, .037, .318, .169, .169, 0
2015, CWS, AL, 148, 601, 553, 66, 142, 17, 2, 13, 59, 36, 141, 7, 7, 8, .257, .309, .365, .675, 601, 202, 259, 0, 4, .320, 32, 13, 87, 2142, 3.564, .235, .022, .255, .108, .108, 4
2016, CWS, AL, 120, 453, 413, 59, 101, 18, 2, 12, 51, 34, 115, 4, 4, 4, .245, .307, .385, .692, 453, 159, 149, 0, 2, .309, 32, 9, 52, 1722, 3.801, .254, .026, .296, .140, .140, 0
2017, CWS, AL, 136, 561, 518, 75, 171, 27, 5, 18, 80, 33, 111, 5, 3, 9, .330, .380, .506, .885, 561, 262, 197, 0, 1, .392, 50, 14, 89, 1995, 3.556, .198, .032, .297, .176, .176, 0
2018, CWS, AL, 93, 385, 356, 47, 84, 11, 2, 19, 49, 20, 102, 3, 1, 4, .236, .281, .438, .719, 385, 156, 158, 0, 5, .271, 32, 9, 48, 1414, 3.673, .265, .049, .196, .202, .202, 0
2019, TB, AL, 125, 530, 489, 61, 138, 25, 2, 20, 72, 31, 125, 10, 4, 7, .282, .332, .464, .796, 530, 227, 228, 0, 3, .340, 47, 15, 76, 1894, 3.574, .236, .038, .248, .182, .182, 0
2020, MIL, NL, 35, 138, 117, 17, 29, 8, 0, 2, 14, 17, 32, 1, 2, 4, .248, .362, .368, .730, 138, 43, 39, 0, 0, .325, 10, 2, 14, 499, 3.616, .232, .014, .531, .120, .120, 0
9 Seasons, 797, 3161, 2906, 382, 789, 121, 16, 98, 388, 196, 739, 36, 26, 40, .272, .324, .425, .750, 3161, 1236, 1250, 0, 19, .331, 235, 76, 442, 11415, 3.611, .234, .031, .265, .154, .154, 4
