2012, PIT, NL, 24, 72, 65, 6, 19, 2, 1, 0, 3, 4, 14, 0, 0, 0, .292, .329, .354, .682, 
2013, BOS, AL, 26, 72, 59, 9, 12, 2, 0, 0, 11, 7, 4, 1, 0, 0, .203, .275, .237, .513, 
2014, BOS, AL, 106, 492, 449, 68, 126, 23, 5, 4, 29, 33, 98, 12, 2, 2, .281, .331, .381, .711, 
2015, BOS, AL, 129, 509, 454, 56, 127, 27, 6, 2, 45, 46, 97, 8, 1, 3, .280, .349, .379, .727, 
2016, BOS, AL, 94, 324, 290, 45, 74, 16, 0, 7, 34, 27, 58, 4, 3, 3, .255, .322, .383, .705, 
2017, BOS, AL, 64, 164, 140, 20, 28, 6, 0, 0, 7, 19, 34, 2, 1, 3, .200, .305, .243, .548, 
2018, BOS, AL, 109, 367, 321, 41, 89, 18, 2, 7, 46, 37, 73, 7, 7, 7, .277, .362, .411, .774, 
2019, BOS, AL, 87, 295, 259, 38, 77, 14, 2, 3, 31, 28, 57, 1, 0, 4, .297, .369, .402, .771, 
2020, 2 Teams, 19, 42, 35, 1, 3, 0, 0, 0, 1, 5, 13, 0, 0, 1, .086, .214, .086, .300, 
2020, WSH, NL, 3, 6, 5, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, .000, .167, .000, .167, 
2020, MIL, NL, 16, 36, 30, 1, 3, 0, 0, 0, 1, 4, 9, 0, 0, 1, .100, .222, .100, .322, 
9 Seasons, 658, 2337, 2072, 284, 555, 108, 16, 23, 207, 206, 448, 35, 14, 23, .268, .338, .369, .706, 
2012, PIT, NL, 72, 23, 17, 2, 1, .365, 3, 1, 7, 299, 4.153, .194, .000, .286, .062, .062, 0, 
2013, BOS, AL, 72, 14, 38, 3, 3, .207, 2, 0, 18, 268, 3.722, .056, .000, 1.750, .034, .034, 0, 
2014, BOS, AL, 492, 171, 151, 5, 3, .349, 32, 7, 53, 2023, 4.112, .199, .008, .337, .100, .100, 1, 
2015, BOS, AL, 509, 172, 182, 4, 2, .350, 35, 7, 73, 2085, 4.096, .191, .004, .474, .099, .099, 0, 
2016, BOS, AL, 324, 111, 137, 1, 3, .294, 23, 5, 43, 1406, 4.340, .179, .022, .466, .128, .128, 0, 
2017, BOS, AL, 164, 34, 55, 0, 2, .259, 6, 3, 13, 716, 4.366, .207, .000, .559, .043, .043, 0, 
2018, BOS, AL, 367, 132, 137, 0, 2, .337, 27, 7, 49, 1473, 4.014, .199, .019, .507, .134, .134, 0, 
2019, BOS, AL, 295, 104, 117, 0, 4, .365, 19, 4, 40, 1221, 4.139, .193, .010, .491, .104, .104, 1, 
2020, 2 Teams, 42, 3, 15, 0, 1, .130, 182, 
2020, WSH, NL, 6, 0, 2, 0, 0, .000, 0, 0, 0, 31, 5.167, .667, .000, .250, .000, .000, 0, 
2020, MIL, NL, 36, 3, 13, 0, 1, .136, 0, 2, 5, 151, 4.194, .250, .000, .444, .000, .000, 0, 
2337, 764, 849, 15, 21, .328, 147, 36, 301, 9673, 4.139, .192, .010, .460, .101, .101, 2, 
