Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2010, OAK, AL, 4, 9, 7, 0, 3, 0, 0, 0, 0, 2, 1, 0, 1, 0, .429, .556, .429, .984, 9, 3, 2, 0, 0, .500, 0, 0, 1, 32, 3.556, .111, .000, 2.000, .000, .000, 0
2011, OAK, AL, 27, 74, 70, 7, 14, 3, 0, 2, 4, 4, 13, 0, 0, 0, .200, .243, .329, .572, 74, 23, 27, 0, 0, .218, 5, 2, 12, 247, 3.338, .176, .027, .308, .129, .129, 0
2012, OAK, AL, 37, 108, 102, 8, 17, 3, 1, 2, 7, 5, 17, 2, 0, 0, .167, .206, .275, .480, 108, 28, 37, 1, 0, .181, 6, 1, 13, 397, 3.676, .157, .019, .294, .108, .108, 0
2013, OAK, AL, 130, 410, 368, 45, 98, 24, 3, 2, 35, 27, 51, 10, 5, 5, .266, .322, .364, .686, 410, 134, 151, 6, 4, .301, 29, 4, 62, 1486, 3.624, .124, .005, .529, .098, .098, 0
2014, OAK, AL, 117, 329, 291, 38, 65, 10, 0, 1, 22, 31, 37, 11, 4, 1, .223, .298, .268, .567, 329, 78, 129, 4, 2, .251, 11, 6, 59, 1149, 3.492, .112, .003, .838, .045, .045, 0
2015, OAK, AL, 120, 401, 372, 40, 92, 12, 3, 1, 37, 23, 50, 6, 1, 2, .247, .294, .304, .598, 401, 113, 145, 3, 1, .283, 16, 9, 61, 1459, 3.638, .125, .002, .460, .056, .056, 0
2017, MIL, NL, 94, 299, 249, 37, 68, 15, 1, 3, 18, 45, 37, 3, 3, 4, .273, .393, .378, .770, 299, 94, 85, 1, 0, .311, 19, 7, 27, 1228, 4.107, .124, .010, 1.216, .104, .104, 1
2018, MIL, NL, 55, 113, 97, 7, 13, 3, 0, 0, 2, 12, 23, 3, 0, 2, .134, .241, .165, .406, 113, 16, 42, 1, 1, .173, 3, 3, 17, 463, 4.097, .204, .000, .522, .031, .031, 0
2019, 2 Teams, 110, 442, 396, 59, 115, 23, 2, 13, 40, 38, 63, 8, 0, 2, .290, .353, .457, .810, 181, 109, 3, 3, .316, 1751
2019, TB, AL, 37, 119, 109, 14, 29, 6, 0, 3, 10, 9, 16, 2, 0, 1, .266, .328, .404, .731, 119, 44, 36, 0, 0, .289, 9, 2, 25, 446, 3.748, .134, .025, .563, .138, .138, 0
2019, TOR, AL, 73, 323, 287, 45, 86, 17, 2, 10, 30, 29, 47, 6, 0, 1, .300, .363, .477, .840, 323, 137, 73, 3, 3, .326, 29, 2, 34, 1305, 4.040, .146, .031, .617, .178, .178, 0
2020, MIL, NL, 30, 104, 91, 10, 17, 2, 0, 1, 7, 11, 16, 0, 0, 1, .187, .279, .242, .521, 104, 22, 48, 0, 1, .213, 3, 1, 13, 420, 4.038, .154, .010, .688, .055, .055, 1
10 Seasons, 723, 2288, 2042, 251, 502, 95, 10, 25, 172, 198, 307, 43, 14, 17, .246, .316, .339, .655, 2288, 692, 775, 19, 12, .277, 130, 37, 324, 8628, 3.771, .134, .011, .645, .093, .093, 2
