2014, SD, NL, 27, 58, 53, 3, 6, 0, 0, 0, 0, 2, 18, 2, 0, 1, .113, .161, .113, .274, 58, 6, 18, 2, 0, .171, 0, 1, 5, 205, 3.534, .310, .000, .111, .000, .000, 0, 
2015, ATL, NL, 152, 597, 528, 55, 126, 23, 5, 6, 52, 56, 120, 12, 10, 3, .239, .314, .335, .649, 597, 177, 174, 7, 3, .296, 34, 5, 66, 2370, 3.970, .201, .010, .467, .097, .097, 1, 
2016, ATL, NL, 115, 408, 350, 45, 89, 16, 1, 7, 29, 52, 69, 5, 5, 1, .254, .350, .366, .715, 408, 128, 164, 2, 3, .296, 24, 9, 53, 1607, 3.939, .169, .017, .754, .111, .111, 1, 
2017, ATL, NL, 89, 215, 186, 15, 40, 9, 2, 2, 17, 27, 48, 3, 0, 1, .215, .318, .317, .635, 215, 59, 77, 1, 0, .279, 13, 4, 25, 870, 4.047, .223, .009, .563, .102, .102, 0, 
2018, 2 Teams, 96, 246, 210, 21, 42, 13, 2, 3, 28, 31, 58, 13, 3, 3, .200, .310, .324, .634, 68, 92, 1, 1, .260, 18, 8, 38, 1098, 4.463, .236, .012, .534, .124, .124, 0, 
2018, NYY, AL, 3, 11, 10, 0, 3, 0, 0, 0, 0, 1, 3, 0, 1, 0, .300, .364, .300, .664, 11, 3, 7, 0, 0, .429, 0, 0, 4, 63, 5.727, .273, .000, .333, .000, .000, 0, 
2018, BAL, AL, 93, 235, 200, 21, 39, 13, 2, 3, 28, 30, 55, 13, 2, 3, .195, .308, .325, .633, 235, 65, 85, 1, 1, .252, 18, 8, 34, 1035, 4.404, .234, .013, .545, .130, .130, 0, 
2019, BAL, AL, 29, 108, 100, 14, 22, 3, 1, 2, 11, 6, 24, 4, 1, 1, .220, .269, .330, .598, 108, 33, 32, 0, 1, .267, 6, 1, 9, 444, 4.111, .222, .019, .250, .110, .110, 0, 
2020, MIL, NL, 12, 28, 21, 2, 5, 0, 0, 1, 2, 7, 8, 1, 0, 0, .238, .429, .381, .810, 28, 8, 10, 0, 0, .333, 1, 0, 3, 130, 4.643, .286, .036, .875, .143, .143, 0, 
7 Seasons, 520, 1660, 1448, 155, 330, 64, 11, 21, 139, 181, 345, 40, 19, 10, .228, .316, .331, .647, 1660, 479, 567, 13, 8, .283, 96, 28, 199, 6724, 4.051, .208, .013, .525, .103, .103, 2, 
