2013, SD, NL, 125, 525, 486, 62, 121, 26, 0, 23, 63, 33, 123, 1, 1, 4, .249, .301, .444, .745, 
2014, SD, NL, 111, 443, 400, 37, 84, 17, 1, 10, 51, 36, 100, 3, 2, 4, .210, .280, .333, .612, 
2015, SD, NL, 128, 458, 421, 34, 104, 15, 0, 16, 57, 27, 107, 0, 1, 5, .247, .297, .397, .694, 
2016, STL, NL, 128, 438, 400, 58, 97, 9, 1, 30, 59, 37, 96, 0, 0, 0, .243, .306, .495, .801, 
2017, STL, NL, 125, 481, 426, 52, 116, 21, 2, 20, 67, 47, 105, 6, 2, 1, .272, .341, .472, .813, 
2018, STL, NL, 125, 402, 351, 49, 92, 19, 1, 11, 47, 44, 77, 2, 0, 3, .262, .346, .416, .762, 
2019, 2 Teams, 62, 101, 92, 6, 16, 1, 0, 2, 9, 9, 24, 2, 0, 0, .174, .248, .250, .498, 
2019, LAD, NL, 24, 39, 36, 1, 5, 1, 0, 0, 2, 3, 10, 0, 0, 0, .139, .205, .167, .372, 
2019, STL, NL, 38, 62, 56, 5, 11, 0, 0, 2, 7, 6, 14, 2, 0, 0, .196, .274, .304, .578, 
2020, MIL, NL, 20, 52, 46, 8, 12, 1, 0, 5, 9, 6, 18, 0, 0, 0, .261, .346, .609, .955, 
8 Seasons, 824, 2900, 2622, 306, 642, 109, 5, 117, 362, 239, 650, 14, 6, 17, .245, .310, .424, .734, 
2013, SD, NL, 525, 216, 239, 0, 2, .287, 49, 14, 74, 2040, 3.886, .234, .044, .268, .195, .195, 0, 
2014, SD, NL, 443, 133, 175, 0, 3, .253, 28, 8, 54, 1691, 3.817, .226, .023, .360, .123, .123, 0, 
2015, SD, NL, 458, 167, 183, 0, 5, .290, 31, 13, 66, 1813, 3.959, .234, .035, .252, .150, .150, 1, 
2016, STL, NL, 438, 198, 178, 0, 1, .244, 40, 11, 66, 1700, 3.881, .219, .068, .385, .253, .253, 0, 
2017, STL, NL, 481, 201, 175, 0, 7, .312, 43, 12, 59, 1907, 3.965, .218, .042, .448, .200, .200, 1, 
2018, STL, NL, 402, 146, 141, 0, 4, .303, 31, 12, 66, 1588, 3.950, .192, .027, .571, .154, .154, 0, 
2019, 2 Teams, 101, 23, 47, 0, 0, .212, 410, 
2019, LAD, NL, 39, 6, 14, 0, 0, .192, 1, 2, 4, 150, 3.846, .256, .000, .300, .028, .028, 0, 
2019, STL, NL, 62, 17, 33, 0, 0, .225, 2, 1, 8, 260, 4.194, .226, .032, .429, .107, .107, 0, 
2020, MIL, NL, 52, 28, 21, 0, 0, .304, 6, 0, 5, 237, 4.558, .346, .096, .333, .348, .348, 0, 
2900, 1112, 1159, 0, 22, .280, 231, 73, 402, 11386, 3.926, .224, .040, .368, .179, .179, 2, 
