Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2010, FLA, NL, 62, 287, 244, 43, 69, 20, 7, 2, 18, 41, 51, 0, 1, 2, .283, .390, .447, .837, 109, 82, 0, 0, .351, 29, 4, 38, 1179, 4.108, .178, .007, .804, .164, .164, 0
2011, FLA, NL, 123, 525, 462, 54, 114, 25, 4, 23, 72, 54, 99, 2, 1, 5, .247, .330, .468, .797, 216, 206, 0, 4, .265, 52, 9, 78, 2096, 3.992, .189, .044, .545, .221, .221, 0
2012, MIA, NL, 93, 334, 296, 30, 68, 15, 1, 11, 36, 31, 58, 1, 0, 4, .230, .308, .399, .707, 118, 148, 0, 3, .248, 27, 9, 40, 1317, 3.943, .174, .033, .534, .169, .169, 0
2013, MIA, NL, 85, 333, 293, 32, 71, 13, 4, 6, 36, 38, 56, 0, 0, 2, .242, .333, .375, .709, 110, 122, 0, 0, .281, 23, 10, 51, 1258, 3.778, .168, .018, .679, .133, .133, 0
2014, SEA, AL, 99, 365, 336, 41, 88, 20, 0, 11, 38, 24, 59, 5, 2, 3, .262, .315, .420, .735, 141, 127, 0, 2, .287, 31, 9, 57, 1276, 3.496, .162, .030, .407, .158, .158, 0
2015, SEA, AL, 146, 511, 457, 47, 103, 15, 3, 17, 54, 47, 81, 8, 4, 4, .225, .302, .383, .685, 175, 191, 1, 2, .238, 35, 7, 76, 1940, 3.796, .159, .033, .580, .158, .158, 1
2016, TB, AL, 107, 398, 353, 45, 84, 18, 1, 14, 43, 37, 89, 4, 2, 6, .238, .319, .414, .733, 146, 124, 0, 2, .278, 33, 4, 40, 1528, 3.839, .224, .035, .416, .176, .176, 1
2017, TB, AL, 149, 601, 512, 75, 126, 22, 1, 38, 85, 81, 149, 2, 0, 5, .246, .353, .516, .868, 264, 255, 0, 3, .268, 61, 12, 71, 2356, 3.920, .248, .063, .544, .270, .270, 1
2018, MIN, AL, 95, 359, 318, 41, 59, 13, 0, 15, 39, 34, 80, 1, 0, 6, .186, .276, .368, .644, 117, 134, 0, 1, .196, 28, 3, 28, 1455, 4.053, .223, .042, .425, .182, .182, 0
2019, PHI, NL, 29, 38, 35, 5, 7, 1, 0, 2, 3, 3, 10, 0, 0, 0, .200, .263, .400, .663, 14, 12, 0, 0, .217, 3, 1, 5, 156, 4.105, .263, .053, .300, .200, .200, 0
2020, MIL, NL, 9, 28, 25, 3, 3, 1, 0, 1, 2, 3, 8, 0, 0, 0, .120, .214, .280, .494, 7, 9, 0, 0, .125, 2, 0, 1, 130, 4.643, .286, .036, .375, .160, .160, 0
11 Seasons, 997, 3779, 3331, 416, 792, 163, 21, 140, 426, 393, 740, 23, 10, 37, .238, .323, .425, .749, 3779, 1417, 1410, 1, 17, .264, 324, 68, 485, 14691, 3.888, .196, .037, .531, .188, .188, 3
