2010, MIL, NL, 43, 158, 147, 17, 45, 11, 1, 1, 13, 9, 28, 7, 1, 1, .306, .348, .415, .763, 158, 61, 58, 0, 1, .370, 13, 1, 25, 643, 4.070, .177, .006, .321, .109, .109, 1, 
2011, KC, AL, 6, 23, 22, 4, 6, 1, 0, 0, 1, 1, 4, 0, 0, 0, .273, .304, .318, .623, 23, 7, 9, 0, 0, .333, 1, 0, 1, 83, 3.609, .174, .000, .250, .045, .045, 0, 
2012, KC, AL, 61, 244, 222, 27, 59, 9, 2, 7, 31, 15, 56, 10, 0, 3, .266, .316, .419, .734, 244, 93, 88, 0, 4, .319, 18, 4, 27, 1004, 4.115, .230, .029, .268, .153, .153, 0, 
2013, KC, AL, 115, 442, 399, 54, 100, 21, 3, 4, 46, 33, 90, 14, 6, 4, .251, .310, .348, .658, 442, 139, 187, 0, 6, .309, 28, 10, 67, 1760, 3.982, .204, .009, .367, .098, .098, 0, 
2014, KC, AL, 133, 502, 471, 55, 142, 29, 4, 5, 53, 24, 108, 28, 5, 4, .301, .339, .412, .751, 502, 194, 183, 0, 3, .380, 38, 9, 60, 1853, 3.691, .215, .010, .222, .110, .110, 1, 
2015, KC, AL, 140, 604, 551, 101, 169, 34, 6, 16, 72, 37, 98, 28, 6, 12, .307, .361, .477, .838, 604, 263, 200, 0, 4, .347, 56, 16, 113, 2299, 3.806, .162, .026, .378, .171, .171, 1, 
2016, KC, AL, 103, 434, 397, 56, 114, 19, 1, 9, 56, 31, 84, 14, 5, 2, .287, .339, .408, .747, 434, 162, 159, 0, 4, .341, 29, 15, 62, 1763, 4.062, .194, .021, .369, .121, .121, 2, 
2017, KC, AL, 155, 645, 584, 86, 175, 27, 5, 15, 49, 54, 100, 26, 2, 5, .300, .363, .440, .803, 645, 257, 201, 0, 2, .340, 47, 20, 86, 2515, 3.899, .155, .023, .540, .140, .140, 1, 
2018, MIL, NL, 141, 620, 539, 90, 166, 25, 2, 10, 38, 71, 94, 30, 7, 8, .308, .395, .417, .813, 620, 225, 159, 0, 2, .357, 37, 10, 72, 2452, 3.955, .152, .016, .755, .109, .109, 0, 
2019, MIL, NL, 148, 623, 562, 75, 146, 30, 0, 11, 48, 50, 106, 18, 8, 6, .260, .325, .372, .697, 623, 209, 204, 0, 4, .301, 41, 14, 49, 2508, 4.026, .170, .018, .472, .112, .112, 0, 
2020, MIL, NL, 5, 21, 18, 4, 6, 1, 0, 0, 2, 3, 2, 0, 0, 0, .333, .429, .389, .818, 21, 7, 5, 0, 0, .375, 1, 1, 4, 73, 3.476, .095, .000, 1.500, .056, .056, 0, 
11 Seasons, 1050, 4316, 3912, 569, 1128, 207, 24, 78, 409, 328, 770, 175, 40, 45, .288, .348, .413, .761, 4316, 1617, 1453, 0, 30, .339, 309, 100, 566, 16953, 3.928, .178, .018, .426, .125, .125, 6, 
