Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2008, SF, NL, 27, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 1, 0, 2, 0, 0, .000, 0, 0, 0, 2, 2.000, .000, .000, .---, .000, .000, 0
2009, SF, NL, 44, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, .000, .000, .000, .000, 1, 0, 0, 0, 0, .---, 0, 0, 0, 3, 3.000, 1.000, .000, .---, .000, .000, 0
2010, SF, NL, 67, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, .000, .000, .000, .000, 2, 0, 2, 0, 0, .---, 0, 0, 0, 9, 4.500, 1.000, .000, .---, .000, .000, 0
2011, SF, NL, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2012, SF, NL, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2013, SF, NL, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2014, SF, NL, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2015, SF, NL, 67, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, .000, .000, .000, .000, 2, 0, 0, 0, 0, .000, 0, 0, 0, 7, 3.500, .500, .000, .---, .000, .000, 0
2016, SF, NL, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2017, 2 Teams, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2017, LAD, NL, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2017, TB, AL, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2018, TB, AL, 5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, .000, .000, .000, .000, 1, 0, 0, 0, 0, .---, 0, 0, 0, 4, 4.000, 1.000, .000, .---, .000, .000, 0
2019, 2 Teams, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 0, 0, 0, 0, .---, 0
2019, MIN, AL, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2019, MIA, NL, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
12 Seasons, 569, 7, 7, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, .000, .000, .000, .000, 7, 0, 4, 0, 0, .000, 0, 0, 0, 25, 3.571, .714, .000, .---, .000, .000, 0
