Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2012, MIN, AL, 84, 340, 316, 33, 74, 11, 1, 6, 33, 16, 58, 9, 2, 1, .234, .271, .332, .603, 105, 165, 4, 3, .267, 18, 10, 61, 1256, 3.694, .171, .018, .276, .098, .098, 0
2013, MIN, AL, 147, 623, 558, 72, 136, 33, 4, 18, 66, 51, 120, 14, 7, 6, .244, .312, .414, .726, 231, 187, 3, 4, .278, 55, 14, 75, 2595, 4.165, .193, .029, .425, .170, .170, 1
2014, MIN, AL, 156, 707, 598, 112, 145, 33, 1, 23, 71, 89, 129, 21, 7, 9, .242, .345, .416, .762, 249, 234, 3, 8, .269, 57, 8, 92, 2956, 4.181, .182, .033, .690, .174, .174, 1
2015, MIN, AL, 157, 704, 628, 101, 148, 39, 4, 28, 77, 61, 148, 12, 4, 7, .236, .307, .444, .751, 279, 221, 0, 8, .261, 71, 10, 75, 2833, 4.024, .210, .040, .412, .209, .209, 2
2016, MIN, AL, 155, 691, 615, 104, 165, 35, 5, 42, 99, 61, 138, 18, 2, 8, .268, .340, .546, .886, 336, 243, 2, 5, .280, 82, 12, 86, 2788, 4.035, .200, .061, .442, .278, .278, 1
2017, MIN, AL, 152, 705, 617, 106, 167, 30, 4, 34, 93, 78, 141, 16, 7, 8, .271, .359, .498, .856, 307, 243, 0, 2, .300, 68, 11, 70, 2827, 4.010, .200, .048, .553, .227, .227, 0
2018, 2 Teams, 151, 632, 553, 81, 119, 30, 2, 21, 72, 70, 129, 12, 3, 4, .215, .305, .391, .696, 224, 0, 5, .240, 53, 12, 71, 2643, 4.182, .204, .033, .543, .175, .175, 2
2018, MIN, AL, 104, 462, 410, 65, 93, 21, 2, 16, 52, 46, 96, 8, 3, 3, .227, .307, .405, .712, 166, 171, 0, 3, .256, 39, 7, 52, 1888, 4.087, .208, .035, .479, .178, .178, 1
2018, LAD, NL, 47, 170, 143, 16, 26, 9, 0, 5, 20, 24, 33, 4, 0, 1, .182, .300, .350, .650, 50, 53, 0, 2, .196, 14, 5, 19, 755, 4.441, .194, .029, .727, .168, .168, 1
2019, WSH, NL, 135, 482, 416, 54, 99, 20, 0, 20, 50, 61, 105, 3, 4, 4, .238, .340, .430, .770, 179, 179, 0, 1, .271, 40, 11, 55, 2045, 4.243, .218, .041, .581, .192, .192, 0
2020, NYM, NL, 7, 16, 15, 1, 2, 0, 0, 0, 0, 1, 5, 0, 0, 0, .133, .188, .133, .321, 2, 5, 0, 0, .200, 0, 1, 1, 50, 3.125, .313, .000, .200, .000, .000, 0
9 Seasons, 1144, 4900, 4316, 664, 1055, 231, 21, 192, 561, 488, 973, 105, 36, 47, .244, .325, .441, .767, 4900, 1904, 1701, 12, 36, .271, 444, 89, 586, 19993, 4.080, .199, .039, .502, .197, .197, 7
