Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2010, 2 Teams, 22, 82, 79, 5, 22, 7, 0, 1, 5, 2, 12, 0, 0, 1, .278, .305, .405, .710, 32, 29, 0, 0, .318, 8, 2, 15, 305, 3.720, .146, .012, .167, .127, .127, 0
2010, MIN, AL, 7, 28, 27, 2, 8, 3, 0, 0, 1, 0, 3, 0, 0, 1, .296, .321, .407, .729, 28, 11, 8, 0, 0, .333, 3, 1, 5, 98, 3.500, .107, .000, .---, .111, .111, 0
2010, WSH, NL, 15, 54, 52, 3, 14, 4, 0, 1, 4, 2, 9, 0, 0, 0, .269, .296, .404, .700, 54, 21, 21, 0, 0, .310, 5, 1, 10, 207, 3.833, .167, .019, .222, .135, .135, 0
2011, WSH, NL, 113, 435, 389, 48, 104, 22, 1, 15, 52, 38, 76, 0, 2, 2, .267, .334, .445, .779, 435, 173, 197, 4, 2, .297, 38, 19, 68, 1603, 3.685, .175, .034, .500, .177, .177, 1
2012, WSH, NL, 25, 96, 83, 11, 22, 2, 0, 3, 10, 12, 19, 0, 0, 0, .265, .354, .398, .752, 96, 33, 26, 0, 1, .306, 5, 1, 8, 370, 3.854, .198, .031, .632, .133, .133, 1
2013, WSH, NL, 78, 303, 287, 29, 78, 9, 0, 16, 59, 15, 42, 0, 1, 0, .272, .307, .470, .777, 303, 135, 117, 0, 1, .270, 25, 12, 46, 1038, 3.426, .139, .053, .357, .199, .199, 1
2014, WSH, NL, 88, 361, 341, 32, 91, 12, 0, 11, 47, 17, 57, 0, 0, 0, .267, .299, .399, .698, 361, 136, 143, 0, 3, .290, 23, 17, 63, 1152, 3.191, .158, .030, .298, .132, .132, 1
2015, WSH, NL, 128, 504, 475, 41, 109, 16, 0, 15, 68, 21, 101, 0, 0, 0, .229, .258, .358, .616, 504, 170, 223, 0, 8, .256, 31, 16, 62, 1782, 3.536, .200, .030, .208, .128, .128, 0
2016, WSH, NL, 131, 523, 482, 58, 148, 25, 0, 22, 80, 35, 79, 0, 0, 2, .307, .354, .496, .850, 523, 239, 202, 0, 4, .327, 47, 17, 76, 1868, 3.572, .151, .042, .443, .189, .189, 1
2017, TB, AL, 64, 224, 208, 19, 54, 6, 0, 11, 35, 10, 36, 0, 0, 0, .260, .290, .447, .737, 224, 93, 87, 0, 3, .262, 17, 11, 37, 718, 3.205, .161, .049, .278, .188, .188, 0
2018, 2 Teams, 111, 416, 382, 39, 117, 22, 1, 15, 70, 32, 80, 0, 0, 0, .306, .358, .487, .845, 186, 162, 0, 2, .353, 38, 20, 66, 1481, 3.560, .192, .036, .400, .181, .181, 0
2018, TB, AL, 78, 315, 293, 30, 87, 14, 0, 14, 53, 22, 61, 0, 0, 0, .297, .346, .488, .834, 315, 143, 131, 0, 0, .335, 28, 17, 49, 1105, 3.508, .194, .044, .361, .191, .191, 0
2018, PHI, NL, 33, 101, 89, 9, 30, 8, 1, 1, 17, 10, 19, 0, 0, 0, .337, .396, .483, .879, 101, 43, 31, 0, 2, .408, 10, 3, 17, 376, 3.723, .188, .010, .526, .146, .146, 0
2019, NYM, NL, 141, 524, 473, 52, 136, 19, 0, 14, 73, 44, 69, 1, 0, 4, .288, .351, .416, .768, 524, 197, 195, 0, 3, .310, 33, 16, 73, 1720, 3.282, .132, .027, .638, .129, .129, 0
2020, NYM, NL, 35, 126, 114, 11, 27, 5, 0, 4, 13, 9, 27, 0, 0, 2, .237, .302, .386, .688, 126, 44, 70, 0, 1, .274, 9, 2, 13, 419, 3.325, .214, .032, .333, .149, .149, 0
11 Seasons, 936, 3594, 3313, 345, 908, 145, 2, 127, 512, 235, 598, 1, 3, 11, .274, .322, .434, .756, 3594, 1438, 1451, 4, 28, .299, 274, 133, 527, 12456, 3.466, .166, .035, .393, .160, .160, 5
