Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2008, NYY, AL, 42, 141, 127, 18, 29, 5, 2, 0, 16, 8, 30, 13, 1, 2, .228, .283, .299, .582, 141, 38, 47, 3, 1, .296, 7, 0, 17, 551, 3.908, .213, .000, .267, .071, .071, 2
2009, NYY, AL, 108, 284, 248, 48, 67, 6, 6, 3, 23, 26, 40, 26, 5, 3, .270, .345, .379, .724, 284, 94, 84, 6, 1, .311, 15, 3, 43, 1154, 4.063, .141, .011, .650, .109, .109, 0
2010, NYY, AL, 150, 569, 477, 97, 132, 20, 7, 5, 47, 79, 101, 47, 9, 5, .277, .383, .379, .762, 569, 181, 221, 5, 3, .340, 32, 6, 76, 2629, 4.620, .178, .009, .782, .103, .103, 0
2011, NYY, AL, 159, 588, 510, 87, 132, 19, 8, 7, 36, 60, 93, 49, 13, 8, .259, .345, .369, .713, 588, 188, 197, 8, 2, .303, 34, 5, 71, 2466, 4.194, .158, .012, .645, .110, .110, 1
2012, NYY, AL, 16, 37, 31, 7, 10, 2, 0, 0, 3, 5, 7, 2, 2, 0, .323, .417, .387, .804, 37, 12, 6, 1, 0, .417, 2, 0, 8, 150, 4.054, .189, .000, .714, .065, .065, 0
2013, NYY, AL, 145, 609, 539, 81, 147, 33, 10, 8, 52, 52, 127, 24, 8, 8, .273, .344, .416, .759, 609, 224, 153, 7, 3, .342, 51, 8, 66, 2577, 4.232, .209, .013, .409, .143, .143, 2
2014, NYY, AL, 148, 636, 555, 87, 142, 25, 8, 17, 58, 56, 134, 21, 5, 6, .256, .327, .422, .749, 636, 234, 172, 13, 6, .305, 50, 3, 66, 2821, 4.436, .211, .027, .418, .166, .166, 0
2015, NYY, AL, 151, 656, 571, 94, 148, 26, 3, 16, 66, 68, 135, 20, 5, 6, .259, .343, .399, .742, 656, 228, 199, 8, 3, .312, 45, 8, 85, 2732, 4.165, .206, .024, .504, .140, .140, 0
2016, NYY, AL, 148, 634, 547, 80, 143, 22, 6, 7, 41, 70, 106, 16, 4, 8, .261, .351, .362, .713, 634, 198, 191, 4, 5, .310, 35, 6, 82, 2591, 4.087, .167, .011, .660, .101, .101, 1
2017, NYY, AL, 151, 682, 594, 96, 157, 26, 4, 21, 63, 72, 122, 23, 5, 8, .264, .350, .428, .778, 682, 254, 199, 5, 3, .300, 51, 4, 62, 2890, 4.238, .179, .031, .590, .163, .163, 2
2018, NYY, AL, 140, 609, 530, 95, 125, 20, 7, 12, 45, 65, 107, 16, 2, 5, .236, .322, .368, .690, 609, 195, 192, 4, 5, .272, 39, 6, 60, 2581, 4.238, .176, .020, .607, .132, .132, 0
2019, NYY, AL, 141, 550, 491, 86, 123, 26, 7, 28, 74, 52, 108, 10, 2, 4, .251, .325, .503, .828, 550, 247, 196, 0, 3, .265, 61, 6, 77, 2381, 4.329, .196, .051, .481, .253, .253, 0
2020, NYY, AL, 38, 121, 100, 12, 18, 4, 0, 4, 11, 19, 28, 3, 3, 1, .180, .314, .340, .654, 121, 34, 48, 0, 1, .203, 8, 0, 15, 488, 4.033, .231, .033, .679, .160, .160, 0
13 Seasons, 1536, 6114, 5319, 888, 1373, 234, 68, 128, 535, 631, 1138, 270, 64, 64, .258, .342, .400, .742, 6114, 2127, 1904, 64, 36, .304, 430, 55, 728, 26005, 4.253, .186, .021, .554, .142, .142, 8
