Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2010, PIT, NL, 9, 36, 34, 2, 4, 0, 0, 0, 1, 2, 9, 0, 0, 0, .118, .167, .118, .284, 4, 11, 0, 0, .160, 0, 0, 1, 139, 3.861, .250, .000, .222, .000, .000, 0
2011, PHI, NL, 2, 6, 6, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, .333, .333, .500, .833, 3, 2, 0, 0, .400, 1, 0, 0, 21, 3.500, .167, .000, .---, .167, .167, 0
2012, PHI, NL, 50, 157, 141, 14, 35, 9, 0, 9, 26, 11, 34, 0, 0, 2, .248, .306, .504, .809, 71, 66, 0, 3, .257, 18, 2, 25, 584, 3.720, .217, .057, .324, .255, .255, 0
2013, PHI, NL, 68, 218, 197, 21, 42, 7, 0, 9, 26, 18, 45, 0, 0, 1, .213, .280, .386, .666, 76, 89, 0, 2, .228, 16, 11, 30, 879, 4.032, .206, .041, .400, .173, .173, 0
2014, 2 Teams, 47, 115, 110, 12, 24, 4, 0, 5, 13, 4, 22, 0, 0, 0, .218, .243, .391, .634, 55, 0, 1, .226, 9, 4, 22, 434, 3.774, .191, .043, .182, .173, .173, 0
2014, TOR, AL, 34, 84, 81, 8, 16, 3, 0, 3, 10, 3, 12, 0, 0, 0, .198, .226, .346, .572, 28, 46, 0, 0, .197, 6, 3, 21, 298, 3.548, .143, .036, .250, .148, .148, 0
2014, KC, AL, 13, 31, 29, 4, 8, 1, 0, 2, 3, 1, 10, 0, 0, 0, .276, .290, .517, .808, 15, 9, 0, 1, .333, 3, 1, 1, 136, 4.387, .323, .065, .100, .241, .241, 0
2015, 2 Teams, 16, 28, 26, 3, 5, 2, 0, 0, 3, 1, 5, 0, 0, 0, .192, .214, .269, .484, 16, 0, 1, .227, 2, 0, 3, 108, 3.857, .179, .000, .200, .077, .077, 0
2015, KC, AL, 4, 5, 4, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, .000, .000, .000, .000, 0, 2, 0, 1, .000, 0, 0, 0, 21, 4.200, .400, .000, .---, .000, .000, 0
2015, PHI, NL, 12, 23, 22, 3, 5, 2, 0, 0, 2, 1, 3, 0, 0, 0, .227, .261, .318, .579, 7, 14, 0, 0, .263, 2, 0, 3, 87, 3.783, .130, .000, .333, .091, .091, 0
2016, 2 Teams, 32, 87, 85, 3, 8, 2, 0, 1, 4, 1, 32, 0, 0, 0, .094, .105, .153, .258, 51, 1, 0, .135, 3, 3, 10, 333, 3.828, .368, .011, .031, .059, .059, 0
2016, HOU, AL, 14, 30, 29, 0, 2, 1, 0, 0, 0, 1, 14, 0, 0, 0, .069, .100, .103, .203, 3, 17, 0, 0, .133, 1, 1, 3, 133, 4.433, .467, .000, .071, .034, .034, 0
2016, PIT, NL, 18, 57, 56, 3, 6, 1, 0, 1, 4, 0, 18, 0, 0, 0, .107, .107, .179, .286, 10, 34, 1, 0, .135, 2, 2, 7, 200, 3.509, .316, .018, .---, .071, .071, 0
2017, NYY, AL, 4, 2, 2, 0, 2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1.000, 1.000, 1.500, 2.500, 3, 0, 0, 0, 1.000, 1, 0, 1, 5, 2.500, .000, .000, .---, .500, .500, 0
2018, MIL, NL, 67, 219, 203, 18, 48, 6, 0, 6, 23, 6, 40, 1, 0, 7, .236, .280, .355, .634, 72, 78, 1, 2, .264, 12, 8, 30, 805, 3.676, .183, .027, .150, .118, .118, 0
2019, 2 Teams, 21, 53, 49, 1, 5, 2, 0, 1, 3, 2, 14, 0, 0, 2, .102, .170, .204, .374, 17, 0, 0, .118, 188
2019, SF, NL, 15, 36, 32, 1, 4, 2, 0, 1, 3, 2, 6, 0, 0, 2, .125, .222, .281, .504, 9, 10, 0, 0, .120, 3, 0, 2, 125, 3.472, .167, .028, .333, .156, .156, 1
2019, TB, AL, 6, 17, 17, 0, 1, 0, 0, 0, 0, 0, 8, 0, 0, 0, .059, .059, .059, .118, 1, 7, 0, 0, .111, 0, 0, 0, 63, 3.706, .471, .000, .---, .000, .000, 0
2020, NYY, AL, 11, 28, 27, 2, 8, 2, 0, 0, 4, 1, 6, 0, 0, 0, .296, .321, .370, .692, 10, 14, 0, 0, .381, 2, 0, 6, 112, 4.000, .214, .000, .167, .074, .074, 0
11 Seasons, 327, 949, 880, 76, 183, 36, 0, 31, 105, 46, 208, 1, 0, 12, .208, .254, .355, .609, 949, 312, 399, 2, 9, .234, 67, 28, 130, 3608, 3.802, .219, .033, .221, .147, .147, 1
