Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2009, PIT, NL, 108, 493, 433, 74, 124, 26, 9, 12, 54, 54, 83, 22, 5, 2, .286, .365, .471, .836, 493, 204, 106, 0, 4, .327, 47, 3, 49, 2012, 4.081, .168, .024, .651, .185, .185, 2
2010, PIT, NL, 154, 653, 570, 94, 163, 35, 5, 16, 56, 70, 89, 33, 10, 5, .286, .365, .449, .814, 653, 256, 145, 1, 7, .311, 56, 6, 68, 2632, 4.031, .136, .025, .787, .163, .163, 0
2011, PIT, NL, 158, 678, 572, 87, 148, 34, 5, 23, 89, 89, 126, 23, 10, 9, .259, .364, .456, .820, 678, 261, 196, 2, 6, .291, 62, 7, 62, 2832, 4.177, .186, .034, .706, .198, .198, 1
2012, PIT, NL, 157, 673, 593, 107, 194, 29, 6, 31, 96, 70, 132, 20, 12, 5, .327, .400, .553, .953, 673, 328, 212, 0, 5, .375, 66, 9, 91, 2612, 3.881, .196, .046, .530, .226, .226, 2
2013, PIT, NL, 157, 674, 583, 97, 185, 38, 5, 21, 84, 78, 101, 27, 10, 9, .317, .404, .508, .911, 674, 296, 238, 0, 4, .353, 64, 13, 95, 2562, 3.801, .150, .031, .772, .190, .190, 1
2014, PIT, NL, 146, 648, 548, 89, 172, 38, 6, 25, 83, 84, 115, 18, 3, 10, .314, .410, .542, .952, 648, 297, 214, 0, 6, .355, 69, 9, 85, 2640, 4.074, .177, .039, .730, .228, .228, 0
2015, PIT, NL, 157, 685, 566, 91, 165, 36, 3, 23, 96, 98, 133, 11, 5, 12, .292, .401, .488, .889, 685, 276, 202, 0, 9, .339, 62, 9, 96, 2780, 4.058, .194, .034, .737, .196, .196, 1
2016, PIT, NL, 153, 675, 598, 81, 153, 26, 3, 24, 79, 69, 143, 6, 7, 5, .256, .336, .430, .766, 675, 257, 240, 0, 3, .297, 53, 15, 103, 2740, 4.059, .212, .036, .483, .174, .174, 0
2017, PIT, NL, 156, 650, 570, 94, 159, 30, 2, 28, 88, 73, 116, 11, 5, 4, .279, .363, .486, .849, 650, 277, 223, 0, 3, .305, 60, 10, 93, 2621, 4.032, .178, .043, .629, .207, .207, 1
2018, 2 Teams, 155, 682, 569, 83, 145, 30, 3, 20, 65, 95, 145, 14, 9, 11, .255, .368, .424, .792, 241, 202, 0, 7, .304, 53, 12, 85, 2889, 4.236, .213, .029, .655, .169, .169, 2
2018, SF, NL, 130, 568, 482, 65, 123, 28, 2, 15, 55, 73, 123, 13, 6, 7, .255, .357, .415, .772, 568, 200, 180, 0, 6, .309, 45, 11, 77, 2387, 4.202, .217, .026, .593, .160, .160, 2
2018, NYY, AL, 25, 114, 87, 18, 22, 2, 1, 5, 10, 22, 22, 1, 3, 4, .253, .421, .471, .892, 114, 41, 22, 0, 1, .279, 8, 1, 8, 502, 4.404, .193, .044, 1.000, .218, .218, 0
2019, PHI, NL, 59, 262, 219, 45, 56, 12, 1, 10, 29, 43, 55, 2, 1, 0, .256, .378, .457, .834, 262, 100, 53, 0, 0, .299, 23, 1, 21, 1165, 4.447, .210, .038, .782, .201, .201, 0
2020, PHI, NL, 40, 165, 151, 22, 40, 6, 0, 6, 28, 12, 27, 3, 0, 1, .265, .321, .424, .745, 165, 64, 46, 0, 1, .286, 12, 2, 19, 627, 3.800, .164, .036, .444, .159, .159, 0
12 Seasons, 1599, 6935, 5969, 964, 1702, 340, 48, 239, 846, 835, 1265, 190, 77, 73, .285, .377, .478, .855, 6935, 2855, 2077, 3, 55, .324, 627, 96, 867, 28100, 4.052, .182, .034, .660, .193, .193, 10
