Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2012, CIN, NL, 8, 21, 20, 1, 6, 0, 0, 0, 2, 0, 5, 0, 0, 0, .300, .300, .300, .600, 21, 6, 12, 1, 0, .400, 0, 0, 6, 67, 3.190, .238, .000, .---, .000, .000, 0
2013, ARI, NL, 103, 404, 357, 47, 90, 16, 3, 7, 28, 37, 65, 0, 2, 6, .252, .332, .373, .704, 404, 133, 143, 2, 1, .290, 26, 4, 54, 1648, 4.079, .161, .017, .569, .120, .120, 0
2014, ARI, NL, 80, 299, 270, 35, 61, 9, 5, 6, 27, 22, 52, 3, 0, 3, .226, .290, .363, .653, 299, 98, 93, 2, 2, .257, 20, 1, 37, 1192, 3.987, .174, .020, .423, .137, .137, 0
2015, NYY, AL, 155, 578, 525, 57, 139, 24, 2, 9, 56, 33, 85, 5, 3, 11, .265, .318, .370, .688, 578, 194, 223, 3, 6, .297, 35, 4, 79, 2093, 3.621, .147, .016, .388, .105, .105, 0
2016, NYY, AL, 153, 597, 562, 68, 155, 32, 2, 20, 70, 19, 82, 7, 1, 6, .276, .304, .447, .751, 597, 251, 243, 5, 5, .290, 54, 9, 97, 2067, 3.462, .137, .034, .232, .171, .171, 1
2017, NYY, AL, 136, 570, 534, 73, 153, 27, 0, 25, 87, 25, 70, 3, 1, 3, .287, .318, .478, .796, 570, 255, 226, 0, 7, .287, 52, 7, 108, 2069, 3.630, .123, .044, .357, .191, .191, 0
2018, NYY, AL, 134, 569, 504, 89, 135, 23, 5, 27, 86, 48, 69, 10, 6, 7, .268, .335, .494, .829, 569, 249, 246, 1, 9, .259, 55, 8, 97, 2082, 3.659, .121, .047, .696, .226, .226, 0
2019, NYY, AL, 82, 344, 324, 47, 77, 14, 2, 16, 61, 17, 53, 2, 1, 1, .238, .276, .441, .718, 344, 143, 134, 0, 2, .237, 32, 5, 54, 1378, 4.006, .154, .047, .321, .204, .204, 0
2020, PHI, NL, 42, 165, 148, 27, 40, 6, 2, 6, 23, 11, 15, 3, 1, 3, .270, .329, .459, .789, 165, 68, 62, 1, 2, .264, 14, 3, 34, 638, 3.867, .091, .036, .733, .189, .189, 0
9 Seasons, 892, 3546, 3243, 444, 856, 151, 21, 116, 440, 212, 496, 33, 15, 40, .264, .314, .431, .745, 3546, 1397, 1381, 15, 34, .278, 288, 40, 565, 13232, 3.732, .140, .033, .427, .167, .167, 1
