Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2009, PIT, NL, 17, 40, 36, 5, 7, 1, 0, 0, 0, 4, 11, 1, 0, 0, .194, .275, .222, .497, 8, 22, 0, 0, .280, 1, 1, 4, 167, 4.175, .275, .000, .364, .028, .028, 0
2010, PIT, NL, 110, 469, 426, 57, 126, 29, 3, 12, 66, 34, 83, 2, 3, 3, .296, .349, .462, .811, 197, 161, 2, 4, .340, 44, 4, 67, 1791, 3.819, .177, .026, .410, .167, .167, 0
2011, PIT, NL, 159, 662, 596, 76, 163, 36, 4, 12, 83, 54, 112, 9, 6, 4, .273, .334, .408, .742, 243, 238, 0, 8, .315, 52, 15, 109, 2638, 3.985, .169, .018, .482, .134, .134, 0
2012, PIT, NL, 129, 530, 472, 62, 132, 27, 0, 14, 69, 47, 104, 7, 5, 2, .280, .342, .426, .768, 201, 172, 1, 8, .326, 41, 11, 77, 2046, 3.860, .196, .026, .452, .146, .146, 0
2013, PIT, NL, 133, 551, 478, 62, 120, 24, 4, 16, 53, 50, 85, 1, 2, 15, .251, .339, .418, .757, 200, 183, 5, 3, .274, 44, 14, 79, 2042, 3.706, .154, .029, .588, .167, .167, 0
2014, PIT, NL, 137, 571, 512, 74, 139, 25, 3, 23, 76, 45, 88, 2, 2, 11, .271, .342, .467, .809, 239, 201, 1, 2, .288, 51, 12, 75, 2176, 3.811, .154, .040, .511, .195, .195, 2
2015, PIT, NL, 151, 603, 543, 69, 146, 32, 3, 16, 71, 44, 110, 4, 1, 8, .269, .328, .427, .756, 232, 219, 0, 8, .306, 51, 9, 75, 2336, 3.874, .182, .027, .400, .158, .158, 0
2016, NYM, NL, 113, 458, 412, 57, 116, 9, 1, 23, 55, 42, 84, 3, 1, 1, .282, .347, .476, .823, 196, 138, 0, 3, .302, 33, 11, 63, 1838, 4.013, .183, .050, .500, .194, .194, 0
2017, 2 Teams, 111, 448, 385, 59, 102, 21, 2, 14, 49, 55, 77, 0, 2, 5, .265, .362, .439, .801, 136, 1, 2, .297, 37, 9, 61, 1708, 3.813, .172, .031, .714, .174, .174, 1
2017, NYM, NL, 73, 299, 265, 40, 70, 13, 2, 10, 36, 27, 47, 0, 1, 4, .264, .339, .442, .780, 117, 85, 1, 2, .286, 25, 4, 41, 1071, 3.582, .157, .033, .574, .177, .177, 1
2017, MIL, NL, 38, 149, 120, 19, 32, 8, 0, 4, 13, 28, 30, 0, 1, 1, .267, .409, .433, .843, 52, 51, 0, 0, .326, 12, 5, 20, 637, 4.275, .201, .027, .933, .167, .167, 0
2018, NYY, AL, 113, 398, 347, 48, 76, 12, 1, 11, 46, 42, 87, 0, 0, 5, .219, .309, .354, .664, 123, 162, 0, 4, .257, 24, 3, 52, 1585, 3.982, .219, .028, .483, .135, .135, 2
2019, MIA, NL, 115, 381, 337, 37, 88, 19, 1, 8, 38, 42, 77, 3, 0, 1, .261, .344, .395, .738, 133, 148, 0, 1, .316, 28, 8, 56, 1502, 3.942, .202, .021, .545, .134, .134, 0
2020, PHI, NL, 18, 41, 39, 5, 9, 3, 0, 0, 3, 1, 13, 0, 0, 0, .231, .244, .308, .552, 12, 13, 0, 1, .333, 3, 0, 6, 172, 4.195, .317, .000, .077, .077, .077, 0
12 Seasons, 1306, 5152, 4583, 611, 1224, 238, 22, 149, 609, 460, 931, 32, 22, 55, .267, .338, .426, .764, 5152, 1953, 1793, 10, 44, .303, 409, 97, 724, 20001, 3.882, .181, .029, .494, .159, .159, 5
