Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2013, ATL, NL, 4, 7, 6, 2, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, .333, .429, .333, .762, 2, 1, 0, 0, .500, 0, 0, 0, 24, 3.429, .286, .000, .500, .000, .000, 0
2014, ATL, NL, 46, 136, 128, 17, 34, 4, 0, 1, 3, 5, 27, 2, 2, 2, .266, .304, .320, .624, 41, 42, 1, 0, .330, 5, 1, 21, 514, 3.779, .199, .007, .185, .055, .055, 0
2015, 2 Teams, 44, 118, 106, 19, 33, 9, 1, 3, 15, 9, 16, 2, 1, 2, .311, .373, .500, .873, 29, 0, 1, .341, 13, 2, 14, 475, 4.025, .136, .025, .563, .189, .189, 1
2015, ATL, NL, 20, 42, 40, 2, 13, 4, 0, 0, 2, 2, 5, 2, 0, 0, .325, .357, .425, .782, 17, 12, 0, 0, .371, 4, 0, 3, 168, 4.000, .119, .000, .400, .100, .100, 0
2015, ARI, NL, 24, 76, 66, 17, 20, 5, 1, 3, 13, 7, 11, 0, 1, 2, .303, .382, .545, .927, 36, 17, 0, 1, .321, 9, 2, 11, 307, 4.039, .145, .039, .636, .242, .242, 1
2016, ARI, NL, 122, 240, 220, 26, 61, 12, 1, 2, 13, 15, 46, 3, 0, 1, .277, .324, .368, .692, 81, 68, 2, 2, .339, 15, 0, 19, 856, 3.567, .192, .008, .326, .091, .091, 1
2017, 2 Teams, 40, 50, 48, 3, 7, 2, 0, 0, 2, 2, 12, 0, 1, 0, .146, .180, .188, .368, 28, 0, 0, .194, 2, 1, 7, 181, 3.620, .240, .000, .167, .042, .042, 0
2017, PIT, NL, 28, 42, 40, 3, 6, 1, 0, 0, 2, 2, 9, 0, 1, 0, .150, .190, .175, .365, 7, 21, 0, 0, .194, 1, 1, 6, 152, 3.619, .214, .000, .222, .025, .025, 0
2017, TEX, AL, 12, 8, 8, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, .125, .125, .250, .375, 2, 7, 0, 0, .200, 1, 0, 1, 29, 3.625, .375, .000, .---, .125, .125, 0
2018, CIN, NL, 20, 28, 24, 5, 3, 0, 0, 1, 2, 4, 8, 0, 0, 0, .125, .250, .250, .500, 6, 10, 0, 0, .133, 1, 1, 2, 112, 4.000, .286, .036, .500, .125, .125, 0
2019, PHI, NL, 44, 68, 65, 5, 17, 3, 0, 0, 7, 3, 16, 0, 0, 0, .262, .294, .308, .602, 20, 26, 0, 0, .347, 3, 1, 9, 266, 3.912, .235, .000, .188, .046, .046, 0
2020, PHI, NL, 28, 77, 68, 11, 20, 5, 0, 3, 11, 9, 18, 0, 0, 0, .294, .377, .500, .877, 34, 30, 0, 0, .362, 8, 2, 11, 317, 4.117, .234, .039, .500, .206, .206, 0
8 Seasons, 348, 724, 665, 88, 177, 35, 2, 10, 53, 48, 145, 7, 4, 5, .266, .319, .370, .689, 724, 246, 234, 3, 3, .326, 47, 8, 83, 2745, 3.791, .200, .014, .331, .104, .104, 2
