2010, KC, AL, 18, 65, 57, 11, 12, 4, 2, 1, 5, 6, 16, 9, 1, 0, .211, .286, .404, .689, 
2011, KC, AL, 26, 53, 44, 8, 9, 1, 0, 0, 3, 7, 14, 11, 1, 0, .205, .308, .227, .535, 
2012, KC, AL, 102, 330, 292, 52, 76, 8, 5, 0, 9, 30, 56, 30, 5, 1, .260, .328, .322, .650, 
2013, KC, AL, 87, 239, 213, 30, 55, 9, 4, 2, 17, 21, 45, 34, 6, 1, .258, .326, .366, .692, 
2014, KC, AL, 120, 290, 260, 33, 70, 4, 4, 1, 24, 22, 52, 36, 7, 0, .269, .324, .327, .651, 
2015, KC, AL, 90, 225, 200, 31, 50, 8, 6, 2, 18, 14, 37, 26, 3, 4, .250, .311, .380, .691, 
2016, KC, AL, 107, 337, 299, 46, 83, 14, 8, 1, 25, 26, 39, 30, 7, 3, .278, .340, .388, .728, 
2017, SEA, AL, 111, 390, 346, 56, 87, 13, 3, 5, 30, 28, 55, 28, 7, 10, .251, .324, .350, .674, 
2018, ARI, NL, 67, 237, 206, 29, 39, 4, 2, 2, 12, 27, 34, 16, 3, 0, .189, .282, .257, .539, 
2019, ARI, NL, 130, 452, 400, 65, 92, 11, 2, 7, 27, 47, 86, 30, 4, 2, .230, .313, .320, .633, 
2020, 2 Teams, 24, 56, 52, 7, 8, 0, 0, 0, 5, 4, 10, 4, 0, 0, .154, .214, .154, .368, 
2020, PIT, NL, 21, 55, 51, 6, 8, 0, 0, 0, 5, 4, 10, 4, 0, 0, .157, .218, .157, .375, 
2020, CWS, AL, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 
11 Seasons, 882, 2674, 2369, 368, 581, 76, 36, 21, 175, 232, 444, 254, 44, 21, .245, .316, .334, .651, 
2010, KC, AL, 65, 23, 23, 2, 0, .275, 7, 2, 9, 254, 3.908, .246, .015, .375, .193, .193, 0, 
2011, KC, AL, 53, 10, 13, 1, 1, .290, 1, 0, 4, 211, 3.981, .264, .000, .500, .023, .023, 0, 
2012, KC, AL, 330, 94, 91, 4, 3, .318, 13, 5, 40, 1260, 3.818, .170, .000, .536, .062, .062, 0, 
2013, KC, AL, 239, 78, 89, 3, 1, .317, 15, 4, 20, 933, 3.904, .188, .008, .467, .108, .108, 0, 
2014, KC, AL, 290, 85, 102, 6, 2, .330, 9, 5, 43, 1116, 3.848, .179, .003, .423, .058, .058, 0, 
2015, KC, AL, 225, 76, 76, 6, 1, .296, 16, 3, 26, 838, 3.724, .164, .009, .378, .130, .130, 1, 
2016, KC, AL, 337, 116, 111, 8, 1, .315, 23, 4, 48, 1209, 3.588, .116, .003, .667, .110, .110, 0, 
2017, SEA, AL, 390, 121, 144, 4, 2, .285, 21, 3, 43, 1412, 3.621, .141, .013, .509, .098, .098, 0, 
2018, ARI, NL, 237, 53, 91, 3, 1, .216, 8, 3, 25, 868, 3.662, .143, .008, .794, .068, .068, 0, 
2019, ARI, NL, 452, 128, 116, 1, 2, .275, 20, 1, 37, 1699, 3.759, .190, .015, .547, .090, .090, 1, 
2020, 2 Teams, 56, 8, 20, 0, 0, .190, 218, 
2020, PIT, NL, 55, 8, 19, 0, 0, .195, 0, 0, 2, 215, 3.909, .182, .000, .400, .000, .000, 0, 
2020, CWS, AL, 1, 0, 1, 0, 0, .000, 0, 0, 0, 3, 3.000, .000, .000, .---, .000, .000, 0, 
2674, 792, 876, 38, 14, .292, 133, 30, 297, 10018, 3.746, .166, .008, .523, .089, .089, 2, 
