2013, NYY, AL, 16, 27, 26, 3, 4, 1, 0, 0, 1, 1, 9, 0, 0, 0, .154, .185, .192, .377, 
2014, NYY, AL, 32, 85, 81, 7, 23, 4, 0, 1, 9, 4, 22, 0, 0, 0, .284, .318, .370, .688, 
2015, NYY, AL, 67, 172, 155, 21, 43, 9, 1, 3, 14, 12, 43, 0, 0, 1, .277, .327, .406, .734, 
2016, MIN, AL, 26, 90, 82, 4, 12, 3, 0, 1, 3, 5, 19, 0, 0, 0, .146, .193, .220, .413, 
2017, ARI, NL, 5, 7, 7, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, .143, .143, .286, .429, 
2018, ARI, NL, 87, 223, 208, 19, 42, 9, 0, 9, 24, 11, 71, 0, 0, 1, .202, .244, .375, .619, 
2019, 2 Teams, 26, 70, 63, 9, 11, 3, 0, 4, 7, 6, 28, 0, 0, 0, .175, .246, .413, .659, 
2019, ARI, NL, 25, 69, 62, 9, 11, 3, 0, 4, 7, 6, 28, 0, 0, 0, .177, .250, .419, .669, 
2019, ATL, NL, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 
2020, PIT, NL, 15, 34, 30, 4, 6, 0, 0, 0, 2, 3, 12, 0, 0, 0, .200, .273, .200, .473, 
8 Seasons, 274, 708, 652, 67, 142, 30, 1, 18, 61, 42, 205, 0, 0, 2, .218, .265, .350, .615, 
2013, NYY, AL, 27, 5, 14, 0, 0, .235, 1, 0, 4, 106, 3.926, .333, .000, .111, .038, .038, 0, 
2014, NYY, AL, 85, 30, 32, 0, 0, .379, 5, 0, 9, 315, 3.706, .259, .012, .182, .086, .086, 0, 
2015, NYY, AL, 172, 63, 60, 1, 3, .357, 13, 4, 27, 663, 3.855, .250, .017, .279, .129, .129, 0, 
2016, MIN, AL, 90, 18, 44, 2, 1, .175, 4, 3, 12, 353, 3.922, .211, .011, .263, .073, .073, 0, 
2017, ARI, NL, 7, 2, 6, 0, 0, .167, 1, 1, 2, 26, 3.714, .143, .000, .---, .143, .143, 0, 
2018, ARI, NL, 223, 78, 98, 2, 1, .256, 18, 1, 31, 910, 4.081, .318, .040, .155, .173, .173, 0, 
2019, 2 Teams, 70, 26, 31, 1, 0, .226, 269, 
2019, ARI, NL, 69, 26, 29, 1, 0, .233, 7, 0, 8, 266, 3.855, .406, .058, .214, .242, .242, 0, 
2019, ATL, NL, 1, 0, 2, 0, 0, .000, 0, 0, 1, 3, 3.000, .000, .000, .---, .000, .000, 0, 
2020, PIT, NL, 34, 6, 14, 1, 0, .333, 0, 1, 5, 128, 3.765, .353, .000, .250, .000, .000, 0, 
708, 228, 299, 7, 5, .286, 49, 10, 99, 2770, 3.912, .290, .025, .205, .132, .132, 0, 
