Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2008, TB, AL, 122, 508, 448, 67, 122, 31, 2, 27, 85, 46, 122, 7, 0, 6, .272, .343, .531, .874, 508, 238, 226, 0, 8, .309, 60, 8, 63, 2019, 3.974, .240, .053, .377, .259, .259, 2
2009, TB, AL, 157, 671, 584, 100, 164, 44, 0, 33, 113, 72, 140, 9, 0, 8, .281, .364, .526, .889, 671, 307, 255, 0, 7, .313, 77, 27, 103, 2672, 3.982, .209, .049, .514, .245, .245, 1
2010, TB, AL, 151, 661, 574, 96, 169, 46, 5, 22, 104, 72, 124, 15, 5, 5, .294, .372, .507, .879, 661, 291, 261, 0, 10, .336, 73, 15, 96, 2564, 3.879, .188, .033, .581, .213, .213, 0
2011, TB, AL, 133, 574, 483, 78, 118, 26, 1, 31, 99, 80, 93, 3, 2, 6, .244, .355, .495, .850, 574, 239, 236, 0, 5, .239, 58, 11, 80, 2228, 3.882, .162, .054, .860, .251, .251, 3
2012, TB, AL, 74, 312, 273, 39, 79, 14, 0, 17, 55, 33, 61, 2, 3, 3, .289, .369, .527, .896, 312, 144, 102, 0, 3, .313, 31, 14, 47, 1263, 4.048, .196, .054, .541, .238, .238, 0
2013, TB, AL, 160, 693, 614, 91, 165, 39, 3, 32, 88, 70, 162, 1, 0, 3, .269, .343, .498, .842, 693, 306, 256, 0, 6, .312, 74, 16, 87, 2779, 4.010, .234, .046, .432, .230, .230, 1
2014, TB, AL, 162, 700, 624, 83, 158, 26, 1, 22, 91, 57, 133, 5, 0, 9, .253, .320, .404, .724, 700, 252, 269, 1, 9, .285, 49, 15, 116, 2522, 3.603, .190, .031, .429, .151, .151, 0
2015, TB, AL, 160, 670, 604, 74, 163, 35, 1, 21, 73, 51, 132, 3, 1, 6, .270, .328, .435, .764, 670, 263, 241, 0, 9, .309, 57, 11, 99, 2536, 3.785, .197, .031, .386, .166, .166, 0
2016, TB, AL, 160, 685, 633, 81, 173, 41, 4, 36, 98, 42, 144, 0, 3, 3, .273, .318, .521, .840, 685, 330, 249, 0, 7, .298, 81, 13, 109, 2523, 3.683, .210, .053, .292, .248, .248, 0
2017, TB, AL, 156, 677, 613, 71, 160, 36, 2, 20, 86, 46, 109, 6, 1, 6, .261, .313, .424, .737, 677, 260, 255, 0, 12, .282, 58, 18, 117, 2492, 3.681, .161, .030, .422, .163, .163, 1
2018, SF, NL, 125, 512, 480, 51, 117, 25, 4, 16, 54, 22, 101, 3, 1, 5, .244, .281, .413, .694, 512, 198, 216, 0, 5, .274, 45, 11, 74, 1932, 3.773, .197, .031, .218, .169, .169, 0
2019, SF, NL, 129, 508, 453, 59, 115, 19, 2, 20, 69, 43, 112, 3, 1, 7, .254, .325, .437, .762, 508, 198, 192, 0, 5, .291, 41, 14, 75, 2018, 3.972, .220, .039, .384, .183, .183, 0
2020, SF, NL, 38, 149, 138, 21, 40, 7, 1, 5, 24, 7, 24, 0, 1, 1, .290, .322, .464, .786, 149, 64, 74, 0, 3, .313, 13, 6, 25, 558, 3.745, .161, .034, .292, .174, .174, 0
13 Seasons, 1727, 7320, 6521, 911, 1743, 389, 26, 302, 1039, 641, 1457, 57, 18, 68, .267, .335, .474, .809, 7320, 3090, 2832, 1, 89, .297, 717, 179, 1091, 28106, 3.840, .199, .041, .440, .207, .207, 8
