Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2007, HOU, NL, 108, 484, 456, 57, 147, 30, 9, 17, 69, 26, 95, 11, 5, 1, .322, .360, .539, .899, 246, 167, 0, 1, .377, 56, 10, 73, 1757, 3.630, .196, .035, .274, .217, .217, 2
2008, HOU, NL, 157, 642, 595, 78, 160, 34, 4, 25, 83, 40, 124, 11, 10, 4, .269, .318, .466, .783, 277, 249, 0, 3, .301, 63, 14, 87, 2378, 3.704, .193, .039, .323, .197, .197, 2
2009, HOU, NL, 159, 647, 585, 76, 165, 26, 5, 25, 72, 58, 109, 14, 11, 1, .282, .346, .472, .818, 276, 247, 0, 3, .308, 56, 25, 82, 2530, 3.910, .168, .039, .532, .190, .190, 0
2010, HOU, NL, 156, 658, 614, 93, 173, 29, 3, 25, 91, 41, 105, 18, 9, 0, .282, .325, .461, .786, 283, 250, 0, 3, .304, 57, 11, 101, 2422, 3.681, .160, .038, .390, .179, .179, 1
2011, 2 Teams, 154, 668, 606, 84, 190, 38, 5, 22, 97, 56, 124, 8, 2, 1, .314, .370, .502, .871, 244, 0, 5, .361, 65, 15, 114, 2579, 3.861, .186, .033, .452, .188, .188, 2
2011, HOU, NL, 100, 432, 399, 49, 123, 26, 3, 11, 62, 30, 86, 7, 1, 1, .308, .356, .471, .828, 188, 158, 0, 2, .368, 40, 7, 76, 1628, 3.769, .199, .025, .349, .163, .163, 2
2011, PHI, NL, 54, 236, 207, 35, 67, 12, 2, 11, 35, 26, 38, 1, 1, 0, .324, .394, .560, .954, 116, 86, 0, 3, .348, 25, 8, 38, 951, 4.030, .161, .047, .684, .237, .237, 0
2012, 2 Teams, 160, 688, 617, 87, 156, 26, 4, 24, 104, 56, 145, 5, 2, 7, .253, .319, .425, .743, 315, 1, 7, .290, 54, 14, 102, 2638, 3.834, .211, .035, .386, .172, .172, 1
2012, PHI, NL, 101, 440, 398, 59, 108, 15, 2, 17, 59, 37, 85, 4, 2, 3, .271, .336, .447, .784, 178, 191, 0, 2, .305, 34, 13, 60, 1731, 3.934, .193, .039, .435, .176, .176, 1
2012, SF, NL, 59, 248, 219, 28, 48, 11, 2, 7, 45, 19, 60, 1, 0, 4, .219, .287, .384, .671, 84, 124, 1, 5, .261, 20, 1, 42, 907, 3.657, .242, .028, .317, .164, .164, 0
2013, SF, NL, 162, 687, 629, 91, 178, 35, 5, 27, 99, 52, 115, 22, 3, 3, .283, .339, .483, .822, 304, 303, 0, 3, .308, 67, 17, 110, 2590, 3.770, .167, .039, .452, .200, .200, 1
2014, SF, NL, 162, 708, 650, 106, 180, 29, 10, 20, 74, 52, 130, 13, 6, 3, .277, .332, .445, .777, 289, 204, 0, 3, .318, 59, 13, 104, 2811, 3.970, .184, .028, .400, .168, .168, 0
2015, SF, NL, 52, 223, 207, 30, 57, 13, 1, 9, 40, 16, 48, 4, 1, 0, .275, .327, .478, .806, 99, 105, 0, 0, .320, 23, 8, 33, 848, 3.803, .215, .040, .333, .203, .203, 0
2016, SF, NL, 106, 442, 395, 58, 114, 23, 1, 13, 57, 43, 95, 1, 1, 1, .289, .357, .451, .808, 178, 176, 0, 3, .348, 37, 10, 62, 1805, 4.084, .215, .029, .453, .162, .162, 1
2017, SF, NL, 134, 539, 493, 55, 128, 13, 5, 13, 67, 40, 102, 2, 3, 2, .260, .315, .385, .701, 190, 196, 0, 4, .301, 31, 8, 90, 2136, 3.963, .189, .024, .392, .126, .126, 2
2018, SF, NL, 97, 248, 235, 19, 53, 11, 1, 4, 24, 11, 59, 5, 1, 0, .226, .258, .332, .590, 78, 75, 0, 2, .282, 16, 1, 23, 965, 3.891, .238, .016, .186, .106, .106, 1
2019, TEX, AL, 83, 316, 286, 53, 85, 17, 1, 18, 59, 26, 69, 6, 1, 2, .297, .358, .552, .910, 158, 109, 0, 2, .333, 36, 2, 44, 1245, 3.940, .218, .057, .377, .255, .255, 1
2020, SF, NL, 17, 56, 52, 4, 5, 0, 1, 2, 6, 3, 15, 0, 0, 1, .096, .161, .250, .411, 13, 35, 0, 0, .086, 3, 3, 10, 197, 3.518, .268, .036, .200, .154, .154, 0
14 Seasons, 1707, 7006, 6420, 891, 1791, 324, 55, 244, 942, 520, 1335, 120, 55, 26, .279, .334, .461, .794, 7006, 2957, 2675, 1, 39, .317, 623, 151, 1035, 26901, 3.840, .191, .035, .390, .182, .182, 14
