2008, SF, NL, 41, 154, 145, 24, 50, 10, 1, 3, 24, 4, 14, 0, 0, 1, .345, .357, .490, .847, 154, 71, 53, 0, 4, .356, 14, 6, 35, 482, 3.130, .091, .019, .286, .145, .145, 0, 
2009, SF, NL, 153, 633, 572, 79, 189, 44, 5, 25, 90, 52, 83, 5, 5, 4, .330, .387, .556, .943, 633, 318, 221, 0, 5, .350, 74, 10, 106, 2195, 3.468, .131, .039, .627, .226, .226, 1, 
2010, SF, NL, 152, 616, 563, 61, 151, 34, 3, 13, 63, 47, 81, 3, 2, 1, .268, .323, .409, .732, 616, 230, 244, 0, 5, .291, 50, 26, 117, 2114, 3.432, .131, .021, .580, .140, .140, 0, 
2011, SF, NL, 117, 466, 426, 55, 134, 26, 3, 23, 70, 32, 63, 2, 4, 0, .315, .357, .552, .909, 466, 235, 143, 1, 7, .320, 52, 12, 70, 1635, 3.509, .135, .049, .508, .237, .237, 0, 
2012, SF, NL, 108, 442, 396, 59, 112, 25, 2, 12, 63, 38, 59, 1, 1, 1, .283, .342, .447, .789, 442, 177, 180, 0, 7, .301, 39, 13, 73, 1635, 3.699, .133, .027, .644, .164, .164, 0, 
2013, SF, NL, 141, 584, 525, 52, 146, 27, 2, 14, 79, 47, 79, 0, 0, 6, .278, .341, .417, .758, 584, 219, 245, 0, 6, .301, 43, 19, 111, 2164, 3.705, .135, .024, .595, .139, .139, 1, 
2014, SF, NL, 157, 638, 588, 68, 164, 26, 3, 16, 73, 39, 85, 0, 0, 4, .279, .324, .415, .739, 638, 244, 256, 0, 7, .300, 45, 16, 103, 2254, 3.533, .133, .025, .459, .136, .136, 0, 
2015, BOS, AL, 126, 505, 470, 43, 115, 25, 1, 10, 47, 25, 73, 0, 0, 7, .245, .292, .366, .658, 505, 172, 182, 1, 2, .270, 36, 14, 74, 1848, 3.659, .145, .020, .342, .121, .121, 0, 
2016, BOS, AL, 3, 7, 6, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, .000, .143, .000, .143, 7, 0, 2, 0, 0, .000, 0, 0, 0, 37, 5.286, .571, .000, .250, .000, .000, 0, 
2017, 2 Teams, 79, 279, 259, 27, 57, 11, 0, 9, 32, 16, 53, 0, 1, 1, .220, .265, .367, .632, 95, 141, 0, 3, .240, 20, 11, 40, 1097, 3.932, .190, .032, .302, .147, .147, 1, 
2017, BOS, AL, 32, 108, 99, 10, 21, 2, 0, 4, 12, 8, 24, 0, 1, 0, .212, .269, .354, .622, 108, 35, 59, 0, 1, .236, 6, 4, 12, 475, 4.398, .222, .037, .333, .141, .141, 0, 
2017, SF, NL, 47, 171, 160, 17, 36, 9, 0, 5, 20, 8, 29, 0, 0, 1, .225, .263, .375, .638, 171, 60, 82, 0, 2, .242, 14, 7, 28, 622, 3.637, .170, .029, .276, .150, .150, 1, 
2018, SF, NL, 92, 252, 230, 22, 57, 10, 1, 9, 40, 19, 52, 0, 0, 2, .248, .310, .417, .727, 252, 96, 97, 0, 1, .282, 20, 9, 33, 1056, 4.190, .206, .036, .365, .170, .170, 1, 
2019, SF, NL, 108, 296, 272, 42, 73, 23, 0, 14, 41, 18, 67, 1, 0, 1, .268, .313, .507, .820, 296, 138, 121, 2, 3, .304, 37, 8, 41, 1137, 3.841, .226, .047, .269, .239, .239, 2, 
2020, SF, NL, 31, 86, 78, 5, 16, 1, 0, 1, 6, 6, 18, 0, 0, 1, .205, .267, .256, .524, 86, 20, 51, 0, 1, .250, 2, 3, 17, 321, 3.733, .209, .012, .333, .051, .051, 0, 
13 Seasons, 1308, 4958, 4530, 537, 1264, 262, 21, 149, 628, 344, 731, 12, 13, 29, .279, .330, .445, .775, 4958, 2015, 1936, 4, 51, .301, 432, 147, 820, 17975, 3.625, .147, .030, .471, .166, .166, 6, 
