Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2011, LAD, NL, 56, 233, 224, 34, 68, 9, 2, 0, 11, 7, 27, 24, 7, 0, .304, .325, .362, .686, 233, 81, 74, 2, 0, .345, 11, 1, 35, 801, 3.438, .116, .000, .259, .058, .058, 0
2012, LAD, NL, 87, 330, 303, 38, 69, 9, 2, 1, 17, 20, 62, 32, 10, 3, .228, .280, .281, .561, 330, 85, 108, 2, 2, .281, 12, 5, 37, 1201, 3.639, .188, .003, .323, .053, .053, 2
2013, LAD, NL, 38, 106, 94, 9, 22, 1, 1, 1, 6, 10, 21, 10, 2, 1, .234, .314, .298, .612, 106, 28, 39, 1, 0, .292, 3, 0, 12, 389, 3.670, .198, .009, .476, .064, .064, 0
2014, LAD, NL, 148, 650, 609, 92, 176, 24, 12, 2, 34, 31, 107, 64, 19, 4, .289, .326, .378, .704, 650, 230, 206, 3, 3, .346, 38, 3, 76, 2459, 3.783, .165, .003, .290, .089, .089, 0
2015, MIA, NL, 145, 653, 615, 88, 205, 24, 8, 4, 46, 25, 91, 58, 20, 2, .333, .359, .418, .776, 653, 257, 157, 6, 5, .383, 36, 6, 54, 2248, 3.443, .139, .006, .275, .085, .085, 1
2016, MIA, NL, 79, 345, 325, 47, 87, 7, 6, 1, 14, 18, 55, 30, 7, 0, .268, .305, .335, .641, 345, 109, 105, 1, 1, .319, 14, 4, 34, 1274, 3.693, .159, .003, .327, .068, .068, 0
2017, MIA, NL, 158, 695, 653, 114, 201, 20, 9, 2, 33, 25, 93, 60, 16, 10, .308, .341, .375, .716, 695, 245, 180, 2, 4, .354, 31, 7, 69, 2397, 3.449, .134, .003, .269, .067, .067, 1
2018, SEA, AL, 141, 588, 556, 62, 149, 17, 8, 4, 36, 9, 80, 30, 12, 9, .268, .288, .349, .637, 588, 194, 204, 9, 5, .304, 29, 10, 79, 1991, 3.386, .136, .007, .113, .081, .081, 0
2019, SEA, AL, 117, 421, 393, 36, 108, 12, 6, 3, 34, 18, 61, 22, 5, 1, .275, .304, .359, .663, 421, 141, 144, 3, 6, .313, 21, 8, 78, 1455, 3.456, .145, .007, .295, .084, .084, 0
2020, SEA, AL, 25, 67, 62, 8, 12, 1, 0, 0, 1, 3, 13, 1, 2, 2, .194, .254, .210, .463, 67, 13, 22, 0, 0, .245, 1, 1, 6, 237, 3.537, .194, .000, .231, .016, .016, 0
10 Seasons, 993, 4087, 3833, 528, 1097, 124, 54, 18, 232, 166, 610, 331, 100, 32, .286, .319, .361, .680, 4087, 1383, 1239, 29, 26, .334, 196, 45, 480, 14450, 3.536, .149, .004, .272, .075, .075, 4
