Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2013, SEA, AL, 76, 335, 306, 41, 81, 11, 6, 8, 36, 24, 52, 5, 3, 1, .265, .318, .418, .737, 128, 107, 2, 2, .294, 25, 2, 42, 1189, 3.549, .155, .024, .462, .154, .154, 0
2014, SEA, AL, 123, 411, 367, 47, 81, 15, 4, 10, 36, 34, 95, 4, 2, 2, .221, .288, .365, .653, 134, 139, 3, 3, .268, 29, 2, 39, 1420, 3.455, .231, .024, .358, .144, .144, 0
2015, SEA, AL, 144, 497, 438, 44, 113, 22, 4, 11, 46, 47, 101, 13, 4, 2, .258, .329, .402, .730, 176, 174, 4, 6, .307, 37, 7, 52, 1788, 3.598, .203, .022, .465, .144, .144, 0
2016, TB, AL, 152, 601, 548, 73, 133, 29, 6, 30, 81, 47, 149, 6, 4, 3, .243, .304, .482, .786, 264, 225, 0, 3, .277, 65, 5, 67, 2324, 3.867, .248, .050, .315, .239, .239, 0
2017, TB, AL, 110, 407, 338, 43, 68, 13, 3, 9, 40, 63, 110, 5, 3, 2, .201, .327, .337, .664, 114, 166, 0, 4, .265, 25, 5, 47, 1650, 4.054, .270, .022, .573, .136, .136, 1
2018, 2 Teams, 75, 254, 230, 21, 57, 13, 2, 7, 29, 22, 82, 0, 0, 0, .248, .311, .413, .724, 92, 0, 2, .350, 22, 4, 24, 975, 3.839, .323, .028, .268, .165, .165, 1
2018, TB, AL, 48, 174, 156, 16, 40, 10, 1, 5, 21, 16, 51, 0, 0, 0, .256, .322, .429, .751, 67, 68, 0, 2, .343, 16, 2, 18, 651, 3.741, .293, .029, .314, .173, .173, 0
2018, MIL, NL, 27, 80, 74, 5, 17, 3, 1, 2, 8, 6, 31, 0, 0, 0, .230, .288, .378, .666, 28, 24, 0, 0, .366, 6, 2, 6, 324, 4.050, .388, .025, .194, .149, .149, 1
2019, 2 Teams, 79, 170, 154, 26, 40, 6, 1, 13, 25, 15, 45, 2, 0, 1, .260, .329, .565, .894, 61, 0, 0, .281, 659
2019, CLE, AL, 13, 40, 36, 4, 9, 3, 0, 1, 4, 4, 10, 1, 0, 0, .250, .325, .417, .742, 15, 7, 0, 0, .320, 4, 0, 4, 153, 3.825, .250, .025, .400, .167, .167, 0
2019, PHI, NL, 66, 130, 118, 22, 31, 3, 1, 12, 21, 11, 35, 1, 0, 1, .263, .331, .610, .941, 72, 54, 0, 0, .268, 16, 2, 21, 506, 3.892, .269, .092, .314, .347, .347, 0
2020, STL, NL, 29, 110, 90, 16, 25, 5, 1, 5, 21, 18, 23, 1, 0, 1, .278, .400, .522, .922, 47, 39, 0, 1, .317, 11, 1, 17, 445, 4.045, .209, .045, .783, .244, .244, 0
8 Seasons, 787, 2782, 2469, 310, 598, 114, 27, 93, 314, 269, 657, 36, 16, 12, .242, .317, .423, .740, 2782, 1045, 1003, 9, 21, .290, 234, 28, 313, 10442, 3.753, .236, .033, .409, .181, .181, 2
