Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2008, COL, NL, 13, 27, 26, 3, 4, 0, 0, 0, 0, 0, 5, 0, 1, 1, .154, .185, .154, .339, 4, 9, 0, 0, .190, 0, 0, 5, 97, 3.593, .185, .000, .---, .000, .000, 0
2009, COL, NL, 135, 518, 433, 73, 115, 29, 10, 4, 34, 67, 116, 27, 10, 1, .266, .363, .406, .770, 176, 151, 14, 3, .351, 43, 4, 45, 2176, 4.201, .224, .008, .578, .141, .141, 0
2010, COL, NL, 132, 505, 439, 73, 114, 20, 14, 6, 36, 57, 104, 13, 8, 2, .260, .347, .410, .757, 180, 120, 7, 0, .328, 40, 5, 53, 2046, 4.051, .206, .012, .548, .150, .150, 0
2011, COL, NL, 125, 563, 481, 84, 128, 35, 15, 5, 45, 68, 130, 12, 9, 6, .266, .363, .432, .796, 208, 143, 7, 1, .354, 55, 6, 71, 2243, 3.984, .231, .009, .523, .166, .166, 1
2012, COL, NL, 143, 530, 454, 72, 136, 18, 11, 13, 53, 68, 128, 12, 5, 0, .300, .389, .474, .863, 215, 144, 6, 2, .390, 42, 5, 57, 2116, 3.992, .242, .025, .531, .174, .174, 2
2013, COL, NL, 119, 492, 415, 71, 109, 18, 3, 12, 42, 65, 105, 19, 9, 6, .263, .369, .407, .776, 169, 132, 4, 2, .323, 33, 5, 39, 1952, 3.967, .213, .024, .619, .145, .145, 2
2014, HOU, AL, 116, 505, 434, 61, 120, 21, 4, 8, 35, 66, 108, 11, 4, 3, .276, .375, .399, .774, 173, 166, 1, 1, .351, 33, 6, 53, 2085, 4.129, .214, .016, .611, .122, .122, 0
2015, CHC, NL, 156, 690, 596, 102, 149, 29, 8, 17, 46, 84, 154, 20, 7, 5, .250, .346, .411, .757, 245, 188, 2, 3, .308, 54, 4, 58, 2819, 4.086, .223, .025, .545, .161, .161, 0
2016, CHC, NL, 125, 551, 456, 84, 126, 25, 7, 13, 48, 79, 124, 13, 4, 11, .276, .393, .447, .840, 204, 145, 1, 4, .350, 45, 3, 43, 2429, 4.408, .225, .024, .637, .171, .171, 0
2017, STL, NL, 118, 491, 420, 68, 111, 22, 9, 18, 64, 63, 101, 7, 3, 4, .264, .363, .488, .851, 205, 167, 0, 4, .305, 49, 10, 63, 1972, 4.016, .206, .037, .624, .224, .224, 0
2018, STL, NL, 90, 334, 289, 40, 52, 10, 0, 8, 31, 38, 75, 5, 2, 3, .180, .278, .298, .576, 86, 114, 0, 4, .210, 18, 2, 39, 1375, 4.117, .225, .024, .507, .118, .118, 2
2019, STL, NL, 150, 574, 487, 69, 116, 24, 1, 19, 67, 74, 142, 8, 5, 8, .238, .346, .409, .754, 199, 163, 1, 4, .294, 44, 6, 63, 2417, 4.211, .247, .033, .521, .170, .170, 0
2020, STL, NL, 23, 75, 68, 10, 19, 2, 0, 4, 14, 6, 20, 1, 1, 1, .279, .347, .485, .832, 33, 26, 0, 0, .341, 6, 2, 10, 328, 4.373, .267, .053, .300, .206, .206, 0
13 Seasons, 1445, 5855, 4998, 810, 1299, 253, 82, 127, 515, 735, 1312, 148, 68, 51, .260, .359, .420, .778, 5855, 2097, 1668, 43, 28, .327, 462, 58, 599, 24055, 4.108, .224, .022, .560, .160, .160, 7
