Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2011, ARI, NL, 48, 177, 156, 28, 39, 9, 1, 8, 26, 20, 53, 4, 0, 0, .250, .333, .474, .808, 74, 79, 0, 1, .323, 18, 4, 23, 788, 4.452, .299, .045, .377, .224, .224, 0
2012, ARI, NL, 145, 587, 514, 82, 147, 43, 1, 20, 82, 60, 130, 18, 3, 4, .286, .359, .490, .850, 252, 206, 0, 9, .340, 64, 9, 69, 2348, 4.000, .221, .034, .462, .204, .204, 0
2013, ARI, NL, 160, 710, 602, 103, 182, 36, 3, 36, 125, 99, 145, 15, 7, 3, .302, .401, .551, .952, 332, 229, 0, 5, .343, 75, 25, 115, 2930, 4.127, .204, .051, .683, .249, .249, 4
2014, ARI, NL, 109, 479, 406, 75, 122, 39, 1, 19, 69, 64, 110, 9, 3, 2, .300, .396, .542, .938, 220, 147, 0, 3, .368, 59, 10, 69, 1976, 4.125, .230, .040, .582, .241, .241, 1
2015, ARI, NL, 159, 695, 567, 103, 182, 38, 2, 33, 110, 118, 151, 21, 5, 2, .321, .435, .570, 1.005, 323, 214, 0, 7, .382, 73, 16, 93, 2917, 4.197, .217, .047, .781, .249, .249, 0
2016, ARI, NL, 158, 705, 579, 106, 172, 33, 3, 24, 95, 110, 150, 32, 5, 7, .297, .411, .489, .899, 283, 218, 0, 8, .358, 60, 14, 84, 3012, 4.272, .213, .034, .733, .192, .192, 1
2017, ARI, NL, 155, 665, 558, 117, 166, 34, 3, 36, 120, 94, 147, 18, 5, 8, .297, .404, .563, .966, 314, 238, 0, 4, .343, 73, 14, 88, 2762, 4.153, .221, .054, .639, .265, .265, 0
2018, ARI, NL, 158, 690, 593, 95, 172, 35, 5, 33, 83, 90, 173, 7, 4, 6, .290, .389, .533, .922, 316, 231, 0, 0, .359, 73, 7, 85, 2905, 4.210, .251, .048, .520, .243, .243, 0
2019, STL, NL, 161, 682, 597, 97, 155, 25, 1, 34, 97, 78, 166, 3, 1, 2, .260, .346, .476, .821, 284, 226, 0, 3, .303, 60, 11, 95, 2888, 4.235, .243, .050, .470, .216, .216, 1
2020, STL, NL, 38, 152, 120, 24, 38, 7, 0, 5, 15, 30, 22, 1, 0, 1, .317, .454, .500, .954, 60, 54, 0, 1, .351, 12, 3, 21, 638, 4.197, .145, .033, 1.364, .183, .183, 0
10 Seasons, 1291, 5542, 4692, 830, 1375, 299, 20, 248, 822, 763, 1247, 128, 33, 35, .293, .393, .524, .917, 5542, 2458, 1842, 0, 41, .348, 567, 113, 742, 23164, 4.180, .225, .045, .612, .231, .231, 7
